model_type,model_label,pair_id,pair_type,target_segment,token_text,token_norm,token_is_content_norm,copy_by_text,source_copy_zone_by_text,source_positions_by_text,source_len,repeat_prefix_words,paired_nll,sideonly_nll,lift_nll_sideonly_minus_paired
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,compact,source,disc,disc,True,True,not_in_source,[],10,7,0.020982667803764343,10.826412200927734,10.80542953312397
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,compact,source,are,are,False,True,prefix_only,[2],10,7,0.027900854125618935,0.34138137102127075,0.3134805168956518
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,compact,source,and,and,False,True,prefix_only,[5],10,7,0.028295284137129784,1.0202916860580444,0.9919964019209146
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,compact,source,usually,usually,True,True,prefix_only,[6],10,7,0.20730635523796082,3.901191234588623,3.6938848793506622
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,compact,other,Bul,bul,False,True,not_in_source,[],10,7,1.3577160835266113,13.117920875549316,11.760204792022705
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,compact,other,and,and,False,True,prefix_only,[5],10,7,0.023225530982017517,1.0039581060409546,0.9807325750589371
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,compact,other,pain,pain,True,True,tail_only,[9],10,7,0.4169868230819702,8.576620101928711,8.15963327884674
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,compact,other,less,less,False,False,not_in_source,[],10,7,6.093142986297607,4.884219169616699,-1.2089238166809082
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,repeat,source,are,are,False,True,prefix_only,[2],10,7,0.02191109023988247,0.34138137102127075,0.3194702807813883
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,repeat,source,more,more,False,True,prefix_only,[3],10,7,0.028813380748033524,3.8078861236572266,3.779072742909193
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,repeat,source,no,no,False,False,tail_only,[8],10,7,4.653531074523926,4.985141277313232,0.33161020278930664
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,repeat,source,pain,pain,True,False,tail_only,[9],10,7,6.42020320892334,5.882035255432129,-0.5381679534912109
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,repeat,other,ging,ging,True,True,not_in_source,[],10,7,0.10122797638177872,7.8525519371032715,7.751323960721493
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,repeat,other,are,are,False,True,prefix_only,[2],10,7,0.03177234157919884,0.28720349073410034,0.2554311491549015
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,repeat,other,common,common,True,True,prefix_only,[4],10,7,0.0059104193933308125,2.296560764312744,2.2906503449194133
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,repeat,other,and,and,False,True,prefix_only,[5],10,7,0.024973999708890915,1.1770659685134888,1.1520919688045979
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_037911,compact,source,for,for,False,False,prefix_only,[1],11,7,3.8839926719665527,3.6454360485076904,-0.2385566234588623
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_037911,compact,source,lonely,lonely,True,False,prefix_only,[2],11,7,11.717604637145996,10.825372695922852,-0.8922319412231445
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_037911,compact,source,necessary,necessary,True,False,prefix_only,[6],11,7,6.415871620178223,8.737548828125,2.3216772079467773
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_037911,compact,source,Int,int,False,False,not_in_source,[],11,7,5.530570983886719,5.868886947631836,0.3383159637451172
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_037911,compact,other,L,l,False,False,not_in_source,[],11,7,6.291439056396484,8.82636833190918,2.5349292755126953
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_037911,compact,other,one,one,False,False,not_in_source,[],11,7,6.445125579833984,6.89745569229126,0.4523301124572754
