base_id,family,object,label,none_c1,none_c2,prior_c1,prior_c2,action_c1,action_c2,combined_c1,combined_c2,pred_c1,pred_c2,residual_c1,residual_c2,residual_mean,action_effect_mean,prior_effect_mean,combined_effect_mean,combined_crossed,action_crossed
BASE_0001,empty_full,glass,direct_adjacent,1.23394775390625,-1.23394775390625,-6.3953302800655365,-5.787332713603973,3.5683298110961914,-0.6127238273620605,-6.474321238696575,-5.788237035274506,-4.060948222875595,-5.166108787059784,-2.41337301582098,-0.6221282482147217,-1.5177506320178509,1.4778029918670654,-6.091331496834755,-6.13127913698554,False,False
BASE_0001,empty_full,glass,direct_then,1.23394775390625,-1.23394775390625,-6.3953302800655365,-5.787332713603973,3.5683298110961914,-0.6127238273620605,-6.4696033373475075,-5.997048914432526,-4.060948222875595,-5.166108787059784,-2.4086551144719124,-0.8309401273727417,-1.619797620922327,1.4778029918670654,-6.091331496834755,-6.2333261258900166,False,False
BASE_0001,empty_full,glass,direct_distance,1.23394775390625,-1.23394775390625,-6.3953302800655365,-5.787332713603973,2.6350350379943848,-1.7497987747192383,-4.196206212043762,-5.042423963546753,-4.994242995977402,-6.303183734416962,0.7980367839336395,1.2607597708702087,1.0293982774019241,0.44261813163757324,-6.091331496834755,-4.619315087795258,False,False
BASE_0001,empty_full,glass,targetfree_adjacent,1.23394775390625,-1.23394775390625,1.973750114440918,-1.9843502044677734,2.382920980453491,-0.8100299835205078,2.0125327110290527,-0.9938616752624512,3.122723340988159,-1.5604324340820312,-1.1101906299591064,0.5665707588195801,-0.2718099355697632,0.7864454984664917,-0.005300045013427734,0.5093355178833008,False,False
BASE_0001,empty_full,glass,targetfree_distance,1.23394775390625,-1.23394775390625,1.973750114440918,-1.9843502044677734,2.382920980453491,-0.8100299835205078,1.837874412536621,-1.6536006927490234,3.122723340988159,-1.5604324340820312,-1.284848928451538,-0.09316825866699219,-0.6890085935592651,0.7864454984664917,-0.005300045013427734,0.09213685989379883,False,False
BASE_0002,empty_full,glass,direct_adjacent,1.23394775390625,-1.23394775390625,-6.3953302800655365,-5.787332713603973,2.7822957038879395,-0.7986974716186523,-6.94749940559268,-5.714561700820923,-4.846982330083847,-5.352082431316376,-2.100517075508833,-0.3624792695045471,-1.23149817250669,0.9917991161346436,-6.091331496834755,-6.331030553206801,False,False
BASE_0002,empty_full,glass,direct_then,1.23394775390625,-1.23394775390625,-6.3953302800655365,-5.787332713603973,2.7822957038879395,-0.7986974716186523,-6.830320566892624,-5.957551538944244,-4.846982330083847,-5.352082431316376,-1.9833382368087769,-0.6054691076278687,-1.2944036722183228,0.9917991161346436,-6.091331496834755,-6.393936052918434,False,False
BASE_0002,empty_full,glass,direct_distance,1.23394775390625,-1.23394775390625,-6.3953302800655365,-5.787332713603973,2.2474818229675293,-1.3725767135620117,-4.660685569047928,-5.034229099750519,-5.381796211004257,-5.925961673259735,0.7211106419563293,0.8917325735092163,0.8064216077327728,0.4374525547027588,-6.091331496834755,-4.847457334399223,False,False
BASE_0002,empty_full,glass,targetfree_adjacent,1.23394775390625,-1.23394775390625,1.973750114440918,-1.9843502044677734,2.1238479614257812,-0.7369480133056641,1.7863235473632812,-0.8408966064453125,2.863650321960449,-1.4873504638671875,-1.077326774597168,0.646453857421875,-0.21543645858764648,0.6934499740600586,-0.005300045013427734,0.4727134704589844,False,False
BASE_0002,empty_full,glass,targetfree_distance,1.23394775390625,-1.23394775390625,1.973750114440918,-1.9843502044677734,2.1238479614257812,-0.7369480133056641,1.6569414138793945,-1.539250373840332,2.863650321960449,-1.4873504638671875,-1.2067089080810547,-0.05189990997314453,-0.6293044090270996,0.6934499740600586,-0.005300045013427734,0.05884552001953125,False,False
