model,overall,delta_vs_coherent86,BLiMP,Supplement,EWoK,Entity,COMPS,SuperGLUE,GlobalPIQA,Reading,AoA
coherent86,42.023967991315104,0.0,68.51,63.64,50.02,28.32,52.05,68.94571192183594,38.565,8.165,0.0
dense_seed62064_MM,42.14909111936738,0.1251231280522731,68.06,63.04,49.92,29.37,52.15,68.5318200743064,40.05,8.219999999999999,0.0
dense_seed62065_MM,42.168422702303516,0.14445471098841267,68.02,63.09,49.77,29.42,52.15,68.80580432073164,40.05,8.21,0.0
clean_pres_seed62064_MSplusKL,42.246412332209445,0.2224443408943415,68.26,63.28,49.82,29.4,52.16,69.047710989885,40.05,8.2,0.0
clean_pres_seed62065_MSplusKL,42.23173113265801,0.20776314134290885,68.22,63.29,49.72,29.45,52.14,69.02058019392214,40.05,8.195,0.0
ms_acquisition_seed62064_MS,42.20253795433653,0.17856996302142392,68.12,63.08,49.95,29.39,52.15,68.88784158902877,40.05,8.195,0.0
