seed,checkpoint,probe_set,packet_id,slot_mode,packet_type,gold_state_type,updated_conflict_heuristic,full_delta_T_retention,full_delta_U_retention,full_delta_N_retention_prior,full_net_T_minus_U_retention,full_net_T_minus_N_retention,full_binding_pair_sum_Tretention_Uretention,content_delta_T_retention,content_delta_U_retention,content_delta_N_retention_prior,content_net_T_minus_U_retention,content_net_T_minus_N_retention,content_binding_pair_sum_Tretention_Uretention,full_delta_T_update_use,full_delta_N_update_prior,full_net_T_minus_U_update_use,full_net_T_minus_N_update_use,full_binding_pair_sum_Tupdate_Uretention,content_delta_T_update_use,content_delta_N_update_prior,content_net_T_minus_U_update_use,content_net_T_minus_N_update_use,content_binding_pair_sum_Tupdate_Uretention
a01_transfer,relation80_seed40040_vs_parent,balanced_heldout,rw2s0_007606,template,UNCHANGED_DISTRACTOR_USE,possession_artifact,,0.8952149523422124,0.4349413179792465,1.2235622096806775,-0.2112545552663505,-0.32834725733846515,0.6650781351607294,0.9298944638576359,0.4215686074070011,1.3214226835407317,-0.3204205244546756,-0.3915282196830958,0.6757315356323185,,,,,,,,,,
a01_transfer,relation80_seed40040_vs_parent,balanced_heldout,rw2s0_011096,template,UNCHANGED_DISTRACTOR_USE,other_relation_state,,1.1390189519772926,-0.02133685576263815,0.6608960816015808,0.1629011455923317,0.4781228703757119,0.5588410481073273,1.6465605348348618,-0.034729446439693376,0.8382521555759013,0.5049298112280667,0.8083083792589605,0.8059155441975842,,,,,,,,,,
a01_transfer,relation80_seed40040_vs_parent,balanced_heldout,rw2s0_017880,template,UNCHANGED_DISTRACTOR_USE,other_relation_state,,-0.5654788795654895,-0.0164578131050801,-1.696741256331734,0.8703455454524374,1.1312623767662444,-0.2909683463352848,-0.5599533244967461,-0.06270006559789154,-1.692838561162354,0.8711991671472799,1.132885236665608,-0.3113266950473188,,,,,,,,,,
a01_transfer,relation80_seed40040_vs_parent,balanced_heldout,rw_002632,template,UNCHANGED_DISTRACTOR_USE,location_containment,,1.2240214383786743,-0.21257180243264884,1.0490614710575237,0.27201729540205877,0.1749599673211506,0.5057248179730127,1.4566783335370321,-0.21612070618818224,1.2573417514407388,0.30532708236326767,0.19933658209629335,0.620278813674425,,,,,,,,,,
a01_transfer,relation80_seed40040_vs_parent,balanced_heldout,rw_023936,template,UNCHANGED_DISTRACTOR_USE,location_containment,,0.08521980141870089,0.2734341884497553,-0.46414697159372054,0.2672887340931871,0.5493667730124214,0.1793269949342281,0.10245538204908367,0.3611021892167625,-0.5583916047587989,0.2610673338174825,0.6608469868078826,0.2317787856329231,,,,,,,,,,
a01_transfer,relation80_seed40040_vs_parent,balanced_heldout,rw2s0_014674,template,UNCHANGED_DISTRACTOR_USE,location_containment,,-0.035359452734701334,1.3699387131608092,1.113693489026951,-1.1637088555816768,-1.1490529417616524,0.6672896302130539,-0.05922760254248887,0.8486691894275803,1.5479540000669658,-1.652263979191915,-1.6071816026094548,0.39472079344254574,,,,,,,,,,
a01_transfer,relation80_seed40040_vs_parent,balanced_heldout,rw2s1_018012,template,UNCHANGED_DISTRACTOR_USE,other_relation_state,,0.374165369872935,0.729716907796036,0.3016174624420014,0.09428184678016072,0.07254790743093364,0.5519411388344855,0.27890483882012107,0.9832296574355236,0.2532956129206081,-0.17078407754057212,0.025609225899512977,0.6310672481278223,,,,,,,,,,
a01_transfer,relation80_seed40040_vs_parent,balanced_heldout,rw2s0_021141,template,UNCHANGED_DISTRACTOR_USE,possession_artifact,,0.3780054269979396,0.3262032292162378,1.1101590557955214,-0.5794462397073699,-0.7321536287975818,0.3521043281070887,-0.17959631606936455,0.4282263698987665,0.914002250041813,-0.9264450672082596,-1.0935985661111776,0.12431502691470098,,,,,,,,,,
a01_transfer,relation80_seed40040_vs_parent,balanced_heldout,rw2s0_016104,template,UNCHANGED_DISTRACTOR_USE,status_condition_event,,-0.6221042266736427,-0.384812262840569,1.6706633724272248,-1.7880871595193941,-2.2927675991008676,-0.5034582447571059,-1.1346823920806246,-1.0634022261947402,1.459934314092,-1.9828529109557458,-2.5946167061726246,-1.0990423091376824,,,,,,,,,,
a01_transfer,relation80_seed40040_vs_parent,balanced_heldout,rw2s0_021911,template,UNCHANGED_DISTRACTOR_USE,other_relation_state,,0.7556420935143251,-0.1718318149484861,2.642899074446177,-1.6167824424774153,-1.887256980931852,0.2919051392829195,1.3330699363723393,-0.2485526438336818,4.439817337319255,-2.5923236485570667,-3.1067474009469156,0.5422586462693287,,,,,,,,,,
