seed,arm,checkpoint,probe_set,slot_mode,packet_type,condition,grouping,n_packets,mean_full_m_orig_new_minus_source,se_full_m_orig_new_minus_source,fraction_positive_full_m_orig_new_minus_source,mean_full_m_source_minus_orig_new,se_full_m_source_minus_orig_new,fraction_positive_full_m_source_minus_orig_new,mean_full_m_source_minus_swapped_new,se_full_m_source_minus_swapped_new,fraction_positive_full_m_source_minus_swapped_new,mean_full_m_orig_new_minus_swapped_new,se_full_m_orig_new_minus_swapped_new,fraction_positive_full_m_orig_new_minus_swapped_new,mean_full_gold_margin_vs_original_competitor,se_full_gold_margin_vs_original_competitor,fraction_positive_full_gold_margin_vs_original_competitor,mean_full_retention_margin_vs_swapped_new,se_full_retention_margin_vs_swapped_new,fraction_positive_full_retention_margin_vs_swapped_new,mean_content_m_orig_new_minus_source,se_content_m_orig_new_minus_source,fraction_positive_content_m_orig_new_minus_source,mean_content_m_source_minus_orig_new,se_content_m_source_minus_orig_new,fraction_positive_content_m_source_minus_orig_new,mean_content_m_source_minus_swapped_new,se_content_m_source_minus_swapped_new,fraction_positive_content_m_source_minus_swapped_new,mean_content_m_orig_new_minus_swapped_new,se_content_m_orig_new_minus_swapped_new,fraction_positive_content_m_orig_new_minus_swapped_new,mean_content_gold_margin_vs_original_competitor,se_content_gold_margin_vs_original_competitor,fraction_positive_content_gold_margin_vs_original_competitor,mean_content_retention_margin_vs_swapped_new,se_content_retention_margin_vs_swapped_new,fraction_positive_content_retention_margin_vs_swapped_new,updated_conflict_heuristic,gold_state_type
a01_transfer,base,relation80_seed40040_vs_parent,balanced_heldout,template,UNCHANGED_DISTRACTOR_USE,T,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,0.6401692787926907,0.15933443259714444,0.615,-0.6401692787926907,0.15933443259714444,0.385,4.754506112968671,0.20850806235761707,0.92,5.3946753917613615,0.19514329225073831,0.94,-0.6401692787926907,0.15933443259714444,0.385,4.754506112968671,0.20850806235761707,0.92,0.8181057999872161,0.19604153629471185,0.61,-0.8181057999872161,0.19604153629471185,0.39,5.54072245529808,0.21122836045422103,0.945,6.358828255285296,0.1953949889051455,0.96,-0.8181057999872161,0.19604153629471185,0.39,5.54072245529808,0.21122836045422103,0.945,,
a01_transfer,base,relation80_seed40040_vs_parent,balanced_heldout,template,UNCHANGED_DISTRACTOR_USE,U,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,-3.8904569883309916,0.22197661655118942,0.095,3.8904569883309916,0.22197661655118942,0.905,-0.6387011665601904,0.17305889796212331,0.38,-4.529158154891182,0.2106483053795265,0.085,3.8904569883309916,0.22197661655118942,0.905,-0.6387011665601904,0.17305889796212331,0.38,-4.473341383431735,0.23465442791317306,0.095,4.473341383431735,0.23465442791317306,0.905,-0.8202551066009843,0.20838221488012695,0.385,-5.293596490032718,0.2242955890354588,0.075,4.473341383431735,0.23465442791317306,0.905,-0.8202551066009843,0.20838221488012695,0.385,,
a01_transfer,base,relation80_seed40040_vs_parent,balanced_heldout,template,UNCHANGED_DISTRACTOR_USE,N,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,-4.0067901837402475,0.2194737094217291,0.085,4.0067901837402475,0.2194737094217291,0.915,4.876942210343184,0.21063303248848317,0.935,0.870152026602937,0.21090987859425714,0.595,4.0067901837402475,0.2194737094217291,0.915,4.876942210343184,0.21063303248848317,0.935,-4.628909649236346,0.22824416964890087,0.09,4.628909649236346,0.22824416964890087,0.91,5.663982593525416,0.20981771368042737,0.94,1.0350729442890705,0.20373999163760403,0.635,4.628909649236346,0.22824416964890087,0.91,5.663982593525416,0.20981771368042737,0.94,,
a01_transfer,base,relation80_seed40040_vs_parent,balanced_heldout,template,UPDATED_USE,T,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,0.9321177668218188,0.22084898172609588,0.62,-0.9321177668218188,0.22084898172609588,0.38,5.1034682281931545,0.23384966893424622,0.925,6.035585995014973,0.20059295455535187,0.97,0.9321177668218188,0.22084898172609588,0.62,5.1034682281931545,0.23384966893424622,0.925,1.0516702162879965,0.2371830423976425,0.62,-1.0516702162879965,0.2371830423976425,0.38,5.8478837109327975,0.23148899841350382,0.93,6.8995539272207935,0.18678915882026983,0.975,1.0516702162879965,0.2371830423976425,0.62,5.8478837109327975,0.23148899841350382,0.93,,
a01_transfer,base,relation80_seed40040_vs_parent,balanced_heldout,template,UPDATED_USE,U,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,-4.790339094886064,0.249132007737818,0.1,4.790339094886064,0.249132007737818,0.9,-0.6656805738212439,0.2351221257696937,0.455,-5.456019668707308,0.21216547019265117,0.04,-4.790339094886064,0.249132007737818,0.1,-0.6656805738212439,0.2351221257696937,0.455,-5.245020531921398,0.24994082991801703,0.105,5.245020531921398,0.24994082991801703,0.895,-0.7038766085515388,0.261165100962636,0.48,-5.948897140472937,0.21131503579689767,0.03,-5.245020531921398,0.24994082991801703,0.105,-0.7038766085515388,0.261165100962636,0.48,,
a01_transfer,base,relation80_seed40040_vs_parent,balanced_heldout,template,UPDATED_USE,N,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,-4.934750442850321,0.24189165779040367,0.08,4.934750442850321,0.24189165779040367,0.92,5.342674541507313,0.23554916304908213,0.93,0.4079240986569923,0.18727566442911797,0.54,-4.934750442850321,0.24189165779040367,0.08,5.342674541507313,0.23554916304908213,0.93,-5.423159722623762,0.24113228650645976,0.085,5.423159722623762,0.24113228650645976,0.915,6.130151385854552,0.23121182332142648,0.935,0.706991663230791,0.18017145947521654,0.605,-5.423159722623762,0.24113228650645976,0.085,6.130151385854552,0.23121182332142648,0.935,,
a01_transfer,base,relation80_seed40040_vs_parent,extended_nontrain,template,UNCHANGED_DISTRACTOR_USE,T,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,0.6401692787926907,0.15933443259714444,0.615,-0.6401692787926907,0.15933443259714444,0.385,4.754506112968671,0.20850806235761707,0.92,5.3946753917613615,0.19514329225073831,0.94,-0.6401692787926907,0.15933443259714444,0.385,4.754506112968671,0.20850806235761707,0.92,0.8181057999872161,0.19604153629471185,0.61,-0.8181057999872161,0.19604153629471185,0.39,5.54072245529808,0.21122836045422103,0.945,6.358828255285296,0.1953949889051455,0.96,-0.8181057999872161,0.19604153629471185,0.39,5.54072245529808,0.21122836045422103,0.945,,
a01_transfer,base,relation80_seed40040_vs_parent,extended_nontrain,template,UNCHANGED_DISTRACTOR_USE,U,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,-3.8904569883309916,0.22197661655118942,0.095,3.8904569883309916,0.22197661655118942,0.905,-0.6387011665601904,0.17305889796212331,0.38,-4.529158154891182,0.2106483053795265,0.085,3.8904569883309916,0.22197661655118942,0.905,-0.6387011665601904,0.17305889796212331,0.38,-4.473341383431735,0.23465442791317306,0.095,4.473341383431735,0.23465442791317306,0.905,-0.8202551066009843,0.20838221488012695,0.385,-5.293596490032718,0.2242955890354588,0.075,4.473341383431735,0.23465442791317306,0.905,-0.8202551066009843,0.20838221488012695,0.385,,
a01_transfer,base,relation80_seed40040_vs_parent,extended_nontrain,template,UNCHANGED_DISTRACTOR_USE,N,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,-4.0067901837402475,0.2194737094217291,0.085,4.0067901837402475,0.2194737094217291,0.915,4.876942210343184,0.21063303248848317,0.935,0.870152026602937,0.21090987859425714,0.595,4.0067901837402475,0.2194737094217291,0.915,4.876942210343184,0.21063303248848317,0.935,-4.628909649236346,0.22824416964890087,0.09,4.628909649236346,0.22824416964890087,0.91,5.663982593525416,0.20981771368042737,0.94,1.0350729442890705,0.20373999163760403,0.635,4.628909649236346,0.22824416964890087,0.91,5.663982593525416,0.20981771368042737,0.94,,
a01_transfer,base,relation80_seed40040_vs_parent,extended_nontrain,template,UPDATED_USE,T,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,1125,1.09738690233112,0.09541813599789847,0.6444444444444445,-1.09738690233112,0.09541813599789847,0.35555555555555557,4.880194812199392,0.09676846000384427,0.9217777777777778,5.977581714530512,0.08308738782197019,0.9724444444444444,1.09738690233112,0.09541813599789847,0.6444444444444445,4.880194812199392,0.09676846000384427,0.9217777777777778,1.2994031067483078,0.1036490591810002,0.6355555555555555,-1.2994031067483078,0.1036490591810002,0.36444444444444446,5.4399127892054135,0.0962464090696983,0.9208888888888889,6.739315895953721,0.07631509671078596,0.976,1.2994031067483078,0.1036490591810002,0.6355555555555555,5.4399127892054135,0.0962464090696983,0.9208888888888889,,
