pair_id,selected_step178_179_subset,source_words,rewrite_words,repeat_prefix_words,content_source_positions,prefix_content_positions,tail_content_positions,compact_content_source_coverage,repeat_prefix_content_source_coverage,compact_minus_repeat_content_coverage,compact_tail_content_coverage,compact_late_half_content_coverage,compact_content_fraction,repeat_content_fraction,compact_minus_repeat_content_fraction,compact_tail_only_content_word_count,compact_any_tail_content_word_count,compact_tail_only_content_word_fraction,compact_any_tail_content_word_fraction,compact_source_multiset_jaccard,repeat_source_multiset_jaccard,compact_max_covered_content_pos_frac,compact_mean_covered_content_pos_frac
compact:frontier_consolidation_fwcompact_medium_046028,True,24,15,15,16,11,5,0.75,0.6875,0.0625,0.6,0.5,0.6666666666666666,0.7333333333333333,-0.06666666666666665,1,3,0.1,0.3,0.5,0.625,0.9583333333333334,0.4305555555555556
compact:frontier_consolidation_fwcompact_medium_030624,False,24,15,15,12,8,4,0.75,0.6666666666666666,0.08333333333333337,0.75,0.6,0.6,0.5333333333333333,0.06666666666666665,3,3,0.3333333333333333,0.3333333333333333,0.52,0.6521739130434783,0.9583333333333334,0.4351851851851852
compact:frontier_consolidation_fwcompact_medium_035003,True,36,21,21,15,10,5,0.6666666666666666,0.6666666666666666,0.0,0.4,0.5,0.47619047619047616,0.47619047619047616,0.0,2,2,0.2,0.2,0.3902439024390244,0.5833333333333334,0.9722222222222222,0.39166666666666666
compact:frontier_consolidation_fwcompact_medium_031347,True,19,10,10,10,6,4,0.4,0.6,-0.19999999999999996,0.75,0.75,0.4,0.6,-0.19999999999999996,3,3,0.75,0.75,0.45,0.5263157894736842,0.9473684210526315,0.7236842105263157
compact:frontier_consolidation_fwcompact_medium_015071,False,23,11,11,11,5,6,0.45454545454545453,0.45454545454545453,0.0,0.5,0.5,0.6363636363636364,0.45454545454545453,0.18181818181818182,3,3,0.42857142857142855,0.42857142857142855,0.21428571428571427,0.4782608695652174,0.8695652173913043,0.5652173913043479
compact:frontier_consolidation_fwcompact_medium_056778,False,21,13,13,9,6,3,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.5384615384615384,0.46153846153846156,0.07692307692307687,1,1,0.14285714285714285,0.14285714285714285,0.36,0.6190476190476191,0.9523809523809523,0.38888888888888884
compact:frontier_consolidation_fwcompact_medium_005391,True,27,20,20,15,12,3,0.8,0.8,0.0,0.3333333333333333,0.7142857142857143,0.6,0.6,0.0,1,1,0.08333333333333333,0.08333333333333333,0.6785714285714286,0.7407407407407407,0.8518518518518519,0.4074074074074074
compact:frontier_consolidation_fwcompact_medium_023863,True,23,10,10,13,5,8,0.5384615384615384,0.38461538461538464,0.1538461538461538,0.5,0.5714285714285714,0.9,0.5,0.4,4,4,0.4444444444444444,0.4444444444444444,0.32,0.43478260869565216,0.9565217391304348,0.4782608695652174
compact:frontier_consolidation_fwcompact_medium_037105,True,29,19,19,14,10,4,0.5,0.7142857142857143,-0.2142857142857143,0.5,0.6,0.47368421052631576,0.5263157894736842,-0.05263157894736842,2,2,0.2222222222222222,0.2222222222222222,0.5,0.6551724137931034,0.9655172413793104,0.4630541871921182
compact:frontier_consolidation_fwcompact_medium_012608,False,17,11,11,10,6,4,0.8,0.6,0.20000000000000007,1.0,1.0,0.7272727272727273,0.5454545454545454,0.18181818181818188,4,4,0.5,0.5,0.6470588235294118,0.6470588235294118,0.9411764705882353,0.5588235294117647
compact:frontier_consolidation_fwcompact_medium_013869,True,31,20,20,14,10,4,1.0,0.7142857142857143,0.2857142857142857,1.0,1.0,0.65,0.5,0.15000000000000002,3,4,0.23076923076923078,0.3076923076923077,0.6451612903225806,0.6451612903225806,0.967741935483871,0.47695852534562216
compact:frontier_consolidation_fwcompact_medium_035424,True,24,14,14,13,7,6,0.6153846153846154,0.5384615384615384,0.07692307692307698,0.6666666666666666,0.7142857142857143,0.6428571428571429,0.5,0.1428571428571429,4,4,0.4444444444444444,0.4444444444444444,0.46153846153846156,0.5833333333333334,0.9583333333333334,0.5260416666666666
compact:frontier_consolidation_fwcompact_medium_009947,False,10,6,6,4,1,3,0.5,0.25,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.5,2,2,0.5,0.5,0.3333333333333333,0.6,0.7,0.6499999999999999
compact:frontier_consolidation_fwcompact_medium_014872,True,29,16,16,16,9,7,0.5625,0.5625,0.0,0.5714285714285714,0.5714285714285714,0.625,0.5625,0.0625,3,5,0.3,0.5,0.5,0.5517241379310345,0.9310344827586207,0.5095785440613027
compact:frontier_consolidation_fwcompact_medium_004256,False,15,10,10,8,7,1,0.75,0.875,-0.125,0.0,0.6666666666666666,0.6,0.7,-0.09999999999999998,0,0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6,0.35555555555555557
compact:frontier_consolidation_fwcompact_medium_019309,True,41,28,28,24,16,8,0.7083333333333334,0.6666666666666666,0.04166666666666674,0.75,0.8333333333333334,0.6428571428571429,0.5714285714285714,0.07142857142857151,6,6,0.3333333333333333,0.3333333333333333,0.5333333333333333,0.6829268292682927,0.975609756097561,0.503586800573888
compact:frontier_consolidation_fwcompact_medium_014997,False,33,18,18,17,10,7,0.5294117647058824,0.5882352941176471,-0.05882352941176472,0.5714285714285714,0.5714285714285714,0.6111111111111112,0.5555555555555556,0.05555555555555558,4,4,0.36363636363636365,0.36363636363636365,0.3783783783783784,0.5454545454545454,0.9696969696969697,0.49158249158249157
compact:frontier_consolidation_fwcompact_medium_010715,True,24,15,15,8,5,3,0.875,0.625,0.25,1.0,1.0,0.4666666666666667,0.3333333333333333,0.13333333333333336,3,3,0.42857142857142855,0.42857142857142855,0.4444444444444444,0.625,0.9583333333333334,0.5238095238095238
compact:frontier_consolidation_fwcompact_medium_049343,True,25,16,16,12,7,5,0.5833333333333334,0.5833333333333334,0.0,0.6,0.6666666666666666,0.625,0.4375,0.1875,3,3,0.3,0.3,0.4642857142857143,0.64,0.96,0.6114285714285714
compact:frontier_consolidation_fwcompact_medium_032403,False,19,14,14,10,7,3,0.6,0.7,-0.09999999999999998,0.6666666666666666,0.75,0.42857142857142855,0.5,-0.07142857142857145,1,3,0.16666666666666666,0.5,0.5,0.7368421052631579,0.9473684210526315,0.5263157894736842
compact:frontier_consolidation_fwcompact_medium_004790,True,21,16,16,11,8,3,0.9090909090909091,0.7272727272727273,0.18181818181818177,1.0,1.0,0.625,0.5,0.125,3,3,0.3,0.3,0.7619047619047619,0.7619047619047619,0.9523809523809523,0.5380952380952381
compact:frontier_consolidation_fwcompact_medium_023930,True,28,16,16,14,6,8,0.5,0.42857142857142855,0.07142857142857145,0.375,0.375,0.5625,0.375,0.1875,2,3,0.2222222222222222,0.3333333333333333,0.375,0.5714285714285714,0.8571428571428571,0.40816326530612246
compact:frontier_consolidation_fwcompact_medium_032766,True,15,9,9,7,4,3,0.5714285714285714,0.5714285714285714,0.0,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.4444444444444444,0.33333333333333337,2,2,0.2857142857142857,0.2857142857142857,0.2631578947368421,0.6,0.9333333333333333,0.6666666666666667
compact:frontier_consolidation_fwcompact_medium_028521,False,46,29,29,24,13,11,0.75,0.5416666666666666,0.20833333333333337,0.5454545454545454,0.6153846153846154,0.6551724137931034,0.4482758620689655,0.2068965517241379,6,6,0.3157894736842105,0.3157894736842105,0.5306122448979592,0.6304347826086957,0.9782608695652174,0.4915458937198067
