domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,494,0.13765182186234817,401,0.8117408906882592,0.9413145539906104,426,-1.298754378221929
physical-relations,223,0.19282511210762332,162,0.726457399103139,0.9,180,-3.4014173448085785
social-relations,303,0.38283828382838286,133,0.4389438943894389,0.7112299465240641,187,-0.09589862823486328
spatial-relations,147,0.38095238095238093,83,0.564625850340136,0.9120879120879121,91,-0.43247026205062866
physical-interactions,93,0.27956989247311825,55,0.5913978494623656,0.8208955223880597,67,-0.5327609181404114
material-dynamics,65,0.2923076923076923,32,0.49230769230769234,0.6956521739130435,46,-0.42410993576049805
quantitative-properties,46,0.3695652173913043,23,0.5,0.7931034482758621,29,-0.20169707015156746
social-interactions,38,0.2631578947368421,14,0.3684210526315789,0.5,28,-0.048158884048461914
social-properties,40,0.6,11,0.275,0.6875,16,0.09986937046051025
physical-dynamics,13,0.5384615384615384,6,0.46153846153846156,1.0,6,-0.7350160628557205
material-properties,9,0.5555555555555556,2,0.2222222222222222,0.5,4,-0.08084285259246826
