arm,variant,data_arm,checkpoint,words,BLiMP,Supplement,EWoK,Entity,COMPS,GlobalPIQA,Reading,cheap7,cheap6_no_GlobalPIQA,cheap5_no_GlobalPIQA_Reading,EWoK_plus_Entity_sum,Supplement,Entity,COMPS,summary_path,per_target
full_compact,full_p2c_c2p_abs,compact,chck_80M,80000000,66.11,60.66,51.01,27.06,51.93,35.58,8.29,42.94857142857143,44.17666666666666,51.354,78.07,60.66,27.06,51.93,experiments/archive/frontier_consolidation/data/architecture_interaction_selected_panel_final/full_compact/chck_80M/arch_full_compact_chck_80M_summary.json,experiments/archive/frontier_consolidation/data/legal_mature_treatment_effect_eval/per_target/complianttok_reinvest_seed43022_80M.json
full_repeat,full_p2c_c2p_abs,repeat,chck_80M,80000000,66.58,60.34,49.74,26.42,51.59,39.065,7.895,43.09,43.76083333333334,50.934000000000005,76.16,60.34,26.42,51.59,experiments/archive/frontier_consolidation/data/architecture_interaction_selected_panel_final/full_repeat/chck_80M/arch_full_repeat_chck_80M_summary.json,experiments/archive/frontier_consolidation/data/architecture_interaction_selected_panel_final/full_repeat/chck_80M/eval/per_target/arch_full_repeat_chck_80M.json
nodis_compact,no_disentangle_abs,compact,chck_80M,80000000,56.81,53.99,48.49,18.58,51.78,33.25,6.71,38.51571428571429,39.39333333333333,45.93,67.07,53.99,18.58,51.78,experiments/archive/frontier_consolidation/data/architecture_interaction_selected_panel_final/nodis_compact/chck_80M/arch_nodis_compact_chck_80M_summary.json,experiments/archive/frontier_consolidation/data/architecture_interaction_selected_panel_final/nodis_compact/chck_80M/eval/per_target/arch_nodis_compact_chck_80M.json
nodis_repeat,no_disentangle_abs,repeat,chck_80M,80000000,57.46,54.5,51.12,18.45,51.43,33.765,7.64,39.195,40.1,46.592,69.57,54.5,18.45,51.43,experiments/archive/frontier_consolidation/data/architecture_interaction_selected_panel_final/nodis_repeat/chck_80M/arch_nodis_repeat_chck_80M_summary.json,experiments/archive/frontier_consolidation/data/architecture_interaction_selected_panel_final/nodis_repeat/chck_80M/eval/per_target/arch_nodis_repeat_chck_80M.json
full_compact,full_p2c_c2p_abs,compact,chck_100M,100000000,65.87,61.17,50.39,27.4,52.01,36.065,8.135,43.005714285714284,44.1625,51.368,77.78999999999999,61.17,27.4,52.01,experiments/archive/frontier_consolidation/data/architecture_interaction_selected_panel_final/full_compact/chck_100M/arch_full_compact_chck_100M_summary.json,experiments/archive/frontier_consolidation/data/compliant_full_eval/per_target/complianttok_reinvest_seed43022.json
full_repeat,full_p2c_c2p_abs,repeat,chck_100M,100000000,66.99,60.96,51.25,25.77,51.53,39.565,7.705,43.395714285714284,44.034166666666664,51.3,77.02,60.96,25.77,51.53,experiments/archive/frontier_consolidation/data/architecture_interaction_selected_panel_final/full_repeat/chck_100M/arch_full_repeat_chck_100M_summary.json,experiments/archive/frontier_consolidation/data/architecture_interaction_selected_panel_final/full_repeat/chck_100M/eval/per_target/arch_full_repeat_chck_100M.json
nodis_compact,no_disentangle_abs,compact,chck_100M,100000000,56.85,54.18,49.75,18.76,52.34,33.25,6.984999999999999,38.87357142857143,39.810833333333335,46.376000000000005,68.51,54.18,18.76,52.34,experiments/archive/frontier_consolidation/data/architecture_interaction_selected_panel_final/nodis_compact/chck_100M/arch_nodis_compact_chck_100M_summary.json,experiments/archive/frontier_consolidation/data/architecture_interaction_selected_panel_final/nodis_compact/chck_100M/eval/per_target/arch_nodis_compact_chck_100M.json
nodis_repeat,no_disentangle_abs,repeat,chck_100M,100000000,56.81,54.1,50.72,18.85,51.73,32.765,7.4399999999999995,38.91642857142857,39.94166666666667,46.442,69.57,54.1,18.85,51.73,experiments/archive/frontier_consolidation/data/architecture_interaction_selected_panel_final/nodis_repeat/chck_100M/arch_nodis_repeat_chck_100M_summary.json,experiments/archive/frontier_consolidation/data/architecture_interaction_selected_panel_final/nodis_repeat/chck_100M/eval/per_target/arch_nodis_repeat_chck_100M.json
