arm,checkpoint,seed,role2,probe_id,pair_id,token_class,neutral_nll,target_token_id,source_token_len,rewrite_token_len,source_words,rewrite_words
D_C_43122,chck_80M,43022,C,rewritecond:0:0:compact:frontier_consolidation_fwcompact_medium_006297,compact:frontier_consolidation_fwcompact_medium_006297,nonoverlap,6.164241313934326,811,60,31,43,20
D_C_43122,chck_80M,43022,C,rewritecond:0:26:compact:frontier_consolidation_fwcompact_medium_006297,compact:frontier_consolidation_fwcompact_medium_006297,nonoverlap,4.503730773925781,369,60,31,43,20
D_C_43122,chck_80M,43022,C,rewritecond:0:3:compact:frontier_consolidation_fwcompact_medium_006297,compact:frontier_consolidation_fwcompact_medium_006297,overlap,13.228790283203125,1985,60,31,43,20
D_C_43122,chck_80M,43022,C,rewritecond:0:28:compact:frontier_consolidation_fwcompact_medium_006297,compact:frontier_consolidation_fwcompact_medium_006297,overlap,4.008269309997559,328,60,31,43,20
D_C_43122,chck_80M,43022,C,rewritecond:1:2:compact:frontier_consolidation_fwcompact_medium_038651,compact:frontier_consolidation_fwcompact_medium_038651,nonoverlap,1.023126244544983,3348,65,35,46,23
D_C_43122,chck_80M,43022,C,rewritecond:1:28:compact:frontier_consolidation_fwcompact_medium_038651,compact:frontier_consolidation_fwcompact_medium_038651,nonoverlap,7.864248275756836,8411,65,35,46,23
D_C_43122,chck_80M,43022,C,rewritecond:1:1:compact:frontier_consolidation_fwcompact_medium_038651,compact:frontier_consolidation_fwcompact_medium_038651,overlap,8.635961532592773,2716,65,35,46,23
D_C_43122,chck_80M,43022,C,rewritecond:1:33:compact:frontier_consolidation_fwcompact_medium_038651,compact:frontier_consolidation_fwcompact_medium_038651,overlap,11.722892761230469,8625,65,35,46,23
D_C_43122,chck_80M,43022,C,rewritecond:2:0:compact:frontier_consolidation_fwcompact_medium_058642,compact:frontier_consolidation_fwcompact_medium_058642,nonoverlap,12.680460929870605,3483,56,29,43,18
D_C_43122,chck_80M,43022,C,rewritecond:2:24:compact:frontier_consolidation_fwcompact_medium_058642,compact:frontier_consolidation_fwcompact_medium_058642,nonoverlap,4.76900577545166,5395,56,29,43,18
D_C_43122,chck_80M,43022,C,rewritecond:2:1:compact:frontier_consolidation_fwcompact_medium_058642,compact:frontier_consolidation_fwcompact_medium_058642,overlap,8.150638580322266,5677,56,29,43,18
D_C_43122,chck_80M,43022,C,rewritecond:2:27:compact:frontier_consolidation_fwcompact_medium_058642,compact:frontier_consolidation_fwcompact_medium_058642,overlap,4.418154716491699,14616,56,29,43,18
