contrast,token_class,n_min,delta_T,delta_U,delta_N,delta_U_minus_T,delta_T_minus_N,delta_U_minus_N,delta_N_minus_T,delta_N_minus_U
RminusRS,nonoverlap,2732,1.0736876143302903,0.2201517190134359,0.19816196903464967,-0.8535358953168555,0.8755256452956414,0.021989749978785555,-0.8755256452956414,-0.021989749978785555
VminusVS,nonoverlap,2732,-0.5379334325502638,0.39133107501151176,0.25730578978423235,0.929264507561776,-0.7952392223344962,0.13402528522727972,0.7952392223344962,-0.13402528522727972
RminusC,nonoverlap,2732,0.6931114426860372,-0.350199598403524,-0.316668195202217,-1.0433110410895625,1.009779637888255,-0.03353140320130721,-1.009779637888255,0.03353140320130721
RSminusC,nonoverlap,2732,-0.38057617164425306,-0.5703513174169599,-0.5148301642368667,-0.18977514577270704,0.13425399259261384,-0.055521153180092764,-0.13425399259261384,0.055521153180092764
VminusC,nonoverlap,2732,-1.3543801780278972,-0.4605914249900529,-0.5307377842727075,0.8937887530378443,-0.8236423937551904,0.07014635928265392,0.8236423937551904,-0.07014635928265392
VSminusC,nonoverlap,2732,-0.8164467454776334,-0.8519225000015647,-0.7880435740569398,-0.0354757545239317,-0.028403171420694262,-0.0638789259446258,0.028403171420694262,0.0638789259446258
VminusR,nonoverlap,2732,-2.0474916207139344,-0.11039182658652891,-0.21406958907049045,1.9370997941274068,-1.8334220316434457,0.10367776248396113,1.8334220316434457,-0.10367776248396113
VSminusRS,nonoverlap,2732,-0.43587057383338035,-0.2815711825846048,-0.27321340982007314,0.15429939124877534,-0.1626571640133081,-0.008357772764533034,0.1626571640133081,0.008357772764533034
RminusRS,overlap,3160,-0.10520825833262082,0.352036635406912,0.3593758942343719,0.45724489373953237,-0.46458415256699226,-0.007339258827460615,0.46458415256699226,0.007339258827460615
VminusVS,overlap,3160,-0.8175138436986387,0.5078981257449762,0.37625537474064163,1.3254119694436142,-1.1937692184392787,0.13164275100433562,1.1937692184392787,-0.13164275100433562
RminusC,overlap,3160,-0.06382148656189135,-0.347168550526459,-0.2719352044247163,-0.283347063964567,0.2081137178628243,-0.07523334610174243,-0.2081137178628243,0.07523334610174243
RSminusC,overlap,3160,0.04138677177072947,-0.699205185933371,-0.6313110986590882,-0.7405919577040994,0.6726978704298165,-0.06789408727428181,-0.6726978704298165,0.06789408727428181
VminusC,overlap,3160,-0.9770984118534911,-0.31886385437359,-0.35654583756629066,0.6582345574799007,-0.6205525742871991,0.0376819831927018,0.6205525742871991,-0.0376819831927018
VSminusC,overlap,3160,-0.15958456815485245,-0.8267619801185662,-0.7328012123069323,-0.6671774119637135,0.5732166441520796,-0.09396076781163382,-0.5732166441520796,0.09396076781163382
VminusR,overlap,3160,-0.9132769252915998,0.028304696152869013,-0.08461063314157435,0.9415816214444677,-0.8286662921500234,0.11291532929444423,0.8286662921500234,-0.11291532929444423
VSminusRS,overlap,3160,-0.20097133992558192,-0.12755679418519517,-0.1014901136478441,0.07341454574038586,-0.09948122627773692,-0.026066680537352005,0.09948122627773692,0.026066680537352005
