role2,token_class,n_min,T,U,N,U_minus_T,T_minus_N,U_minus_N,N_minus_T,N_minus_U
C,nonoverlap,2732,6.953423093540436,8.225382418865578,8.50769853440863,1.271959325325143,-1.5542754408681951,-0.2823161155430522,1.5542754408681951,0.2823161155430522
C,overlap,3160,1.7908147287875673,8.168085345508578,8.388400369460639,6.3772706167210105,-6.5975856406730715,-0.2203150239520616,6.5975856406730715,0.2203150239520616
R,nonoverlap,2732,7.646534536226473,7.875182820462054,8.191030339206414,0.22864828423558056,-0.5444958029799399,-0.3158475187443594,0.5444958029799399,0.3158475187443594
R,overlap,3160,1.726993242225676,7.820916794982119,8.116465165035923,6.0939235527564435,-6.389471922810247,-0.295548370053804,6.389471922810247,0.295548370053804
RS,nonoverlap,2732,6.572846921896183,7.6550311014486185,7.992868370171764,1.082184179552436,-1.4200214482755813,-0.33783726872314496,1.4200214482755813,0.33783726872314496
RS,overlap,3160,1.8322015005582968,7.468880159575207,7.757089270801551,5.636678659016911,-5.924887770243255,-0.2882091112263434,5.924887770243255,0.2882091112263434
V,nonoverlap,2732,5.5990429155125385,7.7647909938755255,7.976960750135923,2.1657480783629874,-2.3779178346233856,-0.21216975626039827,2.3779178346233856,0.21216975626039827
V,overlap,3160,0.8137163169340762,7.849221491134988,8.031854531894348,7.035505174200911,-7.218138214960271,-0.1826330407593598,7.218138214960271,0.1826330407593598
VS,nonoverlap,2732,6.136976348062802,7.373459918864014,7.719654960351691,1.2364835708012114,-1.5826786122888894,-0.346195041487678,1.5826786122888894,0.346195041487678
VS,overlap,3160,1.6312301606327149,7.341323365390012,7.6555991571537065,5.710093204757297,-6.024368996520992,-0.3142757917636954,6.024368996520992,0.3142757917636954
