role2,checkpoint,token_class,n,T,U,N,U_minus_T,T_minus_N,U_minus_N,N_minus_T,N_minus_U
C,chck_100M,nonoverlap,2732,6.924546675384828,8.19692200161844,8.467927147400133,1.2723753262336106,-1.5433804720153046,-0.2710051457816939,1.5433804720153046,0.2710051457816939
C,chck_100M,overlap,3160,1.7715181060137206,8.15003741687706,8.360419385669505,6.378519310863339,-6.588901279655785,-0.2103819687924454,6.588901279655785,0.2103819687924454
C,chck_80M,nonoverlap,2732,7.0018068075893884,8.270515013141845,8.564656784705644,1.2687082055524554,-1.5628499771162558,-0.2941417715638006,1.5628499771162558,0.2941417715638006
C,chck_80M,overlap,3160,1.8300406739694477,8.196781638315349,8.427755371561345,6.366740964345901,-6.597714697591897,-0.23097373324599635,6.597714697591897,0.23097373324599635
C,chck_90M,nonoverlap,2732,6.93391579764709,8.208710241836453,8.490511671120116,1.2747944441893633,-1.5565958734730254,-0.28180142928366203,1.5565958734730254,0.28180142928366203
C,chck_90M,overlap,3160,1.7708854063795334,8.157436981333325,8.377026351151068,6.386551574953792,-6.606140944771535,-0.21958936981774302,6.606140944771535,0.21958936981774302
R,chck_100M,nonoverlap,2732,7.674320428502319,7.873057120727815,8.177646399925614,0.1987366922254951,-0.5033259714232952,-0.30458927919780004,0.5033259714232952,0.30458927919780004
R,chck_100M,overlap,3160,1.7028271074889962,7.816135677174426,8.102997938817945,6.11330856968543,-6.400170831328948,-0.28686226164351836,6.400170831328948,0.28686226164351836
R,chck_80M,nonoverlap,2732,7.603301722508627,7.887198585711282,8.226941687749674,0.2838968632026544,-0.6236399652410468,-0.33974310203839236,0.6236399652410468,0.33974310203839236
R,chck_80M,overlap,3160,1.753259267288303,7.832374601490733,8.145278072867342,6.079115334202431,-6.392018805579039,-0.3129034713766084,6.392018805579039,0.3129034713766084
R,chck_90M,nonoverlap,2732,7.6619814576684755,7.865292754947068,8.168502929943953,0.20331129727859223,-0.5065214722754781,-0.3032101749968858,0.5065214722754781,0.3032101749968858
R,chck_90M,overlap,3160,1.7248933518997283,7.814240106281197,8.101119483422481,6.089346754381468,-6.3762261315227535,-0.2868793771412854,6.3762261315227535,0.2868793771412854
RS,chck_100M,nonoverlap,2732,6.552948148551091,7.65947231015335,7.9917845419348295,1.1065241616022585,-1.438836393383738,-0.33231223178147934,1.438836393383738,0.33231223178147934
RS,chck_100M,overlap,3160,1.7972710181310585,7.465478702879045,7.746853565490404,5.668207684747987,-5.949582547359346,-0.28137486261135863,5.949582547359346,0.28137486261135863
RS,chck_80M,nonoverlap,2732,6.604649755730816,7.665605443626599,8.000755419533995,1.0609556878957827,-1.3961056638031784,-0.3351499759073957,1.3961056638031784,0.3351499759073957
RS,chck_80M,overlap,3160,1.9042381263135777,7.487495644909884,7.7753705941744835,5.583257518596306,-5.871132467860906,-0.28787494926459944,5.871132467860906,0.28787494926459944
RS,chck_90M,nonoverlap,2732,6.56094286140664,7.6400155505659075,7.986065149046467,1.0790726891592675,-1.4251222876398273,-0.3460495984805598,1.4251222876398273,0.3460495984805598
RS,chck_90M,overlap,3160,1.7950953572302544,7.453666130936693,7.749043652739765,5.658570773706439,-5.953948295509511,-0.2953775218030721,5.953948295509511,0.2953775218030721
V,chck_100M,nonoverlap,2732,5.560600936224978,7.744814345601531,7.952984413123549,2.184213409376553,-2.3923834768985706,-0.20817006752201755,2.3923834768985706,0.20817006752201755
V,chck_100M,overlap,3160,0.7928289745311339,7.831188469906515,8.010280041359483,7.0383594953753805,-7.217451066828349,-0.17909157145296845,7.217451066828349,0.17909157145296845
V,chck_80M,nonoverlap,2732,5.66097319457785,7.797677816770968,8.023419029776505,2.1367046221931183,-2.362445835198656,-0.2257412130055379,2.362445835198656,0.2257412130055379
V,chck_80M,overlap,3160,0.8518659646824353,7.860274874051676,8.057144134840634,7.0084089093692405,-7.205278170158198,-0.19686926078895708,7.205278170158198,0.19686926078895708
V,chck_90M,nonoverlap,2732,5.575554615734786,7.751880819254076,7.954478807507716,2.1763262035192903,-2.3789241917729296,-0.20259798825363934,2.3789241917729296,0.20259798825363934
V,chck_90M,overlap,3160,0.7964540115886595,7.856201129446773,8.028139419482926,7.059747117858113,-7.231685407894267,-0.17193829003615377,7.231685407894267,0.17193829003615377
VS,chck_100M,nonoverlap,2732,6.091441002327371,7.362855780412924,7.695332103618353,1.2714147780855536,-1.6038911012909818,-0.33247632320542814,1.6038911012909818,0.33247632320542814
VS,chck_100M,overlap,3160,1.6163549754101432,7.322674854669375,7.630024406140379,5.706319879259232,-6.013669430730235,-0.3073495514710033,6.013669430730235,0.3073495514710033
VS,chck_80M,nonoverlap,2732,6.230916104983746,7.41743830061009,7.7799683925433225,1.1865221956263448,-1.5490522875595771,-0.3625300919332325,1.5490522875595771,0.3625300919332325
VS,chck_80M,overlap,3160,1.6477578771526813,7.390048823254168,7.712455427225847,5.742290946101487,-6.0646975500731655,-0.322406603971679,6.0646975500731655,0.322406603971679
VS,chck_90M,nonoverlap,2732,6.088571936877289,7.340085675569025,7.683664384893398,1.2515137386917359,-1.595092448016109,-0.34357870932437323,1.595092448016109,0.34357870932437323
VS,chck_90M,overlap,3160,1.6295776293353201,7.311246418246492,7.6243176380948965,5.681668788911172,-5.994740008759576,-0.3130712198484041,5.994740008759576,0.3130712198484041
