arm,checkpoint,n_records,elapsed_sec,device
D_C_43122,chck_80M,5892,6.97,cuda:0
D_C_43122,chck_90M,5892,5.0,cuda:0
D_C_43122,chck_100M,5892,4.76,cuda:0
D_R_43122,chck_80M,5892,5.0,cuda:0
D_R_43122,chck_90M,5892,4.77,cuda:0
D_R_43122,chck_100M,5892,4.9,cuda:0
D_V_43122,chck_80M,5892,4.7,cuda:0
D_V_43122,chck_90M,5892,4.81,cuda:0
D_V_43122,chck_100M,5892,4.76,cuda:0
D_RS_43122,chck_80M,5892,5.05,cuda:0
D_RS_43122,chck_90M,5892,5.04,cuda:0
D_RS_43122,chck_100M,5892,5.02,cuda:0
D_VS_43122,chck_80M,5892,4.92,cuda:0
D_VS_43122,chck_90M,5892,4.97,cuda:0
D_VS_43122,chck_100M,5892,5.03,cuda:0
