arm,checkpoint,n_records,elapsed_sec,device
D_C_43122,chck_80M,5892,6.15,cuda:0
D_C_43122,chck_90M,5892,4.65,cuda:0
D_C_43122,chck_100M,5892,4.25,cuda:0
D_R_43122,chck_80M,5892,4.61,cuda:0
D_R_43122,chck_90M,5892,4.09,cuda:0
D_R_43122,chck_100M,5892,4.22,cuda:0
D_V_43122,chck_80M,5892,4.01,cuda:0
D_V_43122,chck_90M,5892,4.75,cuda:0
D_V_43122,chck_100M,5892,4.03,cuda:0
D_RS_43122,chck_80M,5892,4.46,cuda:0
D_RS_43122,chck_90M,5892,4.17,cuda:0
D_RS_43122,chck_100M,5892,4.06,cuda:0
D_VS_43122,chck_80M,5892,3.99,cuda:0
D_VS_43122,chck_90M,5892,4.23,cuda:0
D_VS_43122,chck_100M,5892,4.2,cuda:0
