event_index,pair_id,category,word,word_index,n_pieces,ordered_selected_count_4passes,scrambled_selected_count_4passes,either_arm_selected_count_4passes,neither_arm_selected,ordered_never_selected,scrambled_never_selected
0,compact:frontier_consolidation_fwcompact_medium_056933,function_other,the,8,1,0,0,0,True,True,True
1,compact:frontier_consolidation_fwcompact_medium_004169,source_absent_content,blocking,9,2,1,2,3,False,False,False
2,compact:frontier_consolidation_fwcompact_medium_036388,retained_content,Fosso,0,3,1,1,2,False,False,False
3,compact:frontier_consolidation_fwcompact_medium_047715,retained_content,negotiate.,23,3,0,1,1,False,True,False
4,compact:frontier_consolidation_fwcompact_medium_002529,retained_content,linked,10,1,1,1,2,False,False,False
5,compact:frontier_consolidation_fwcompact_medium_047193,source_absent_content,feared,5,1,0,0,0,True,True,True
6,compact:frontier_consolidation_fwcompact_medium_056335,source_absent_content,workshop's,11,3,0,1,1,False,True,False
7,compact:frontier_consolidation_fwcompact_medium_060265,source_absent_content,outnumbered,3,4,0,0,0,True,True,True
8,compact:frontier_consolidation_fwcompact_medium_021480,retained_content,speedy,4,2,0,0,0,True,True,True
9,compact:frontier_consolidation_fwcompact_medium_036867,function_other,and,2,1,0,0,0,True,True,True
10,compact:frontier_consolidation_fwcompact_medium_016113,source_absent_content,together,3,1,0,0,0,True,True,True
11,compact:frontier_consolidation_fwcompact_medium_042050,retained_content,polluted,6,2,0,0,0,True,True,True
12,compact:frontier_consolidation_fwcompact_medium_053016,retained_content,"peltasts,",7,5,1,1,2,False,False,False
13,compact:frontier_consolidation_fwcompact_medium_026034,function_other,only,3,1,0,0,0,True,True,True
14,compact:frontier_consolidation_fwcompact_medium_029684,retained_content,"home,",5,2,0,1,1,False,True,False
15,compact:frontier_consolidation_fwcompact_medium_054854,function_other,and,5,1,1,0,1,False,False,True
16,compact:frontier_consolidation_fwcompact_medium_055056,retained_content,highway,6,1,0,0,0,True,True,True
17,compact:frontier_consolidation_fwcompact_medium_017513,source_absent_content,openings,4,2,0,1,1,False,True,False
18,compact:frontier_consolidation_fwcompact_medium_001397,source_absent_content,causing,6,1,0,1,1,False,True,False
19,compact:frontier_consolidation_fwcompact_medium_024836,retained_content,others,7,1,0,0,0,True,True,True
20,compact:frontier_consolidation_fwcompact_medium_020165,function_other,with,10,1,2,1,3,False,False,False
21,compact:frontier_consolidation_fwcompact_medium_040350,retained_content,calories,10,2,1,1,2,False,False,False
22,compact:frontier_consolidation_fwcompact_medium_031304,function_other,Some,0,1,1,0,1,False,False,True
23,compact:frontier_consolidation_fwcompact_medium_056973,function_other,to,10,1,0,0,0,True,True,True
24,compact:frontier_consolidation_fwcompact_medium_018490,source_absent_content,differs,16,2,1,0,1,False,False,True
25,compact:frontier_consolidation_fwcompact_medium_060915,function_other,a,9,1,0,1,1,False,True,False
26,compact:frontier_consolidation_fwcompact_medium_012244,function_other,and,4,1,1,0,1,False,False,True
27,compact:frontier_consolidation_fwcompact_medium_058877,retained_content,two,9,1,0,1,1,False,True,False
28,compact:frontier_consolidation_fwcompact_medium_044330,retained_content,high,7,1,1,1,2,False,False,False
29,compact:frontier_consolidation_fwcompact_medium_046410,source_absent_content,stronger,15,1,1,1,2,False,False,False
30,compact:frontier_consolidation_fwcompact_medium_040569,retained_content,ministry,3,2,0,0,0,True,True,True
31,compact:frontier_consolidation_fwcompact_medium_047552,source_absent_content,shown,17,1,0,1,1,False,True,False
32,compact:frontier_consolidation_fwcompact_medium_041296,source_absent_content,nodes,8,2,0,1,1,False,True,False
33,compact:frontier_consolidation_fwcompact_medium_013436,function_other,were,9,1,0,1,1,False,True,False
34,compact:frontier_consolidation_fwcompact_medium_012836,source_absent_content,males.,13,2,2,1,3,False,False,False
35,compact:frontier_consolidation_fwcompact_medium_060445,function_other,only,8,1,2,0,2,False,False,True
36,compact:frontier_consolidation_fwcompact_medium_048888,retained_content,"alcohol,",1,2,0,1,1,False,True,False
37,compact:frontier_consolidation_fwcompact_medium_042257,source_absent_content,suffered,5,1,2,1,3,False,False,False
38,compact:frontier_consolidation_fwcompact_medium_013940,function_other,more,5,1,0,1,1,False,True,False
39,compact:frontier_consolidation_fwcompact_medium_044690,source_absent_content,exist,3,1,1,0,1,False,False,True
40,compact:frontier_consolidation_fwcompact_medium_048448,retained_content,portfolios.,13,5,0,0,0,True,True,True
41,compact:frontier_consolidation_fwcompact_medium_053964,source_absent_content,losing,4,1,0,0,0,True,True,True
