target,variant,frame_id,family,subtype,depth,alt_a,alt_b,target_prior_ratio,target_prior_balanced_le4,renaming_of,shuffled_context_family,c1_a_sum,c1_a_mean,c1_a_n_tokens,c1_a_status,c1_b_sum,c1_b_mean,c1_b_n_tokens,c1_b_status,c2_a_sum,c2_a_mean,c2_a_n_tokens,c2_a_status,c2_b_sum,c2_b_mean,c2_b_n_tokens,c2_b_status,none_a_sum,none_a_mean,none_a_n_tokens,none_a_status,none_b_sum,none_b_mean,none_b_n_tokens,none_b_status,shuf1_a_sum,shuf1_a_mean,shuf1_a_n_tokens,shuf1_a_status,shuf1_b_sum,shuf1_b_mean,shuf1_b_n_tokens,shuf1_b_status,shuf2_a_sum,shuf2_a_mean,shuf2_a_n_tokens,shuf2_a_status,shuf2_b_sum,shuf2_b_mean,shuf2_b_n_tokens,shuf2_b_status,delta1,delta2,correct_margin_c1,correct_margin_c2,min_signed_margin,interaction,crossed_success,c1_success,c2_success,same_sign_positive,same_sign_negative,none_delta,delta1_minus_none,delta2_minus_none,shuf_delta1,shuf_delta2,shuf_correct_margin_c1,shuf_correct_margin_c2,shuf_min_signed_margin,shuf_interaction,shuf_crossed_success,interaction_excess_over_shuffled,min_margin_excess_over_shuffled
legal16k_base_100M_seed43022,original,A_0001,A_spatial_direct,inside_outside,1.0,inside,outside,1.0257787325456498,True,,B_transfer_role,-0.1477508395910263,-0.1477508395910263,1,ok,-4.488456726074219,-4.488456726074219,1,ok,-3.2283928394317627,-3.2283928394317627,1,ok,-0.12494106590747833,-0.12494106590747833,1,ok,-4.039344787597656,-4.039344787597656,1,ok,-6.123725891113281,-6.123725891113281,1,ok,-4.505792617797852,-4.505792617797852,1,ok,-5.132678031921387,-5.132678031921387,1,ok,-4.385908126831055,-4.385908126831055,1,ok,-5.094998359680176,-5.094998359680176,1,ok,4.340705886483192,-3.1034517735242844,4.340705886483192,3.1034517735242844,3.1034517735242844,7.444157660007477,True,True,True,False,False,2.084381103515625,2.2563247829675674,-5.187832877039909,0.6268854141235352,0.7090902328491211,0.6268854141235352,-0.7090902328491211,-0.7090902328491211,-0.08220481872558594,False,7.526362478733063,3.8125420063734055
legal16k_base_100M_seed43022,original,A_0002,A_spatial_direct,on_under,1.0,on,under,18.004459861248762,False,,B_transfer_role,-0.013222274370491505,-0.013222274370491505,1,ok,-8.072399139404297,-8.072399139404297,1,ok,-5.61467170715332,-5.61467170715332,1,ok,-0.03829672187566757,-0.03829672187566757,1,ok,-0.29118677973747253,-0.29118677973747253,1,ok,-4.283568859100342,-4.283568859100342,1,ok,-0.2599544823169708,-0.2599544823169708,1,ok,-4.048776626586914,-4.048776626586914,1,ok,-0.27132073044776917,-0.27132073044776917,1,ok,-4.123280048370361,-4.123280048370361,1,ok,8.059176865033805,-5.576374985277653,8.059176865033805,5.576374985277653,5.576374985277653,13.635551850311458,True,True,True,False,False,3.9923820793628693,4.066794785670936,-9.568757064640522,3.7888221442699432,3.851959317922592,3.7888221442699432,-3.851959317922592,-3.851959317922592,-0.06313717365264893,False,13.698689023964107,9.428334303200245
legal16k_base_100M_seed43022,original,A_0003,A_spatial_direct,on_under,1.0,on,under,18.004459861248762,False,,B_transfer_role,-0.018654385581612587,-0.018654385581612587,1,ok,-7.611099720001221,-7.611099720001221,1,ok,-6.579043388366699,-6.579043388366699,1,ok,-0.020511768758296967,-0.020511768758296967,1,ok,-1.262765645980835,-1.262765645980835,1,ok,-3.763864278793335,-3.763864278793335,1,ok,-1.492295742034912,-1.492295742034912,1,ok,-3.8100409507751465,-3.8100409507751465,1,ok,-1.5369479656219482,-1.5369479656219482,1,ok,-3.7760608196258545,-3.7760608196258545,1,ok,7.592445334419608,-6.558531619608402,7.592445334419608,6.558531619608402,6.558531619608402,14.15097695402801,True,True,True,False,False,2.5010986328125,5.091346701607108,-9.059630252420902,2.3177452087402344,2.2391128540039062,2.3177452087402344,-2.2391128540039062,-2.2391128540039062,0.07863235473632812,False,14.072344599291682,8.797644473612309
legal16k_base_100M_seed43022,original,A_0004,A_spatial_direct,above_below,1.0,above,below,1.9215116279069768,True,,B_transfer_role,-0.0669766291975975,-0.0669766291975975,1,ok,-4.160762786865234,-4.160762786865234,1,ok,-3.8295230865478516,-3.8295230865478516,1,ok,-0.17924025654792786,-0.17924025654792786,1,ok,-5.4693603515625,-5.4693603515625,1,ok,-6.094943046569824,-6.094943046569824,1,ok,-6.18047571182251,-6.18047571182251,1,ok,-6.637902736663818,-6.637902736663818,1,ok,-6.135723114013672,-6.135723114013672,1,ok,-6.5792236328125,-6.5792236328125,1,ok,4.093786157667637,-3.6502828299999237,4.093786157667637,3.6502828299999237,3.6502828299999237,7.744068987667561,True,True,True,False,False,0.6255826950073242,3.4682034626603127,-4.275865525007248,0.4574270248413086,0.4435005187988281,0.4574270248413086,-0.4435005187988281,-0.4435005187988281,0.013926506042480469,False,7.73014248162508,4.093783348798752
legal16k_base_100M_seed43022,original,A_0005,A_spatial_direct,above_below,1.0,above,below,1.9215116279069768,True,,B_transfer_role,-0.2066514492034912,-0.2066514492034912,1,ok,-3.356306791305542,-3.356306791305542,1,ok,-4.455814838409424,-4.455814838409424,1,ok,-0.23102334141731262,-0.23102334141731262,1,ok,-8.110185623168945,-8.110185623168945,1,ok,-7.511404514312744,-7.511404514312744,1,ok,-8.402536392211914,-8.402536392211914,1,ok,-7.882447719573975,-7.882447719573975,1,ok,-8.210984230041504,-8.210984230041504,1,ok,-7.861544609069824,-7.861544609069824,1,ok,3.149655342102051,-4.224791496992111,3.149655342102051,4.224791496992111,3.149655342102051,7.374446839094162,True,True,True,False,False,-0.5987811088562012,3.748436450958252,-3.62601038813591,-0.5200886726379395,-0.3494396209716797,-0.5200886726379395,0.3494396209716797,-0.5200886726379395,-0.17064905166625977,False,7.545095890760422,3.6697440147399902
legal16k_base_100M_seed43022,original,A_0006,A_spatial_direct,above_below,1.0,above,below,1.9215116279069768,True,,B_transfer_role,-0.19579945504665375,-0.19579945504665375,1,ok,-3.717465877532959,-3.717465877532959,1,ok,-4.074977874755859,-4.074977874755859,1,ok,-0.2698419988155365,-0.2698419988155365,1,ok,-5.630919933319092,-5.630919933319092,1,ok,-6.392889499664307,-6.392889499664307,1,ok,-7.3388848304748535,-7.3388848304748535,1,ok,-7.575820446014404,-7.575820446014404,1,ok,-7.4136643409729,-7.4136643409729,1,ok,-7.498851299285889,-7.498851299285889,1,ok,3.5216664224863052,-3.805135875940323,3.5216664224863052,3.805135875940323,3.5216664224863052,7.326802298426628,True,True,True,False,False,0.7619695663452148,2.7596968561410904,-4.567105442285538,0.23693561553955078,0.08518695831298828,0.23693561553955078,-0.08518695831298828,-0.08518695831298828,0.1517486572265625,False,7.175053641200066,3.6068533807992935
legal16k_base_100M_seed43022,original,A_0007,A_spatial_direct,above_below,1.0,above,below,1.9215116279069768,True,,B_transfer_role,-0.2123584896326065,-0.2123584896326065,1,ok,-3.8400630950927734,-3.8400630950927734,1,ok,-4.102047443389893,-4.102047443389893,1,ok,-0.3053966164588928,-0.3053966164588928,1,ok,-7.387509346008301,-7.387509346008301,1,ok,-8.437628746032715,-8.437628746032715,1,ok,-8.322001457214355,-8.322001457214355,1,ok,-9.173051834106445,-9.173051834106445,1,ok,-8.355293273925781,-8.355293273925781,1,ok,-9.031644821166992,-9.031644821166992,1,ok,3.627704605460167,-3.7966508269309998,3.627704605460167,3.7966508269309998,3.627704605460167,7.424355432391167,True,True,True,False,False,1.050119400024414,2.577585205435753,-4.846770226955414,0.8510503768920898,0.6763515472412109,0.8510503768920898,-0.6763515472412109,-0.6763515472412109,0.1746988296508789,False,7.249656602740288,4.304056152701378
legal16k_base_100M_seed43022,original,A_0008,A_spatial_direct,inside_outside,1.0,inside,outside,1.0257787325456498,True,,B_transfer_role,-0.3791416585445404,-0.3791416585445404,1,ok,-3.992126226425171,-3.992126226425171,1,ok,-3.6813275814056396,-3.6813275814056396,1,ok,-0.17489215731620789,-0.17489215731620789,1,ok,-4.841891765594482,-4.841891765594482,1,ok,-5.9826979637146,-5.9826979637146,1,ok,-5.446930408477783,-5.446930408477783,1,ok,-5.6220383644104,-5.6220383644104,1,ok,-5.492633819580078,-5.492633819580078,1,ok,-5.5918731689453125,-5.5918731689453125,1,ok,3.6129845678806305,-3.5064354240894318,3.6129845678806305,3.5064354240894318,3.5064354240894318,7.119419991970062,True,True,True,False,False,1.1408061981201172,2.4721783697605133,-4.647241622209549,0.1751079559326172,0.09923934936523438,0.1751079559326172,-0.09923934936523438,-0.09923934936523438,0.07586860656738281,False,7.043551385402679,3.605674773454666
legal16k_base_100M_seed43022,original,A_0009,A_spatial_direct,inside_outside,1.0,inside,outside,1.0257787325456498,True,,B_transfer_role,-0.174037903547287,-0.174037903547287,1,ok,-4.528621673583984,-4.528621673583984,1,ok,-3.121645212173462,-3.121645212173462,1,ok,-0.15680816769599915,-0.15680816769599915,1,ok,-3.4522037506103516,-3.4522037506103516,1,ok,-5.307289123535156,-5.307289123535156,1,ok,-4.344685077667236,-4.344685077667236,1,ok,-5.2942118644714355,-5.2942118644714355,1,ok,-4.242807388305664,-4.242807388305664,1,ok,-5.19895076751709,-5.19895076751709,1,ok,4.354583770036697,-2.9648370444774628,4.354583770036697,2.9648370444774628,2.9648370444774628,7.31942081451416,True,True,True,False,False,1.8550853729248047,2.4994983971118927,-4.8199224174022675,0.9495267868041992,0.9561433792114258,0.9495267868041992,-0.9561433792114258,-0.9561433792114258,-0.0066165924072265625,False,7.326037406921387,3.9209804236888885
legal16k_base_100M_seed43022,original,A_0010,A_spatial_direct,above_below,1.0,above,below,1.9215116279069768,True,,B_transfer_role,-0.28249630331993103,-0.28249630331993103,1,ok,-3.368051290512085,-3.368051290512085,1,ok,-4.668155193328857,-4.668155193328857,1,ok,-0.2822701632976532,-0.2822701632976532,1,ok,-7.403443336486816,-7.403443336486816,1,ok,-8.189872741699219,-8.189872741699219,1,ok,-8.402902603149414,-8.402902603149414,1,ok,-9.100299835205078,-9.100299835205078,1,ok,-8.34777545928955,-8.34777545928955,1,ok,-9.009093284606934,-9.009093284606934,1,ok,3.085554987192154,-4.385885030031204,3.085554987192154,4.385885030031204,3.085554987192154,7.471440017223358,True,True,True,False,False,0.7864294052124023,2.2991255819797516,-5.172314435243607,0.6973972320556641,0.6613178253173828,0.6973972320556641,-0.6613178253173828,-0.6613178253173828,0.03607940673828125,False,7.435360610485077,3.7468728125095367
