source_label,route,scanned_sentences,scanned_words,candidate_count,candidate_words,candidate_sentence_fraction,candidate_word_fraction
compact_experience_aligned_10m_rows,physical_material_transition,412429,7222984,7288,254470,0.01767092032810496,0.035230591677899326
compact_experience_aligned_10m_rows,spatial_transition,412429,7222984,11113,393680,0.026945243908648518,0.05450378956951864
compact_experience_aligned_10m_rows,temporal_quantity_transition,412429,7222984,10591,374102,0.02567957151412728,0.05179327546620621
compact_experience_aligned_10m_rows,affordance_procedure_transition,412429,7222984,5343,183139,0.012954957095645554,0.025355033321408437
compact_experience_aligned_10m_rows,social_agent_transition,412429,7222984,10009,363275,0.024268419534028886,0.05029431049549604
compact_experience_aligned_10m_rows,explicit_contrast_transition,412429,7222984,1701,61703,0.0041243462511123125,0.008542591261450946
fw_frozen_sources_38167,physical_material_transition,38176,878773,1134,31968,0.02970452640402347,0.036377995227436434
fw_frozen_sources_38167,spatial_transition,38176,878773,1646,47798,0.04311609388097234,0.05439174849477624
fw_frozen_sources_38167,temporal_quantity_transition,38176,878773,2339,67181,0.06126886001676446,0.07644863918213236
fw_frozen_sources_38167,affordance_procedure_transition,38176,878773,1031,29000,0.027006496227996647,0.03300055873359787
fw_frozen_sources_38167,social_agent_transition,38176,878773,957,27660,0.02506810561609388,0.031475705330045414
fw_frozen_sources_38167,explicit_contrast_transition,38176,878773,210,5926,0.00550083822296731,0.0067434934846655505
fw_compact_pair_sources,physical_material_transition,22824,495522,565,15310,0.024754644234139502,0.030896710943207364
fw_compact_pair_sources,spatial_transition,22824,495522,797,22261,0.03491938310550298,0.0449243424106296
fw_compact_pair_sources,temporal_quantity_transition,22824,495522,1088,30344,0.04766912022432527,0.06123643349841178
fw_compact_pair_sources,affordance_procedure_transition,22824,495522,491,13305,0.021512443042411497,0.02685047283470764
fw_compact_pair_sources,social_agent_transition,22824,495522,462,12912,0.02024185068349106,0.026057369803964305
fw_compact_pair_sources,explicit_contrast_transition,22824,495522,101,2747,0.004425166491412548,0.005543648919725057
fw_compact_rewrites,physical_material_transition,21196,310312,352,6302,0.016606906963578034,0.020308592642243935
fw_compact_rewrites,spatial_transition,21196,310312,413,7820,0.019484808454425365,0.025200443424682254
fw_compact_rewrites,temporal_quantity_transition,21196,310312,698,13227,0.0329307416493678,0.04262484209440821
fw_compact_rewrites,affordance_procedure_transition,21196,310312,210,3954,0.009907529722589167,0.012742014488643687
fw_compact_rewrites,social_agent_transition,21196,310312,224,4208,0.010568031704095112,0.013560545515481193
fw_compact_rewrites,explicit_contrast_transition,21196,310312,74,1315,0.003491224759388564,0.004237670473587873
fw_breadth_whole_sentence_companions,physical_material_transition,11953,319911,444,14002,0.037145486488747596,0.04376842309267265
fw_breadth_whole_sentence_companions,spatial_transition,11953,319911,675,21374,0.05647117878356898,0.06681233217988754
fw_breadth_whole_sentence_companions,temporal_quantity_transition,11953,319911,936,29168,0.07830670124654898,0.09117535814648449
fw_breadth_whole_sentence_companions,affordance_procedure_transition,11953,319911,367,11577,0.030703589057140466,0.03618818984029933
fw_breadth_whole_sentence_companions,social_agent_transition,11953,319911,456,14449,0.03814941855601104,0.04516568670661528
fw_breadth_whole_sentence_companions,explicit_contrast_transition,11953,319911,99,3224,0.00828243955492345,0.010077802888928483
