column,n_items,gain_prev_to_best,gain_prev_to_best_per_item,loss_prev_to_best,loss_prev_to_best_per_item,gain_best_to_next,gain_best_to_next_per_item,loss_best_to_next,loss_best_to_next_per_item,transient_gain_best_only_vs_neighbors,transient_gain_best_only_vs_neighbors_per_item,persistent_gain_prev_to_best_through_next,persistent_gain_prev_to_best_through_next_per_item,recovered_loss_best_only_vs_neighbors,recovered_loss_best_only_vs_neighbors_per_item,gain_best_to_final,gain_best_to_final_per_item,loss_best_to_final,loss_best_to_final_per_item,net_prev_to_best,net_best_to_next,net_best_to_final,mean_flip_count_all,frac_any_flip_all
BLiMP,59875,1015,0.01695198329853862,1154,0.01927348643006263,986,0.016467640918580377,859,0.014346555323590814,359,0.005995824634655532,656,0.01095615866388309,470,0.007849686847599164,1159,0.019356993736951985,934,0.015599164926931107,-139,127,225,0.47928183716075157,0.17893945720250523
Supplement,5218,51,0.009773859716366424,61,0.0116903027980069,64,0.012265235722499043,47,0.009007282483710233,20,0.0038328861632809506,31,0.005940973553085474,24,0.0045994633959371405,70,0.013415101571483326,60,0.011498658489842852,-10,17,10,0.37638942123418934,0.14449980835569184
EWoK,7618,237,0.031110527697558413,240,0.03150433184562877,234,0.030716723549488054,206,0.02704121816749803,84,0.011026516145970071,153,0.020084011551588343,112,0.014702021527960095,231,0.030322919401417694,250,0.03281701233919664,-3,28,-19,0.8617747440273038,0.3009976371751116
Entity,6780,134,0.01976401179941003,123,0.018141592920353982,119,0.017551622418879056,109,0.01607669616519174,57,0.008407079646017699,77,0.01135693215339233,51,0.00752212389380531,145,0.021386430678466076,193,0.02846607669616519,11,10,-48,0.5541297935103244,0.18864306784660767
COMPS,91028,3001,0.03296787801555565,2919,0.032067056290372195,2820,0.03097947884167509,2822,0.03100145010326493,1055,0.011589840488640858,1946,0.021378037526914796,1069,0.01174363931976974,3113,0.03419826866458672,2998,0.03293492112317089,82,-2,115,0.9387551083183197,0.34489387880652106
GlobalPIQA,203,5,0.024630541871921183,4,0.019704433497536946,2,0.009852216748768473,6,0.029556650246305417,1,0.0049261083743842365,4,0.019704433497536946,0,0.0,4,0.019704433497536946,8,0.03940886699507389,1,-4,-4,0.5862068965517241,0.1921182266009852
