endpoint_a,endpoint_b,overlap,n_a,n_b
coherent86,coherent86,228,228,228
coherent86,dense_seed62064,219,228,220
coherent86,dense_seed62065,218,228,219
coherent86,clean_pres_seed62064,222,228,222
coherent86,clean_pres_seed62065,221,228,222
coherent86,densemask_sparselabel_seed62064,219,228,220
dense_seed62064,coherent86,219,220,228
dense_seed62064,dense_seed62064,220,220,220
dense_seed62064,dense_seed62065,219,220,219
dense_seed62064,clean_pres_seed62064,219,220,222
dense_seed62064,clean_pres_seed62065,220,220,222
dense_seed62064,densemask_sparselabel_seed62064,220,220,220
dense_seed62065,coherent86,218,219,228
dense_seed62065,dense_seed62064,219,219,220
dense_seed62065,dense_seed62065,219,219,219
dense_seed62065,clean_pres_seed62064,218,219,222
dense_seed62065,clean_pres_seed62065,219,219,222
dense_seed62065,densemask_sparselabel_seed62064,219,219,220
clean_pres_seed62064,coherent86,222,222,228
clean_pres_seed62064,dense_seed62064,219,222,220
clean_pres_seed62064,dense_seed62065,218,222,219
clean_pres_seed62064,clean_pres_seed62064,222,222,222
clean_pres_seed62064,clean_pres_seed62065,221,222,222
clean_pres_seed62064,densemask_sparselabel_seed62064,219,222,220
clean_pres_seed62065,coherent86,221,222,228
clean_pres_seed62065,dense_seed62064,220,222,220
clean_pres_seed62065,dense_seed62065,219,222,219
clean_pres_seed62065,clean_pres_seed62064,221,222,222
clean_pres_seed62065,clean_pres_seed62065,222,222,222
clean_pres_seed62065,densemask_sparselabel_seed62064,220,222,220
densemask_sparselabel_seed62064,coherent86,219,220,228
densemask_sparselabel_seed62064,dense_seed62064,220,220,220
densemask_sparselabel_seed62064,dense_seed62065,219,220,219
densemask_sparselabel_seed62064,clean_pres_seed62064,219,220,222
densemask_sparselabel_seed62064,clean_pres_seed62065,220,220,222
densemask_sparselabel_seed62064,densemask_sparselabel_seed62064,220,220,220
