grouping,group_json,n,clean430,reinv430,clean431,reinv431,TE430,TE431,DiD,count_DiD_neg2,count_DiD_neg1,count_DiD_pos1,count_DiD_pos2
domain,"{""domain"": ""material-dynamics""}",770,48.311688311688314,58.18181818181818,54.285714285714285,46.62337662337662,9.870129870129865,-7.662337662337663,-17.53246753246753,70,214,157,31
domain,"{""domain"": ""physical-dynamics""}",120,52.5,60.0,62.5,59.166666666666664,7.5,-3.3333333333333357,-10.833333333333336,2,31,18,2
domain,"{""domain"": ""spatial-relations""}",490,44.89795918367347,47.55102040816327,48.97959183673469,43.265306122448976,2.6530612244897966,-5.714285714285715,-8.367346938775512,16,101,76,8
domain,"{""domain"": ""physical-interactions""}",556,46.94244604316547,51.2589928057554,49.64028776978417,48.02158273381295,4.31654676258993,-1.6187050359712245,-5.935251798561154,19,117,114,4
domain,"{""domain"": ""social-relations""}",1548,49.67700258397933,49.741602067183464,51.93798449612403,49.87080103359173,0.06459948320413389,-2.0671834625322987,-2.1317829457364326,61,338,317,55
domain,"{""domain"": ""quantitative-properties""}",314,54.77707006369427,55.4140127388535,57.64331210191083,57.32484076433121,0.6369426751592329,-0.31847133757961643,-0.9554140127388493,7,69,56,12
domain,"{""domain"": ""physical-relations""}",818,48.77750611246944,51.100244498777506,47.92176039119804,49.75550122249389,2.3227383863080675,1.8337408312958487,-0.48899755501221875,26,133,113,34
domain,"{""domain"": ""agent-properties""}",2210,50.95022624434389,49.95475113122172,50.99547511312217,51.71945701357466,-0.9954751131221684,0.7239819004524932,1.7194570135746616,43,354,350,64
domain,"{""domain"": ""social-properties""}",328,51.52439024390244,55.48780487804878,47.86585365853659,54.573170731707314,3.963414634146339,6.707317073170728,2.7439024390243887,13,68,89,7
domain,"{""domain"": ""social-interactions""}",294,59.523809523809526,53.74149659863946,55.10204081632653,55.78231292517007,-5.782312925170068,0.6802721088435391,6.462585034013607,9,51,52,18
domain,"{""domain"": ""material-properties""}",170,49.411764705882355,56.470588235294116,39.411764705882355,54.705882352941174,7.058823529411761,15.294117647058819,8.235294117647058,2,22,36,2
ContextType,"{""ContextType"": ""direct""}",2860,52.41258741258741,54.65034965034965,54.23076923076923,51.3986013986014,2.23776223776224,-2.8321678321678334,-5.069930069930074,145,582,551,88
ContextType,"{""ContextType"": ""indirect""}",4758,48.5708280790248,49.95796553173602,49.34846574190836,49.95796553173602,1.3871374527112224,0.6094997898276588,-0.7776376628835635,123,916,827,149
ContextDiff,"{""ContextDiff"": ""variable_swap""}",30,46.666666666666664,63.333333333333336,50.0,36.666666666666664,16.66666666666667,-13.333333333333336,-30.000000000000007,2,10,5,0
