contrast,field,mean,p025,p50,p975,fraction_gt0,n_events,n_pairs,target_pieces
full_minus_drop_abs,compact_context_advantage_nats,0.012735637308267982,-0.047266943604417584,0.012171478167710826,0.07099718505892276,0.667,4500,2009,7715
full_minus_drop_abs,source_context_advantage_nats,0.009256378718188886,-0.04884891953635393,0.010761966579741941,0.06727496499858263,0.635,4500,2009,7715
full_minus_drop_abs,compact_minus_source_loss_nats,-0.0034792585900790957,-0.05147917469713225,-0.0026533916009956085,0.04270509170701386,0.459,4500,2009,7715
full_minus_drop_abs,rep_source_compact_advantage,-0.002138634225714539,-0.005138258942955557,-0.002170177839758198,0.0009199310122660499,0.08,4500,2009,7715
full_minus_drop_abs,rep_cos_source_compact,0.010092046384639888,0.007535251749320565,0.010215856748161717,0.012595380079256865,1.0,4500,2009,7715
full_minus_drop_abs,rep_cos_source_counterfactual,0.012230680610354427,0.009767104250806362,0.012285060277136155,0.014902253897217102,1.0,4500,2009,7715
full_minus_drop_copied_word,compact_context_advantage_nats,0.00811149254006684,-0.043373844512255795,0.0093759946609679,0.06200233175467845,0.628,4500,2009,7715
full_minus_drop_copied_word,source_context_advantage_nats,-0.006803916810938697,-0.06123985664587571,-0.009067164582187277,0.04556758226189566,0.366,4500,2009,7715
full_minus_drop_copied_word,compact_minus_source_loss_nats,-0.014915409351005542,-0.05967295470853504,-0.013760256602285553,0.03340782645445375,0.268,4500,2009,7715
full_minus_drop_copied_word,rep_source_compact_advantage,0.003086640649219843,-3.8272562115913246e-05,0.0030481472906541867,0.006338785447488926,0.971,4500,2009,7715
full_minus_drop_copied_word,rep_cos_source_compact,-0.00029657062044100414,-0.0031217979132125416,-0.00033758889567185276,0.002403518473378784,0.402,4500,2009,7715
full_minus_drop_copied_word,rep_cos_source_counterfactual,-0.0033832112696608476,-0.0060176444809839115,-0.00343996045046584,-0.0005301352705943715,0.007,4500,2009,7715
drop_abs_minus_drop_copied_word,compact_context_advantage_nats,-0.004624144768201139,-0.06428724762674419,-0.004873476171326033,0.05815014858739729,0.442,4500,2009,7715
drop_abs_minus_drop_copied_word,source_context_advantage_nats,-0.016060295529127584,-0.07498782669933564,-0.01580974445410112,0.0457226879379698,0.298,4500,2009,7715
drop_abs_minus_drop_copied_word,compact_minus_source_loss_nats,-0.011436150760926444,-0.05675855862176542,-0.010050400312095255,0.03594734976531693,0.328,4500,2009,7715
