endpoint,anchor,source,n_common_sentences_filtered,delta_row_context_loss,delta_isolation_loss,delta_context_gain,se_delta_context_gain
coherent86_alpha075,chck82_slow_scale1p75,bnc_spoken,120,-0.020335571005610596,0.0028447520652359042,0.023180323070846498,0.009288869882951634
coherent86_alpha075,chck82_slow_scale1p75,childes,106,-0.009408226871614115,0.018036183131012223,0.02744441000262634,0.013213800514475724
coherent86_alpha075,chck82_slow_scale1p75,gutenberg,119,-0.008283794041676056,-0.004282885026617148,0.004000909015058908,0.010171418848289298
coherent86_alpha075,chck82_slow_scale1p75,open_subtitles,120,-0.030674844937069186,-0.008775889903093533,0.021898955033975653,0.009378026799304802
coherent86_alpha075,chck82_slow_scale1p75,simple_wiki,107,-0.002800645585232806,-0.00023672339793677643,0.0025639221872960295,0.010185569057341795
coherent86_alpha075,chck82_slow_scale1p75,switchboard,51,0.001310028391433697,-0.008467631250181618,-0.009777659641615316,0.009649170449285219
coherent_special_98097_alpha075,chck82_slow_scale1p75,bnc_spoken,120,-0.02118472586735152,-0.08376932337123436,-0.06258459750388283,0.03919979365587017
coherent_special_98097_alpha075,chck82_slow_scale1p75,childes,106,-0.0241873556223134,-0.3781662021268995,-0.3539788465045861,0.08849587946831744
coherent_special_98097_alpha075,chck82_slow_scale1p75,gutenberg,119,-0.0030563744117638896,-0.19901298043443313,-0.19595660602266923,0.06028929732153449
coherent_special_98097_alpha075,chck82_slow_scale1p75,open_subtitles,120,-0.029790126673469787,-0.2944460657758706,-0.2646559391024008,0.07629842385208194
coherent_special_98097_alpha075,chck82_slow_scale1p75,simple_wiki,107,-0.013200800535138522,-0.11408514651321919,-0.10088434597808067,0.058979784757232354
coherent_special_98097_alpha075,chck82_slow_scale1p75,switchboard,51,-0.017294279756207093,-0.14508004694738807,-0.12778576719118098,0.05095093602999619
coherent_special_98098_alpha075,chck82_slow_scale1p75,bnc_spoken,120,-0.021325576153079357,-0.09169037978766331,-0.07036480363458394,0.03551953183195107
coherent_special_98098_alpha075,chck82_slow_scale1p75,childes,106,-0.0358946943309453,-0.33755117638693777,-0.3016564820559925,0.08687843306602668
coherent_special_98098_alpha075,chck82_slow_scale1p75,gutenberg,119,-0.0002585445558104445,-0.20747811886278458,-0.20721957430697413,0.062103417902690895
coherent_special_98098_alpha075,chck82_slow_scale1p75,open_subtitles,120,-0.03159327677810021,-0.3199599371323226,-0.2883666603542224,0.07681334242101985
coherent_special_98098_alpha075,chck82_slow_scale1p75,simple_wiki,107,-0.0037505021579911776,-0.10640114051437824,-0.10265063835638706,0.05815686228509683
coherent_special_98098_alpha075,chck82_slow_scale1p75,switchboard,51,-0.019118961092888142,-0.14306286477721206,-0.12394390368432391,0.04835550278531881
chck82_slow_scale1p75,coherent86_alpha075,bnc_spoken,120,0.020335571005610596,-0.0028447520652359042,-0.023180323070846498,0.009288869882951634
chck82_slow_scale1p75,coherent86_alpha075,childes,106,0.009408226871614115,-0.018036183131012223,-0.02744441000262634,0.013213800514475724
chck82_slow_scale1p75,coherent86_alpha075,gutenberg,119,0.008283794041676056,0.004282885026617148,-0.004000909015058908,0.010171418848289298
chck82_slow_scale1p75,coherent86_alpha075,open_subtitles,120,0.030674844937069186,0.008775889903093533,-0.021898955033975653,0.009378026799304802
chck82_slow_scale1p75,coherent86_alpha075,simple_wiki,107,0.002800645585232806,0.00023672339793677643,-0.0025639221872960295,0.010185569057341795
chck82_slow_scale1p75,coherent86_alpha075,switchboard,51,-0.001310028391433697,0.008467631250181618,0.009777659641615316,0.009649170449285219
coherent_special_98097_alpha075,coherent86_alpha075,bnc_spoken,120,-0.0008491548617409232,-0.08661407543647025,-0.08576492057472933,0.04058005866479125
coherent_special_98097_alpha075,coherent86_alpha075,childes,106,-0.014779128750699286,-0.39620238525791174,-0.3814232565072124,0.09311608785298593
coherent_special_98097_alpha075,coherent86_alpha075,gutenberg,119,0.005227419629912166,-0.19473009540781597,-0.19995751503772816,0.06112784923006793
coherent_special_98097_alpha075,coherent86_alpha075,open_subtitles,120,0.0008847182635994007,-0.2856701758727771,-0.28655489413637647,0.07671664486619224
coherent_special_98097_alpha075,coherent86_alpha075,simple_wiki,107,-0.010400154949905717,-0.11384842311528241,-0.1034482681653767,0.06332861573033507
coherent_special_98097_alpha075,coherent86_alpha075,switchboard,51,-0.01860430814764079,-0.13661241569720647,-0.11800810754956569,0.04878335922376527
coherent_special_98098_alpha075,coherent86_alpha075,bnc_spoken,120,-0.0009900051474687644,-0.09453513185289922,-0.09354512670543044,0.037421414268466346
coherent_special_98098_alpha075,coherent86_alpha075,childes,106,-0.02648646745933118,-0.35558735951795,-0.3291008920586188,0.0907465138390079
coherent_special_98098_alpha075,coherent86_alpha075,gutenberg,119,0.008025249485865612,-0.20319523383616744,-0.21122048332203305,0.06397966577835787
coherent_special_98098_alpha075,coherent86_alpha075,open_subtitles,120,-0.0009184318410310273,-0.3111840472292291,-0.3102656153881981,0.07649663076796441
coherent_special_98098_alpha075,coherent86_alpha075,simple_wiki,107,-0.0009498565727583716,-0.10616441711644146,-0.10521456054368308,0.06225632552296786
coherent_special_98098_alpha075,coherent86_alpha075,switchboard,51,-0.020428989484321838,-0.13459523352703043,-0.11416624404270859,0.04663973129135409
