endpoint,anchor,n_common_sentences_filtered,delta_row_context_loss,delta_isolation_loss,delta_context_gain,se_delta_context_gain,fraction_endpoint_higher_context_gain
coherent86_alpha075,chck82_slow_scale1p75,623,-0.013382264979340149,0.00037440923890600655,0.013756674218246154,0.00436690049764537,0.5008025682182986
coherent_special_98097_alpha075,chck82_slow_scale1p75,623,-0.018200713452150984,-0.20667769159876842,-0.18847697814661743,0.027631902227487334,0.42536115569823435
coherent_special_98098_alpha075,chck82_slow_scale1p75,623,-0.01855896869920633,-0.20633946550684007,-0.18778049680763376,0.02735799437565594,0.4317817014446228
chck82_slow_scale1p75,coherent86_alpha075,623,0.013382264979340149,-0.00037440923890600655,-0.013756674218246154,0.00436690049764537,0.49919743178170145
coherent_special_98097_alpha075,coherent86_alpha075,623,-0.004818448472810837,-0.20705210083767445,-0.2022336523648636,0.028528423364201087,0.43659711075441415
coherent_special_98098_alpha075,coherent86_alpha075,623,-0.005176703719866183,-0.2067138747457461,-0.2015371710258799,0.02819894555075754,0.4317817014446228
