frame_id,base_id,condition,family,object,alt_a,alt_b,delta1,delta2,signed_c1,signed_c2,interaction,min_signed_margin,crossed_success,same_a_bias,same_b_bias,target_word_free_context
OD_00001,BASE_0001,none,empty_full,glass,empty,full,-1.2894463539123535,-1.2894463539123535,-1.2894463539123535,1.2894463539123535,0.0,-1.2894463539123535,False,False,True,False
OD_00002,BASE_0001,prior_only_contradict,empty_full,glass,empty,full,-8.775100510567427,5.020632594823837,-8.775100510567427,-5.020632594823837,-13.795733105391264,-8.775100510567427,False,False,False,False
OD_00003,BASE_0001,action_only,empty_full,glass,empty,full,1.0303726196289062,-0.24018335342407227,1.0303726196289062,0.24018335342407227,1.2705559730529785,0.24018335342407227,True,False,False,False
OD_00004,BASE_0001,action_distance,empty_full,glass,empty,full,0.6562514305114746,0.14588642120361328,0.6562514305114746,-0.14588642120361328,0.5103650093078613,-0.14588642120361328,False,True,False,False
OD_00005,BASE_0001,contradict_adjacent,empty_full,glass,empty,full,-8.12060346454382,5.041901618242264,-8.12060346454382,-5.041901618242264,-13.162505082786083,-8.12060346454382,False,False,False,False
OD_00006,BASE_0001,contradict_then,empty_full,glass,empty,full,-8.036382764577866,4.831183522939682,-8.036382764577866,-4.831183522939682,-12.867566287517548,-8.036382764577866,False,False,False,False
OD_00007,BASE_0001,contradict_distance,empty_full,glass,empty,full,-6.636442393064499,3.2255382537841797,-6.636442393064499,-3.2255382537841797,-9.861980646848679,-6.636442393064499,False,False,False,False
OD_00008,BASE_0001,consistent_adjacent,empty_full,glass,empty,full,5.817551463842392,-8.034763559699059,5.817551463842392,8.034763559699059,13.85231502354145,5.817551463842392,True,False,False,False
OD_00009,BASE_0001,explicit_override_direct,empty_full,glass,empty,full,3.0510436296463013,-6.563040632754564,3.0510436296463013,6.563040632754564,9.614084262400866,3.0510436296463013,True,False,False,False
OD_00010,BASE_0001,tf_prior_only_contradict,empty_full,glass,empty,full,0.7188100814819336,-1.1198577880859375,0.7188100814819336,1.1198577880859375,1.838667869567871,0.7188100814819336,True,False,False,True
OD_00011,BASE_0001,tf_action_only,empty_full,glass,empty,full,1.0041441917419434,-0.0821371078491211,1.0041441917419434,0.0821371078491211,1.0862812995910645,0.0821371078491211,True,False,False,True
OD_00012,BASE_0001,tf_contradict_adjacent,empty_full,glass,empty,full,0.6578407287597656,-0.5075874328613281,0.6578407287597656,0.5075874328613281,1.1654281616210938,0.5075874328613281,True,False,False,True
OD_00013,BASE_0001,tf_contradict_distance,empty_full,glass,empty,full,0.5096368789672852,0.6747245788574219,0.5096368789672852,-0.6747245788574219,-0.16508769989013672,-0.6747245788574219,False,True,False,True
OD_00014,BASE_0002,none,empty_full,glass,empty,full,-1.2894463539123535,-1.2894463539123535,-1.2894463539123535,1.2894463539123535,0.0,-1.2894463539123535,False,False,True,False
OD_00015,BASE_0002,prior_only_contradict,empty_full,glass,empty,full,-8.775100510567427,5.020632594823837,-8.775100510567427,-5.020632594823837,-13.795733105391264,-8.775100510567427,False,False,False,False
OD_00016,BASE_0002,action_only,empty_full,glass,empty,full,0.5545902252197266,-0.5713768005371094,0.5545902252197266,0.5713768005371094,1.125967025756836,0.5545902252197266,True,False,False,False
OD_00017,BASE_0002,action_distance,empty_full,glass,empty,full,0.5281119346618652,-0.10141944885253906,0.5281119346618652,0.10141944885253906,0.6295313835144043,0.10141944885253906,True,False,False,False
OD_00018,BASE_0002,contradict_adjacent,empty_full,glass,empty,full,-8.00855365395546,4.9908722043037415,-8.00855365395546,-4.9908722043037415,-12.999425858259201,-8.00855365395546,False,False,False,False
OD_00019,BASE_0002,contradict_then,empty_full,glass,empty,full,-8.032697923481464,4.933052271604538,-8.032697923481464,-4.933052271604538,-12.965750195086002,-8.032697923481464,False,False,False,False
