arm,target,role,BLiMP,Supplement,EWoK,Entity,COMPS,SuperGLUE,GlobalPIQA,Reading,AoA,Overall,collated_sha256
compact_anchor,fw_compact_fullbatch_seed43022,same-proposition compact recurrence,,,,,,,,,,,
rowblock_breadth,fw_breadth_rowblock_fullbatch_seed43022,whole-sentence independent breadth in row-block layout,,,,,,,,,,,
interleaved_breadth,fw_breadth_interleaved_fullbatch_seed43022,whole-sentence independent breadth interleaved with common source segments,,,,,,,,,,,
