domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.5085972850678733,782,0.35384615384615387,0.7200736648250461,1086,-0.01644229528028518
social-relations,1548,0.501937984496124,484,0.31266149870801035,0.6277561608300908,771,0.15710154734551907
physical-relations,818,0.5061124694376528,281,0.343520782396088,0.6955445544554455,404,0.18508776277303696
material-dynamics,770,0.5077922077922078,222,0.2883116883116883,0.5857519788918206,379,0.11084365844726562
physical-interactions,556,0.49460431654676257,196,0.35251798561151076,0.697508896797153,281,-0.11821083724498749
spatial-relations,490,0.46938775510204084,187,0.3816326530612245,0.7192307692307692,260,0.0047096312046051025
social-properties,328,0.5396341463414634,102,0.31097560975609756,0.6754966887417219,151,-0.08831315487623215
social-interactions,294,0.5170068027210885,93,0.3163265306122449,0.6549295774647887,142,-0.053900957107543945
quantitative-properties,314,0.5318471337579618,87,0.2770700636942675,0.5918367346938775,147,0.21896034572273493
material-properties,170,0.5,46,0.27058823529411763,0.5411764705882353,85,0.07670126855373383
physical-dynamics,120,0.6083333333333333,25,0.20833333333333334,0.5319148936170213,47,0.3349216631613672
