mode,beta,oracle_only,n_words,status_counts,unclipped_r,p_value,spearman_r,spearman_p,curve_fitness_clipped,mean_abs_delta_surprisal_1M,mean_delta_surprisal_1M,max_abs_delta_after_10M
sort__childes_ratio,-0.75,False,223,"{'threshold_above_upper_asymptote': 111, 'no_child_aoa': 79, 'flat_or_zero_amplitude': 55, 'ok': 223, 'after_last': 5, 'threshold_below_lower_asymptote': 5, 'fit_exception': 7}",-0.003858202262314225,0.954312857764825,-0.037136191284173344,0.5811982096233066,0.0,0.7718194768017793,-0.22163389689026883,0.0
sort__childes_composite,-1.5,False,222,"{'threshold_above_upper_asymptote': 149, 'no_child_aoa': 79, 'flat_or_zero_amplitude': 22, 'ok': 222, 'after_last': 4, 'fit_exception': 4, 'threshold_below_lower_asymptote': 4, 'before_first': 1}",-0.011104917819287543,0.8693134930217981,-0.051558264430857426,0.4446451791481144,0.0,1.7884217970472707,1.6789593100793163,0.0
sort__childes_ratio,-1.0,False,217,"{'threshold_above_upper_asymptote': 116, 'no_child_aoa': 79, 'flat_or_zero_amplitude': 57, 'ok': 217, 'before_first': 1, 'threshold_below_lower_asymptote': 8, 'after_last': 2, 'fit_exception': 5}",-0.01189345664698719,0.8617115806690937,-0.04025798935535544,0.5552904089168742,0.0,1.0290926357357058,-0.29551186252035844,0.0
sort__childes_composite,-1.0,False,223,"{'threshold_above_upper_asymptote': 136, 'no_child_aoa': 79, 'flat_or_zero_amplitude': 29, 'ok': 223, 'fit_exception': 7, 'after_last': 5, 'threshold_below_lower_asymptote': 4, 'before_first': 2}",-0.020099930588790654,0.7653221185249667,-0.04794440500718527,0.47624881236015004,0.0,1.1922811980315138,1.1193062067195443,0.0
sort__childes_ratio,-0.36,False,226,"{'threshold_above_upper_asymptote': 116, 'no_child_aoa': 79, 'flat_or_zero_amplitude': 42, 'ok': 226, 'fit_exception': 13, 'after_last': 5, 'threshold_below_lower_asymptote': 3, 'before_first': 1}",-0.0210084437361874,0.7534378394868012,-0.05361142515561447,0.4225157381697062,0.0,0.37047334886485406,-0.10638427050732903,0.0
sort__childes_composite,-0.75,False,224,"{'threshold_above_upper_asymptote': 134, 'no_child_aoa': 79, 'flat_or_zero_amplitude': 33, 'ok': 224, 'fit_exception': 8, 'after_last': 3, 'threshold_below_lower_asymptote': 3, 'before_first': 1}",-0.021017414731234113,0.7544063709915967,-0.045517830450565885,0.49790579739406704,0.0,0.8942108985236353,0.8394796550396582,0.0
source_childes_only_then_current,-0.36,False,228,"{'threshold_above_upper_asymptote': 116, 'no_child_aoa': 79, 'flat_or_zero_amplitude': 44, 'ok': 228, 'fit_exception': 11, 'after_last': 3, 'threshold_below_lower_asymptote': 3, 'before_first': 1}",-0.021611367662105634,0.7455074285846536,-0.05357621975605385,0.42075321808918864,0.0,0.23521121458362781,-0.1627067253366836,0.0
sort__spoken_freq,-0.1,False,224,"{'threshold_above_upper_asymptote': 131, 'no_child_aoa': 79, 'flat_or_zero_amplitude': 30, 'ok': 224, 'fit_exception': 12, 'after_last': 6, 'threshold_below_lower_asymptote': 2, 'before_first': 1}",-0.021616898255629857,0.747634795536456,-0.048882126841768105,0.46664855433764896,0.0,0.16579186548526603,0.16332549832267795,0.0
source_childes_first,-0.36,False,229,"{'threshold_above_upper_asymptote': 120, 'no_child_aoa': 79, 'flat_or_zero_amplitude': 38, 'ok': 229, 'fit_exception': 13, 'after_last': 3, 'threshold_below_lower_asymptote': 3}",-0.022529763130423087,0.7345234514782418,-0.0515553645838538,0.43750020484119223,0.0,0.23521121458362781,-0.1627067253366836,0.0
sort__childes_freq,-1.0,False,222,"{'threshold_above_upper_asymptote': 162, 'no_child_aoa': 79, 'flat_or_zero_amplitude': 13, 'ok': 222, 'fit_exception': 3, 'after_last': 2, 'threshold_below_lower_asymptote': 3, 'before_first': 1}",-0.027186520927063834,0.6870528470615288,-0.05024867409462504,0.4563124812143843,0.0,1.548561842883779,1.5222554452540553,0.0
