complete_checkpoint_count,max,mean,median,metric,min,n,negative,pair_label,positive,required_checkpoints,stdev,window,window_complete,zero
0,,,,BLiMP,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M,,common10_80,False,0
0,,,,BLiMP,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_10M;chck_20M;chck_30M;chck_40M,,early10_40,False,0
0,,,,BLiMP,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_50M;chck_60M;chck_70M;chck_80M,,mature50_80,False,0
0,,,,BLiMP,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_80M,,endpoint80,False,0
0,,,,Supplement,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M,,common10_80,False,0
0,,,,Supplement,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_10M;chck_20M;chck_30M;chck_40M,,early10_40,False,0
0,,,,Supplement,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_50M;chck_60M;chck_70M;chck_80M,,mature50_80,False,0
0,,,,Supplement,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_80M,,endpoint80,False,0
0,,,,EWoK,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M,,common10_80,False,0
0,,,,EWoK,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_10M;chck_20M;chck_30M;chck_40M,,early10_40,False,0
0,,,,EWoK,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_50M;chck_60M;chck_70M;chck_80M,,mature50_80,False,0
0,,,,EWoK,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_80M,,endpoint80,False,0
0,,,,Entity,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M,,common10_80,False,0
0,,,,Entity,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_10M;chck_20M;chck_30M;chck_40M,,early10_40,False,0
0,,,,Entity,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_50M;chck_60M;chck_70M;chck_80M,,mature50_80,False,0
0,,,,Entity,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_80M,,endpoint80,False,0
0,,,,COMPS,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M,,common10_80,False,0
0,,,,COMPS,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_10M;chck_20M;chck_30M;chck_40M,,early10_40,False,0
0,,,,COMPS,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_50M;chck_60M;chck_70M;chck_80M,,mature50_80,False,0
0,,,,COMPS,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_80M,,endpoint80,False,0
0,,,,Reading,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M,,common10_80,False,0
0,,,,Reading,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_10M;chck_20M;chck_30M;chck_40M,,early10_40,False,0
0,,,,Reading,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_50M;chck_60M;chck_70M;chck_80M,,mature50_80,False,0
0,,,,Reading,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_80M,,endpoint80,False,0
0,,,,cheap6,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M,,common10_80,False,0
0,,,,cheap6,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_10M;chck_20M;chck_30M;chck_40M,,early10_40,False,0
0,,,,cheap6,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_50M;chck_60M;chck_70M;chck_80M,,mature50_80,False,0
0,,,,cheap6,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_80M,,endpoint80,False,0
0,,,,cheap5,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M,,common10_80,False,0
0,,,,cheap5,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_10M;chck_20M;chck_30M;chck_40M,,early10_40,False,0
0,,,,cheap5,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_50M;chck_60M;chck_70M;chck_80M,,mature50_80,False,0
0,,,,cheap5,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_80M,,endpoint80,False,0
0,,,,exEntity5,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M,,common10_80,False,0
0,,,,exEntity5,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_10M;chck_20M;chck_30M;chck_40M,,early10_40,False,0
0,,,,exEntity5,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_50M;chck_60M;chck_70M;chck_80M,,mature50_80,False,0
0,,,,exEntity5,,0,0,remove_childsub_rich_minus_remove_gutsimple_rich,0,chck_80M,,endpoint80,False,0
