BLiMP,COMPS,EWoK,Entity,Reading,Supplement,active_fineweb_words,cheap5,cheap6,cheap6_identity_residual,checkpoint,complete_exEntity5,complete_stable6,displaced_adult_fraction,displaced_child_sub_fraction,exEntity5,exists,kind,label,path,rho,seed
56.0,49.93,49.76,17.47,7.945,51.55,0,44.942,38.77583333333333,-2.842170943040401e-14,chck_10M,True,True,,,43.037,True,clean,clean_seed43022,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_10M.json,0.0,43022
,,,,,,0,,,,chck_10M,False,False,,,,False,clean,clean_seed43122,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43122_chck_10M.json,0.0,43122
,,,,,,105962,,,,chck_10M,False,False,0.0351635491968819,0.9411581510352768,,False,child/subtitle-rich clean removed,childsub_posmatched,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_childsub_posmatched_seed43022_chck_10M.json,0.0105962,43022
,,,,,,105962,,,,chck_10M,False,False,0.7965874558804099,0.12530907306392858,,False,Gutenberg/SimpleWiki-rich clean removed,adult_posmatched,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_adult_posmatched_seed43022_chck_10M.json,0.0105962,43022
58.91,50.14,48.97,18.72,8.07,56.74,0,46.696,40.25833333333333,0.0,chck_20M,True,True,,,44.566,True,clean,clean_seed43022,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_20M.json,0.0,43022
,,,,,,0,,,,chck_20M,False,False,,,,False,clean,clean_seed43122,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43122_chck_20M.json,0.0,43122
,,,,,,105962,,,,chck_20M,False,False,0.0351635491968819,0.9411581510352768,,False,child/subtitle-rich clean removed,childsub_posmatched,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_childsub_posmatched_seed43022_chck_20M.json,0.0105962,43022
,,,,,,105962,,,,chck_20M,False,False,0.7965874558804099,0.12530907306392858,,False,Gutenberg/SimpleWiki-rich clean removed,adult_posmatched,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_adult_posmatched_seed43022_chck_20M.json,0.0105962,43022
,,,,,,0,,,,chck_30M,False,False,,,,True,clean,clean_seed43022,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_30M.json,0.0,43022
,,,,,,0,,,,chck_30M,False,False,,,,False,clean,clean_seed43122,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43122_chck_30M.json,0.0,43122
,,,,,,105962,,,,chck_30M,False,False,0.0351635491968819,0.9411581510352768,,False,child/subtitle-rich clean removed,childsub_posmatched,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_childsub_posmatched_seed43022_chck_30M.json,0.0105962,43022
,,,,,,105962,,,,chck_30M,False,False,0.7965874558804099,0.12530907306392858,,False,Gutenberg/SimpleWiki-rich clean removed,adult_posmatched,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_adult_posmatched_seed43022_chck_30M.json,0.0105962,43022
,,,,,,0,,,,chck_40M,False,False,,,,False,clean,clean_seed43022,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_40M.json,0.0,43022
,,,,,,0,,,,chck_40M,False,False,,,,False,clean,clean_seed43122,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43122_chck_40M.json,0.0,43122
,,,,,,105962,,,,chck_40M,False,False,0.0351635491968819,0.9411581510352768,,False,child/subtitle-rich clean removed,childsub_posmatched,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_childsub_posmatched_seed43022_chck_40M.json,0.0105962,43022
,,,,,,105962,,,,chck_40M,False,False,0.7965874558804099,0.12530907306392858,,False,Gutenberg/SimpleWiki-rich clean removed,adult_posmatched,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_adult_posmatched_seed43022_chck_40M.json,0.0105962,43022
,,,,,,0,,,,chck_50M,False,False,,,,False,clean,clean_seed43022,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_50M.json,0.0,43022
,,,,,,0,,,,chck_50M,False,False,,,,False,clean,clean_seed43122,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43122_chck_50M.json,0.0,43122
,,,,,,105962,,,,chck_50M,False,False,0.0351635491968819,0.9411581510352768,,False,child/subtitle-rich clean removed,childsub_posmatched,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_childsub_posmatched_seed43022_chck_50M.json,0.0105962,43022
,,,,,,105962,,,,chck_50M,False,False,0.7965874558804099,0.12530907306392858,,False,Gutenberg/SimpleWiki-rich clean removed,adult_posmatched,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_adult_posmatched_seed43022_chck_50M.json,0.0105962,43022
,,,,,,0,,,,chck_60M,False,False,,,,False,clean,clean_seed43022,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_60M.json,0.0,43022
,,,,,,0,,,,chck_60M,False,False,,,,False,clean,clean_seed43122,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43122_chck_60M.json,0.0,43122
,,,,,,105962,,,,chck_60M,False,False,0.0351635491968819,0.9411581510352768,,False,child/subtitle-rich clean removed,childsub_posmatched,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_childsub_posmatched_seed43022_chck_60M.json,0.0105962,43022
,,,,,,105962,,,,chck_60M,False,False,0.7965874558804099,0.12530907306392858,,False,Gutenberg/SimpleWiki-rich clean removed,adult_posmatched,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_adult_posmatched_seed43022_chck_60M.json,0.0105962,43022
,,,,,,0,,,,chck_70M,False,False,,,,False,clean,clean_seed43022,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_70M.json,0.0,43022
,,,,,,0,,,,chck_70M,False,False,,,,False,clean,clean_seed43122,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43122_chck_70M.json,0.0,43122
,,,,,,105962,,,,chck_70M,False,False,0.0351635491968819,0.9411581510352768,,False,child/subtitle-rich clean removed,childsub_posmatched,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_childsub_posmatched_seed43022_chck_70M.json,0.0105962,43022
,,,,,,105962,,,,chck_70M,False,False,0.7965874558804099,0.12530907306392858,,False,Gutenberg/SimpleWiki-rich clean removed,adult_posmatched,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_adult_posmatched_seed43022_chck_70M.json,0.0105962,43022
,,,,,,0,,,,chck_80M,False,False,,,,False,clean,clean_seed43022,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_80M.json,0.0,43022
,,,,,,0,,,,chck_80M,False,False,,,,False,clean,clean_seed43122,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43122_chck_80M.json,0.0,43122
,,,,,,105962,,,,chck_80M,False,False,0.0351635491968819,0.9411581510352768,,False,child/subtitle-rich clean removed,childsub_posmatched,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_childsub_posmatched_seed43022_chck_80M.json,0.0105962,43022
,,,,,,105962,,,,chck_80M,False,False,0.7965874558804099,0.12530907306392858,,False,Gutenberg/SimpleWiki-rich clean removed,adult_posmatched,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_adult_posmatched_seed43022_chck_80M.json,0.0105962,43022
