adult_removed_score,checkpoint,childsub_removed_minus_adult_removed,childsub_removed_score,metric,metric_complete,pair_label
,chck_10M,,,BLiMP,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_10M,,,Supplement,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_10M,,,EWoK,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_10M,,,Entity,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_10M,,,COMPS,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_10M,,,Reading,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_10M,,,cheap6,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_10M,,,cheap5,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_10M,,,exEntity5,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_20M,,,BLiMP,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_20M,,,Supplement,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_20M,,,EWoK,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_20M,,,Entity,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_20M,,,COMPS,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_20M,,,Reading,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_20M,,,cheap6,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_20M,,,cheap5,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_20M,,,exEntity5,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_30M,,,BLiMP,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_30M,,,Supplement,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_30M,,,EWoK,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_30M,,,Entity,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_30M,,,COMPS,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_30M,,,Reading,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_30M,,,cheap6,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_30M,,,cheap5,False,remove_childsub_rich_minus_remove_gutsimple_rich
