BLiMP_clean_mean,BLiMP_clean_n,BLiMP_clean_spread,BLiMP_score,BLiMP_vc_delta,COMPS_clean_mean,COMPS_clean_n,COMPS_clean_spread,COMPS_score,COMPS_vc_delta,EWoK_clean_mean,EWoK_clean_n,EWoK_clean_spread,EWoK_score,EWoK_vc_delta,Entity_clean_mean,Entity_clean_n,Entity_clean_spread,Entity_score,Entity_vc_delta,Reading_clean_mean,Reading_clean_n,Reading_clean_spread,Reading_score,Reading_vc_delta,Supplement_clean_mean,Supplement_clean_n,Supplement_clean_spread,Supplement_score,Supplement_vc_delta,active_fineweb_words,cheap5_clean_mean,cheap5_clean_n,cheap5_clean_spread,cheap5_score,cheap5_vc_delta,cheap6_clean_mean,cheap6_clean_n,cheap6_clean_spread,cheap6_score,cheap6_vc_delta,checkpoint,complete_stable6_delta,displaced_adult_fraction,displaced_child_sub_fraction,exEntity5_clean_mean,exEntity5_clean_n,exEntity5_clean_spread,exEntity5_score,exEntity5_vc_delta,exists,kind,label,path,rho
56.0,1,,,,49.93,1,,,,49.76,1,,,,17.47,1,,,,7.945,1,,,,51.55,1,,,,105962,44.942,1,,,,38.77583333333333,1,,,,chck_10M,False,0.0351635491968819,0.9411581510352768,43.037,1,,,,False,child/subtitle clean removed,childsub_posmatched,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_childsub_posmatched_seed43022_chck_10M.json,0.0105962
56.0,1,,,,49.93,1,,,,49.76,1,,,,17.47,1,,,,7.945,1,,,,51.55,1,,,,105962,44.942,1,,,,38.77583333333333,1,,,,chck_10M,False,0.7965874558804099,0.12530907306392858,43.037,1,,,,False,Gutenberg/SimpleWiki clean removed,adult_posmatched,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_adult_posmatched_seed43022_chck_10M.json,0.0105962
,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,105962,,0,,,,,0,,,,chck_20M,False,0.0351635491968819,0.9411581510352768,,0,,,,False,child/subtitle clean removed,childsub_posmatched,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_childsub_posmatched_seed43022_chck_20M.json,0.0105962
,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,105962,,0,,,,,0,,,,chck_20M,False,0.7965874558804099,0.12530907306392858,,0,,,,False,Gutenberg/SimpleWiki clean removed,adult_posmatched,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_adult_posmatched_seed43022_chck_20M.json,0.0105962
,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,105962,,0,,,,,0,,,,chck_30M,False,0.0351635491968819,0.9411581510352768,,0,,,,False,child/subtitle clean removed,childsub_posmatched,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_childsub_posmatched_seed43022_chck_30M.json,0.0105962
,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,105962,,0,,,,,0,,,,chck_30M,False,0.7965874558804099,0.12530907306392858,,0,,,,False,Gutenberg/SimpleWiki clean removed,adult_posmatched,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_adult_posmatched_seed43022_chck_30M.json,0.0105962
,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,105962,,0,,,,,0,,,,chck_40M,False,0.0351635491968819,0.9411581510352768,,0,,,,False,child/subtitle clean removed,childsub_posmatched,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_childsub_posmatched_seed43022_chck_40M.json,0.0105962
,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,105962,,0,,,,,0,,,,chck_40M,False,0.7965874558804099,0.12530907306392858,,0,,,,False,Gutenberg/SimpleWiki clean removed,adult_posmatched,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_adult_posmatched_seed43022_chck_40M.json,0.0105962
,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,105962,,0,,,,,0,,,,chck_50M,False,0.0351635491968819,0.9411581510352768,,0,,,,False,child/subtitle clean removed,childsub_posmatched,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_childsub_posmatched_seed43022_chck_50M.json,0.0105962
,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,105962,,0,,,,,0,,,,chck_50M,False,0.7965874558804099,0.12530907306392858,,0,,,,False,Gutenberg/SimpleWiki clean removed,adult_posmatched,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_adult_posmatched_seed43022_chck_50M.json,0.0105962
