active_fineweb_words,arm_score,checkpoint,clean_n,clean_score,clean_seed,clean_spread,complete_exEntity5,complete_stable6,displaced_adult_fraction,displaced_child_sub_fraction,exists,kind,label,metric,metric_complete,packet_minus_clean,path,rho
105962,,chck_10M,,43.037,43022,,False,False,0.7965874558804099,0.12530907306392858,False,Gutenberg/SimpleWiki-rich clean removed,adult_posmatched,exEntity5,False,,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_adult_posmatched_seed43022_chck_10M.json,0.0105962
105962,,chck_10M,,,43122,,False,False,0.7965874558804099,0.12530907306392858,False,Gutenberg/SimpleWiki-rich clean removed,adult_posmatched,exEntity5,False,,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_adult_posmatched_seed43022_chck_10M.json,0.0105962
105962,,chck_10M,1,43.037,mean_of_both_required,,False,False,0.7965874558804099,0.12530907306392858,False,Gutenberg/SimpleWiki-rich clean removed,adult_posmatched,exEntity5,False,,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_adult_posmatched_seed43022_chck_10M.json,0.0105962
105962,,chck_20M,,58.91,43022,,False,False,0.0351635491968819,0.9411581510352768,False,child/subtitle-rich clean removed,childsub_posmatched,BLiMP,False,,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_childsub_posmatched_seed43022_chck_20M.json,0.0105962
105962,,chck_20M,,,43122,,False,False,0.0351635491968819,0.9411581510352768,False,child/subtitle-rich clean removed,childsub_posmatched,BLiMP,False,,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_childsub_posmatched_seed43022_chck_20M.json,0.0105962
105962,,chck_20M,1,58.91,mean_of_both_required,,False,False,0.0351635491968819,0.9411581510352768,False,child/subtitle-rich clean removed,childsub_posmatched,BLiMP,False,,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_childsub_posmatched_seed43022_chck_20M.json,0.0105962
105962,,chck_20M,,56.74,43022,,False,False,0.0351635491968819,0.9411581510352768,False,child/subtitle-rich clean removed,childsub_posmatched,Supplement,False,,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_childsub_posmatched_seed43022_chck_20M.json,0.0105962
105962,,chck_20M,,,43122,,False,False,0.0351635491968819,0.9411581510352768,False,child/subtitle-rich clean removed,childsub_posmatched,Supplement,False,,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_childsub_posmatched_seed43022_chck_20M.json,0.0105962
105962,,chck_20M,1,56.74,mean_of_both_required,,False,False,0.0351635491968819,0.9411581510352768,False,child/subtitle-rich clean removed,childsub_posmatched,Supplement,False,,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_childsub_posmatched_seed43022_chck_20M.json,0.0105962
105962,,chck_20M,,48.97,43022,,False,False,0.0351635491968819,0.9411581510352768,False,child/subtitle-rich clean removed,childsub_posmatched,EWoK,False,,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_childsub_posmatched_seed43022_chck_20M.json,0.0105962
105962,,chck_20M,,,43122,,False,False,0.0351635491968819,0.9411581510352768,False,child/subtitle-rich clean removed,childsub_posmatched,EWoK,False,,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_childsub_posmatched_seed43022_chck_20M.json,0.0105962
105962,,chck_20M,1,48.97,mean_of_both_required,,False,False,0.0351635491968819,0.9411581510352768,False,child/subtitle-rich clean removed,childsub_posmatched,EWoK,False,,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_childsub_posmatched_seed43022_chck_20M.json,0.0105962
105962,,chck_20M,,18.72,43022,,False,False,0.0351635491968819,0.9411581510352768,False,child/subtitle-rich clean removed,childsub_posmatched,Entity,False,,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_childsub_posmatched_seed43022_chck_20M.json,0.0105962
105962,,chck_20M,,,43122,,False,False,0.0351635491968819,0.9411581510352768,False,child/subtitle-rich clean removed,childsub_posmatched,Entity,False,,experiments/archive/frontier_consolidation/data/register_commonwindow_eval/eval/per_target/regpos_childsub_posmatched_seed43022_chck_20M.json,0.0105962
