column,subtask,fine_group,n_items,score_82,score_84,score_100,delta_84_minus_82,gains_82_to_84,losses_82_to_84,net_items_82_to_84,retention_of_82_correct_at_84,delta_100_minus_84,gains_84_to_100,losses_84_to_100,net_items_84_to_100
BLiMP,anaphor_gender_agreement,morphology,971,82.389289392379,81.5653964984552,81.15345005149331,-0.8238928939237979,18,26,-8,0.9675,-0.41194644696189187,30,34,-4
BLiMP,anaphor_number_agreement,morphology,931,85.71428571428571,84.31793770139635,83.88829215896885,-1.3963480128893622,12,25,-13,0.968671679197995,-0.42964554242749387,14,18,-4
BLiMP,determiner_noun_agreement_1,morphology,929,89.1280947255113,87.51345532831,88.3745963401507,-1.6146393972013016,3,18,-15,0.9782608695652174,0.8611410118407008,12,4,8
BLiMP,determiner_noun_agreement_2,morphology,931,97.95918367346938,97.63694951664877,97.63694951664877,-0.3222341568206133,2,5,-3,0.9945175438596491,0.0,4,4,0
BLiMP,determiner_noun_agreement_irregular_1,morphology,681,76.06461086637299,75.03671071953009,76.65198237885463,-1.0279001468428959,4,11,-7,0.9787644787644788,1.6152716593245344,17,6,11
BLiMP,determiner_noun_agreement_irregular_2,morphology,820,88.17073170731707,88.29268292682927,87.8048780487805,0.1219512195121979,7,6,1,0.991701244813278,-0.48780487804877737,4,8,-4
BLiMP,determiner_noun_agreement_with_adj_2,morphology,941,94.36769394261424,94.36769394261424,94.79277364505845,0.0,5,5,0,0.9943693693693694,0.4250797024442079,8,4,4
BLiMP,determiner_noun_agreement_with_adj_irregular_1,morphology,718,87.3259052924791,88.16155988857939,88.44011142061281,0.8356545961002837,11,5,6,0.9920255183413078,0.2785515320334184,9,7,2
BLiMP,determiner_noun_agreement_with_adj_irregular_2,morphology,840,88.21428571428571,87.26190476190476,87.5,-0.952380952380949,6,14,-8,0.9811066126855601,0.2380952380952408,8,6,2
BLiMP,determiner_noun_agreement_with_adjective_1,morphology,933,87.9957127545552,86.92390139335477,87.45980707395499,-1.0718113612004316,2,12,-10,0.9853836784409257,0.5359056806002229,10,5,5
BLiMP,distractor_agreement_relational_noun,morphology,788,49.49238578680203,49.87309644670051,51.90355329949239,0.38071065989847597,31,28,3,0.9282051282051282,2.030456852791879,39,23,16
BLiMP,distractor_agreement_relative_clause,morphology,871,27.898966704936857,29.621125143513204,30.424799081515495,1.722158438576347,28,13,15,0.9465020576131687,0.8036739380022908,24,17,7
BLiMP,irregular_past_participle_adjectives,morphology,961,91.57127991675338,92.40374609781477,91.77939646201872,0.8324661810613918,13,5,8,0.9943181818181818,-0.624349635796051,4,10,-6
BLiMP,irregular_past_participle_verbs,morphology,942,79.83014861995754,80.36093418259024,81.31634819532908,0.5307855626327012,17,12,5,0.9840425531914894,0.9554140127388422,18,9,9
BLiMP,irregular_plural_subject_verb_agreement_1,morphology,804,72.13930348258707,72.38805970149254,73.50746268656717,0.24875621890546995,15,13,2,0.9775862068965517,1.119402985074629,22,13,9
BLiMP,irregular_plural_subject_verb_agreement_2,morphology,892,81.27802690582959,78.47533632286996,79.5964125560538,-2.8026905829596274,7,32,-25,0.9558620689655173,1.1210762331838424,18,8,10
BLiMP,regular_plural_subject_verb_agreement_1,morphology,890,75.61797752808988,73.37078651685394,73.25842696629213,-2.247191011235941,3,23,-20,0.9658246656760773,-0.11235955056180558,15,16,-1
BLiMP,regular_plural_subject_verb_agreement_2,morphology,945,73.65079365079366,72.16931216931218,72.6984126984127,-1.481481481481481,7,21,-14,0.9698275862068966,0.5291005291005177,19,14,5
BLiMP,existential_there_quantifiers_1,semantics,930,98.81720430107526,98.81720430107526,99.24731182795699,0.0,3,3,0,0.9967355821545157,0.43010752688172715,5,1,4
BLiMP,existential_there_quantifiers_2,semantics,911,40.065861690450056,47.63995609220636,40.944017563117455,7.574094401756305,75,6,69,0.9835616438356164,-6.695938529088906,6,67,-61
BLiMP,matrix_question_npi_licensor_present,semantics,929,40.90419806243272,41.33476856835307,41.01184068891281,0.4305705059203504,25,21,4,0.9447368421052632,-0.32292787944025747,18,21,-3
BLiMP,npi_present_1,semantics,909,33.663366336633665,29.48294829482948,27.83278327832783,-4.1804180418041845,9,47,-38,0.8464052287581699,-1.6501650165016493,11,26,-15
BLiMP,npi_present_2,semantics,914,39.496717724288835,33.8074398249453,32.27571115973742,-5.689277899343537,10,62,-52,0.8282548476454293,-1.5317286652078792,20,34,-14
BLiMP,only_npi_licensor_present,semantics,882,80.04535147392289,74.94331065759637,74.82993197278913,-5.102040816326522,5,50,-45,0.9291784702549575,-0.11337868480724467,20,21,-1
BLiMP,sentential_negation_npi_licensor_present,semantics,919,99.23830250272034,99.56474428726877,99.23830250272034,0.32644178454842177,3,0,3,1.0,-0.32644178454842177,0,3,-3
BLiMP,superlative_quantifiers_1,semantics,979,97.03779366700715,95.40347293156282,96.11848825331971,-1.6343207354443336,4,20,-16,0.9789473684210527,0.7150153217568942,9,2,7
BLiMP,superlative_quantifiers_2,semantics,986,80.22312373225152,82.04868154158214,83.97565922920892,1.8255578093306184,32,14,18,0.9823008849557522,1.9269776876267741,24,5,19
