column,subtask,n_items,score_82,score_84,score_100,delta_84_minus_82,gains_82_to_84,losses_82_to_84,net_items_82_to_84,retention_of_82_correct_at_84,delta_100_minus_84,gains_84_to_100,losses_84_to_100,net_items_84_to_100
BLiMP,principle_A_case_1,912,99.89035087719299,99.78070175438597,99.89035087719299,-0.10964912280701355,0,1,-1,0.9989023051591658,0.10964912280701355,1,0,1
BLiMP,principle_A_case_2,915,84.59016393442623,84.48087431693989,85.24590163934425,-0.10928961748633981,10,11,-1,0.9857881136950905,0.7650273224043644,16,9,7
BLiMP,principle_A_domain_1,914,74.83588621444201,74.945295404814,78.11816192560175,0.10940919037199137,16,15,1,0.9780701754385965,3.1728665207877498,37,8,29
BLiMP,principle_A_domain_2,915,54.09836065573771,55.19125683060109,53.87978142076503,1.0928961748633839,35,25,10,0.9494949494949495,-1.3114754098360635,29,41,-12
BLiMP,principle_A_domain_3,941,57.17321997874601,56.64187035069076,58.12964930924548,-0.5313496280552528,30,35,-5,0.9349442379182156,1.4877789585547205,34,20,14
BLiMP,principle_A_reconstruction,967,40.641158221302994,41.26163391933816,44.05377456049638,0.6204756980351647,29,23,6,0.9414758269720102,2.7921406411582197,44,17,27
BLiMP,regular_plural_subject_verb_agreement_1,890,75.61797752808988,73.37078651685394,73.25842696629213,-2.247191011235941,3,23,-20,0.9658246656760773,-0.11235955056180558,15,16,-1
BLiMP,regular_plural_subject_verb_agreement_2,945,73.65079365079366,72.16931216931218,72.6984126984127,-1.481481481481481,7,21,-14,0.9698275862068966,0.5291005291005177,19,14,5
BLiMP,sentential_negation_npi_licensor_present,919,99.23830250272034,99.56474428726877,99.23830250272034,0.32644178454842177,3,0,3,1.0,-0.32644178454842177,0,3,-3
BLiMP,sentential_negation_npi_scope,871,70.26406429391504,67.62342135476463,67.7382319173364,-2.6406429391504105,12,35,-23,0.9428104575163399,0.11481056257177613,21,20,1
BLiMP,sentential_subject_island,961,32.25806451612903,31.841831425598333,31.94588969823101,-0.41623309053069946,17,21,-4,0.932258064516129,0.10405827263267753,22,21,1
