pair_pattern,clean_qwen_10M,compact_view_reinvest_10M,compact_repeat_reinvest_10M,lengthmatched_compact_reinvest_10M,compact_view_minus_clean,compact_view_vs_clean_ratio
above_below,66,67,66,64,1,1.0151515151515151
left_right,827,797,797,831,-30,0.9637243047158404
front_behind,74,72,72,74,-2,0.972972972972973
boss_subordinate,0,0,0,0,0,
parent_child,158,180,180,159,22,1.139240506329114
teacher_student,65,84,83,66,19,1.2923076923076924
landlord_tenant,1,1,1,1,0,1.0
kick_drop_touch,0,0,0,0,0,
throw_catch,93,87,87,92,-6,0.9354838709677419
push_pull,98,94,94,96,-4,0.9591836734693877
sink_float,8,8,8,8,0,1.0
rise_fall,202,194,193,198,-8,0.9603960396039604
grow_shrink,9,9,9,9,0,1.0
