contrast,window,quantity,n,mean,min,max
VminusR,late_80_90_100M,affected_delta,3,0.21354166666666666,0.19791666666666666,0.234375
VminusR,late_80_90_100M,unaffected_delta,3,-0.19791666666666663,-0.203125,-0.19270833333333326
VminusR,late_80_90_100M,EEBF_delta,3,0.007812500000000056,1.1102230246251565e-16,0.015625000000000056
VminusR,late_80_90_100M,affected_margin_delta,3,0.7957447514765793,0.77110122681673,0.8353183294530027
VminusR,late_80_90_100M,unaffected_margin_delta,3,-0.8598207403815143,-0.8966368094746333,-0.8355615121545269
VminusR,late_80_90_100M,signed_bias_margin_delta,3,1.6555654918580938,1.6066627389712569,1.731955138927636
VminusR,late_80_90_100M,offset_like_count,3,3,3,3
VminusB,late_80_90_100M,affected_delta,3,0.06944444444444446,0.041666666666666685,0.10416666666666669
VminusB,late_80_90_100M,unaffected_delta,3,-0.04166666666666663,-0.046875,-0.03645833333333326
VminusB,late_80_90_100M,EEBF_delta,3,0.013888888888888914,0.0026041666666667407,0.02864583333333337
VminusB,late_80_90_100M,affected_margin_delta,3,0.10696934255409157,0.0356431445106864,0.22108127011839923
VminusB,late_80_90_100M,unaffected_margin_delta,3,0.061909154160983026,-0.0781586259836331,0.1460167661619683
VminusB,late_80_90_100M,signed_bias_margin_delta,3,0.04506018839310855,-0.1103736216512819,0.29923989610203233
VminusB,late_80_90_100M,offset_like_count,3,3,3,3
BminusR,late_80_90_100M,affected_delta,3,0.1440972222222222,0.13020833333333331,0.15624999999999997
BminusR,late_80_90_100M,unaffected_delta,3,-0.15625,-0.16145833333333337,-0.15104166666666663
BminusR,late_80_90_100M,EEBF_delta,3,-0.006076388888888858,-0.013020833333333315,-0.0026041666666666297
BminusR,late_80_90_100M,affected_margin_delta,3,0.6887754089224877,0.6142370593346035,0.7451715536493188
BminusR,late_80_90_100M,unaffected_margin_delta,3,-0.9217298945424974,-0.9932806656773514,-0.8184781834910002
BminusR,late_80_90_100M,signed_bias_margin_delta,3,1.6105053034649852,1.4327152428256036,1.7384522193266703
BminusR,late_80_90_100M,offset_like_count,3,3,3,3
