arm,checkpoint,group,n,mean_gain,sd_gain,se_gain,mean_nll_present,mean_nll_replaced
D_R_43122,chck_100M,ALL,258,1.7219884511906394,2.965997310218332,0.184654926909275,4.132385171408397,5.854373622599036
D_R_43122,chck_100M,nonidentical_remention,129,0.9355649864301085,2.4354786920953893,0.21443194217921305,4.067931358832433,5.003496345262541
D_R_43122,chck_100M,verbatim_remention,129,2.50841191595117,3.2380339848251403,0.2850929956652466,4.196838983984361,6.705250899935531
D_R_43122,chck_80M,ALL,258,1.6955506529030933,2.8432107658757824,0.17701057055975863,4.1742964317812765,5.86984708468437
D_R_43122,chck_80M,nonidentical_remention,129,0.9125970307838662,2.312825954458644,0.20363297077765388,4.101329014882041,5.013926045665907
D_R_43122,chck_80M,verbatim_remention,129,2.47850427502232,3.1058130902248826,0.27345159501664845,4.247263848680512,6.725768123702832
D_R_43122,chck_90M,ALL,258,1.7175332935194867,2.934504790521552,0.18269428827256307,4.124897454840008,5.8424307483594955
D_R_43122,chck_90M,nonidentical_remention,129,0.9265329640127661,2.4165581470118926,0.2127660810725191,4.05176485093065,4.978297814943416
D_R_43122,chck_90M,verbatim_remention,129,2.5085336230262074,3.192024445661413,0.2810420816196138,4.198030058749366,6.706563681775574
D_V_43122,chck_100M,ALL,258,1.8653022591728543,3.022667581992943,0.1881830639228919,3.835869305380873,5.701171564553727
D_V_43122,chck_100M,nonidentical_remention,129,1.0513954574364968,2.6191240029325136,0.23060101021611273,3.889613909885114,4.941009367321611
D_V_43122,chck_100M,verbatim_remention,129,2.679209060909212,3.1858072573703495,0.2804946887130474,3.7821247008766314,6.461333761785844
D_V_43122,chck_80M,ALL,258,1.8372975663433588,3.0131852227122193,0.1875927180200561,3.8970180965685683,5.734315662911927
D_V_43122,chck_80M,nonidentical_remention,129,1.042680955426984,2.6242276800254114,0.23105036392831627,3.9063546090249637,4.949035564451948
D_V_43122,chck_80M,verbatim_remention,129,2.6319141772597336,3.173363261094129,0.27939905593307635,3.887681584112173,6.519595761371907
D_V_43122,chck_90M,ALL,258,1.8686911355426117,3.025348131741693,0.18834994766085986,3.845458235732431,5.714149371275043
D_V_43122,chck_90M,nonidentical_remention,129,1.0621761445699678,2.6441865292403346,0.23280764261636583,3.8902191447758283,4.952395289345796
D_V_43122,chck_90M,verbatim_remention,129,2.6752061265152554,3.173980080146569,0.2794533638224523,3.8006973266890345,6.47590345320429
