seed,source,contrast,checkpoint,arm_A,arm_B,BLiMP,Supplement,EWoK,COMPS,Entity,exEntity4,cheap5_noReading,complete_families,arm_short,arm,source_payload,complete_broad4,complete_entity,Reading
43022,experiments/archive/frontier_consolidation/data/register_readout_only/decisive_contrasts.csv,regmax_childspeech_minus_clean,chck_80M,regmax_childspeech,clean_maxgeom,-0.47,1.16,0.32,0.09,1.47,0.275,0.514,5,,,,,,
43022,experiments/archive/frontier_consolidation/data/register_readout_only/decisive_contrasts.csv,regmax_adultprose_minus_clean,chck_80M,regmax_adultprose,clean_maxgeom,0.66,1.18,0.37,0.86,2.06,0.7675,1.026,5,,,,,,
43022,experiments/archive/frontier_consolidation/data/register_readout_only/decisive_contrasts.csv,regmax_childspeech_minus_clean,chck_100M,regmax_childspeech,clean_maxgeom,-0.93,0.34,0.7,0.22,1.02,0.0825,0.27,5,,,,,,
43022,experiments/archive/frontier_consolidation/data/register_readout_only/decisive_contrasts.csv,regmax_adultprose_minus_clean,chck_100M,regmax_adultprose,clean_maxgeom,0.52,1.9,-0.24,0.6,2.14,0.695,0.984,5,,,,,,
43122,,,chck_80M,,,66.94,59.94,51.59,52.35,,57.705,,,childspeech,regmax_childspeech_seed43122,experiments/archive/frontier_consolidation/data/register_seed43122_decisive_eval/childspeech/per_target/regmax_childspeech_seed43122_chck_80M.json,True,False,
43122,,,chck_100M,,,66.79,61.22,51.72,52.09,,57.955,,,childspeech,regmax_childspeech_seed43122,experiments/archive/frontier_consolidation/data/register_seed43122_decisive_eval/childspeech/per_target/regmax_childspeech_seed43122_chck_100M.json,True,False,
43122,,,chck_80M,,,67.7,59.76,49.86,51.29,,57.1525,,,adultprose,regmax_adultprose_seed43122,experiments/archive/frontier_consolidation/data/register_seed43122_decisive_eval/adultprose/per_target/regmax_adultprose_seed43122_chck_80M.json,True,False,
43122,,,chck_100M,,,68.08,60.53,49.69,51.02,,57.33,,,adultprose,regmax_adultprose_seed43122,experiments/archive/frontier_consolidation/data/register_seed43122_decisive_eval/adultprose/per_target/regmax_adultprose_seed43122_chck_100M.json,True,False,
