contrast,checkpoint,arm_A,arm_B,complete_families5,BLiMP,Supplement,EWoK,COMPS,Entity,exEntity4,cheap5_noReading,Reading
incorpus_minus_clean,chck_70M,incorpus_adultprose,clean_maxgeom,True,-0.04,0.61,-0.58,0.73,1.08,0.18,0.36,
incorpus_minus_clean,chck_80M,incorpus_adultprose,clean_maxgeom,True,0.45,0.25,1.41,0.35,1.18,0.615,0.728,
incorpus_minus_clean,chck_100M,incorpus_adultprose,clean_maxgeom,True,0.5,-0.15,0.48,0.47,0.75,0.325,0.41,
incorpus_minus_subdose_full,chck_70M,incorpus_adultprose,subdose_full,True,-0.95,-0.44,-0.98,1.12,2.01,-0.3125,0.152,
subdose_full_minus_clean,chck_70M,subdose_full,clean_maxgeom,True,0.91,1.05,0.4,-0.39,-0.93,0.4925,0.208,
