arm,label,checkpoint,source_payload,complete_families5,BLiMP,Supplement,EWoK,COMPS,Entity,exEntity4,cheap5_noReading,Reading
clean_maxgeom,clean,chck_70M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_70M.json,True,66.31,58.69,49.63,51.35,24.44,56.495000000000005,50.084,7.5
clean_maxgeom,clean,chck_80M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_80M.json,True,66.33,58.07,49.31,51.42,24.05,56.2825,49.836,7.130000000000001
clean_maxgeom,clean,chck_100M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_100M.json,True,66.88,57.88,50.36,51.58,24.82,56.675,50.304,7.215
incorpus_adultprose,incorpus,chck_70M,experiments/archive/frontier_consolidation/data/incorpus_decisive_gpu_eval/per_target/incorpus_adultprose_chck_70M.json,True,66.27,59.3,49.05,52.08,25.52,56.675,50.443999999999996,
incorpus_adultprose,incorpus,chck_80M,experiments/archive/frontier_consolidation/data/incorpus_decisive_gpu_eval/per_target/incorpus_adultprose_chck_80M.json,True,66.78,58.32,50.72,51.77,25.23,56.8975,50.564,
incorpus_adultprose,incorpus,chck_100M,experiments/archive/frontier_consolidation/data/incorpus_decisive_gpu_eval/per_target/incorpus_adultprose_chck_100M.json,True,67.38,57.73,50.84,52.05,25.57,57.0,50.714,
subdose_full,subdose_full,chck_70M,experiments/archive/frontier_consolidation/data/incorpus_decisive_gpu_eval/per_target/subdose_full_chck_70M.json,True,67.22,59.74,50.03,50.96,23.51,56.9875,50.292,
