seed,source,contrast,checkpoint,arm_A,arm_B,BLiMP,Supplement,EWoK,COMPS,Entity,exEntity4,cheap5_noReading,complete_families,complete_broad4,complete_entity,Reading
43022,experiments/archive/frontier_consolidation/data/register_readout_only/decisive_contrasts.csv,childspeech_minus_adultprose,chck_80M,regmax_childspeech,regmax_adultprose,-1.13,-0.02,-0.05,-0.77,-0.59,-0.4925,-0.512,5,,,
43022,experiments/archive/frontier_consolidation/data/register_readout_only/decisive_contrasts.csv,childspeech_minus_adultprose,chck_100M,regmax_childspeech,regmax_adultprose,-1.45,-1.56,0.94,-0.38,-1.12,-0.6125,-0.714,5,,,
43122,experiments/archive/frontier_consolidation/data/register_seed43122_decisive_eval,childspeech_minus_adultprose,chck_80M,,,-0.76,0.18,1.73,1.06,,0.5525,,,True,False,
43122,experiments/archive/frontier_consolidation/data/register_seed43122_decisive_eval,childspeech_minus_adultprose,chck_100M,,,-1.29,0.69,2.03,1.07,,0.625,,,True,False,
