role,n_checkpoints,n,gain,repeated_nll,unrepeated_nll
ALN,3,2000.0,3.8469734100181245,0.4588607301657988,4.305834140183923
OFF,3,2000.0,2.329915645196035,1.2873369888736723,3.617252634069707
