role,checkpoint,pair_id,target_key,overlap_bin,token_class,surface_word_class,target_word,target_token_id,N,T,U,gain_T_vs_U,gain_T_vs_N,gain_U_vs_N
ALN,chck_100M,wikilarge_00e870d0480c25e3f6c8,wikilarge_00e870d0480c25e3f6c8:0,high,overlap,overlap,january,2017,12.216913223266602,14.950606346130371,14.370201110839844,-0.5804052352905273,-2.7336931228637695,-2.153287887573242
ALN,chck_100M,wikilarge_00e870d0480c25e3f6c8,wikilarge_00e870d0480c25e3f6c8:11,high,nonoverlap,nonoverlap,kept,2352,14.155550956726074,15.578182220458984,14.898200988769531,-0.6799812316894531,-1.4226312637329102,-0.742650032043457
ALN,chck_100M,wikilarge_00e870d0480c25e3f6c8,wikilarge_00e870d0480c25e3f6c8:3,high,nonoverlap,nonoverlap,said,457,7.819802284240723,9.531079292297363,9.090676307678223,-0.4404029846191406,-1.7112770080566406,-1.2708740234375
ALN,chck_100M,wikilarge_00ed2371f449705b6f23,wikilarge_00ed2371f449705b6f23:3,low,nonoverlap,nonoverlap,important,2020,13.160049438476562,18.47740364074707,13.7777738571167,-4.699629783630371,-5.317354202270508,-0.6177244186401367
ALN,chck_100M,wikilarge_00ed2371f449705b6f23,wikilarge_00ed2371f449705b6f23:4,low,nonoverlap,nonoverlap,part,638,13.003026962280273,15.009157180786133,14.31103515625,-0.6981220245361328,-2.0061302185058594,-1.3080081939697266
ALN,chck_100M,wikilarge_00ed2371f449705b6f23,wikilarge_00ed2371f449705b6f23:5,low,overlap,overlap,medicine,5497,11.931408882141113,10.671853065490723,15.143982887268066,4.472129821777344,1.2595558166503906,-3.212574005126953
ALN,chck_100M,wikilarge_00fb0e77f0f8f7a6a420,wikilarge_00fb0e77f0f8f7a6a420:1,low,nonoverlap,nonoverlap,idea,1713,11.435833930969238,10.606196403503418,12.37667465209961,1.7704782485961914,0.8296375274658203,-0.9408407211303711
ALN,chck_100M,wikilarge_00fb0e77f0f8f7a6a420,wikilarge_00fb0e77f0f8f7a6a420:10,low,overlap,overlap,market,3460,16.84078598022461,20.752342224121094,18.438968658447266,-2.313373565673828,-3.9115562438964844,-1.5981826782226562
ALN,chck_100M,wikilarge_00fb0e77f0f8f7a6a420,wikilarge_00fb0e77f0f8f7a6a420:5,low,nonoverlap,nonoverlap,said,457,10.99389934539795,18.17949867248535,11.67467212677002,-6.504826545715332,-7.185599327087402,-0.6807727813720703
ALN,chck_100M,wikilarge_010317a91bf8561d95c3,wikilarge_010317a91bf8561d95c3:0,low,nonoverlap,nonoverlap,fight,1584,9.828933715820312,11.032129287719727,9.033910751342773,-1.9982185363769531,-1.203195571899414,0.7950229644775391
ALN,chck_100M,wikilarge_010317a91bf8561d95c3,wikilarge_010317a91bf8561d95c3:1,low,nonoverlap,nonoverlap,soft,1843,13.316059112548828,13.100905418395996,13.94567584991455,0.8447704315185547,0.21515369415283203,-0.6296167373657227
