role,overlap_bin,token_class,n_pairs,mean_gain_T_vs_U,mean_gain_T_vs_N,mean_gain_U_vs_N,se_pair_gain_T_vs_U,se_pair_gain_T_vs_N,se_pair_gain_U_vs_N
ALN,ALL,ALL,1200,3.336545865850575,2.8450949824823892,-0.49145088336818543,0.0825683322122724,0.08536141552700074,0.03832923538390278
ALN,ALL,nonoverlap,1200,-0.5045911887699428,-1.0452694385718657,-0.540678249801923,0.05238964775581998,0.053515822052253866,0.04307970631507127
ALN,ALL,overlap,1200,7.177682920471093,6.735459403536645,-0.4422235169344478,0.1587290530390815,0.16275982431844685,0.06503975684053964
ALN,high,ALL,400,3.8495279417551744,3.3953321117403292,-0.45419583001484476,0.14149312875819092,0.14411989424104965,0.06094680874699341
ALN,high,nonoverlap,400,-0.6510571158863604,-1.2082570745733876,-0.5571999586870273,0.09184271670044006,0.09491752103059396,0.07170517458354407
ALN,high,overlap,400,8.350112999396709,7.9989212980540465,-0.3511917013426622,0.2703652549763736,0.27315782856630216,0.10597683875277389
ALN,low,ALL,400,2.597068294408188,2.0883623481739777,-0.5087059462342101,0.14393131738596004,0.15084945748042472,0.06984936947318741
ALN,low,nonoverlap,400,-0.2002760053604531,-0.7885899476186994,-0.5883139422582463,0.08899425552663622,0.08740934137544851,0.07909001308106633
ALN,low,overlap,400,5.394412594176829,4.965314643966655,-0.42909795021017394,0.2724837122448243,0.2874009013327016,0.11813090174478505
ALN,medium,ALL,400,3.563041361388362,3.0515904875328608,-0.5114508738555014,0.13589717069422053,0.14056288514096182,0.06799640037716173
ALN,medium,nonoverlap,400,-0.6624404450630148,-1.1389612935235103,-0.47652084846049547,0.0894403356110809,0.09419496480942872,0.07272717435042723
ALN,medium,overlap,400,7.788523167839739,7.242142268589232,-0.5463808992505074,0.25901744745277455,0.26217585020262135,0.11330163215600406
OFF,ALL,ALL,1200,1.1490424656805893,1.185493386124985,0.03645092044439581,0.043836521615825706,0.045765371262171915,0.020128268772129383
OFF,ALL,nonoverlap,1200,-0.1777578507694933,-0.16469368159770967,0.013064169171783662,0.022876777523708255,0.026012904147475875,0.023310669087100753
OFF,ALL,overlap,1200,2.475842782130672,2.5356804538476796,0.059837671717007955,0.08536231343441762,0.08797159633209742,0.032581687108537254
OFF,high,ALL,400,1.3052167449581125,1.3521369517035782,0.046920206745465605,0.07730081343392285,0.08148285194547175,0.03272764632286575
OFF,high,nonoverlap,400,-0.2274452817440033,-0.18729533831278483,0.040149943431218464,0.04005545762274741,0.04626418455247724,0.03991217772411724
OFF,high,overlap,400,2.8378787716602285,2.8915692417199415,0.053690470059712725,0.15337832415273098,0.15684414459660276,0.0494318775323237
OFF,low,ALL,400,0.8779801671455304,0.9502636715521414,0.07228350440661113,0.06876065777320686,0.07148791439360205,0.03635965856651051
OFF,low,nonoverlap,400,-0.11521973212560019,-0.09064867079257966,0.02457106133302053,0.04059639233414415,0.04494983943095051,0.04147070353969594
OFF,low,overlap,400,1.871180066416661,1.9911760138968626,0.11999594748020172,0.1310085582723028,0.13628338596548126,0.06117482050919811
OFF,medium,ALL,400,1.2639304849381248,1.2540795351192355,-0.009850949818889298,0.07945854737542626,0.08295015313044131,0.03527545351816967
OFF,medium,nonoverlap,400,-0.19060853843887646,-0.21613703568776452,-0.025528497248888015,0.03796384200489812,0.04367582866437019,0.03964588065292801
OFF,medium,overlap,400,2.7184695083151262,2.724296105926235,0.005826597611109413,0.15330845172078264,0.15915707467728293,0.05789467010832368
