group,contrast,role_a,role_b,n,delta_accuracy_pct,acc_a,acc_b,mean_relevant_updates,mean_total_ops,mean_prefix_words
ALL,ALNminusOFF,ALN,OFF,6780,3.5103244837758147,25.41297935103245,21.902654867256636,1.9960176991150442,7.359587020648967,120.59041297935103
rel0_total_ops_0,ALNminusOFF,ALN,OFF,304,17.763157894736842,42.76315789473684,25.0,0.0,0.0,61.473684210526315
rel0_total_ops_1,ALNminusOFF,ALN,OFF,257,11.284046692607003,37.7431906614786,26.459143968871597,0.0,1.0,69.715953307393
rel0_total_ops_10,ALNminusOFF,ALN,OFF,36,25.000000000000007,41.66666666666667,16.666666666666664,0.0,10.0,143.72222222222223
rel0_total_ops_11,ALNminusOFF,ALN,OFF,32,18.75,40.625,21.875,0.0,11.0,148.96875
rel0_total_ops_12,ALNminusOFF,ALN,OFF,30,43.333333333333336,50.0,6.666666666666667,0.0,12.0,157.36666666666667
rel0_total_ops_2,ALNminusOFF,ALN,OFF,212,24.056603773584904,42.45283018867924,18.39622641509434,0.0,2.0,77.93867924528301
rel0_total_ops_3,ALNminusOFF,ALN,OFF,172,24.418604651162788,43.604651162790695,19.186046511627907,0.0,3.0,85.88372093023256
rel0_total_ops_4,ALNminusOFF,ALN,OFF,131,15.267175572519086,35.87786259541985,20.610687022900763,0.0,4.0,93.36641221374046
rel0_total_ops_5,ALNminusOFF,ALN,OFF,104,23.07692307692308,40.38461538461539,17.307692307692307,0.0,5.0,100.5673076923077
rel0_total_ops_6,ALNminusOFF,ALN,OFF,88,27.27272727272727,46.590909090909086,19.318181818181817,0.0,6.0,107.64772727272727
rel0_total_ops_7,ALNminusOFF,ALN,OFF,66,28.78787878787879,50.0,21.21212121212121,0.0,7.0,117.81818181818181
rel0_total_ops_8,ALNminusOFF,ALN,OFF,63,30.158730158730158,46.03174603174603,15.873015873015872,0.0,8.0,127.47619047619048
rel0_total_ops_9,ALNminusOFF,ALN,OFF,46,30.43478260869565,52.17391304347826,21.73913043478261,0.0,9.0,134.91304347826087
rel_eq0,ALNminusOFF,ALN,OFF,1541,21.02530824140168,42.24529526281635,21.219987021414667,0.0,3.388059701492537,88.73329007138221
rel_ge1,ALNminusOFF,ALN,OFF,5239,-1.6415346440160334,20.461920213781255,22.10345485779729,2.5831265508684864,8.527772475663294,129.96087039511357
rel_ge2,ALNminusOFF,ALN,OFF,3916,-1.532175689479061,21.629213483146067,23.161389172625128,3.1179775280898876,9.274770173646578,136.0349846782431
rel_ge3,ALNminusOFF,ALN,OFF,2650,-0.7924528301886795,23.0188679245283,23.81132075471698,3.6520754716981134,9.80188679245283,140.93735849056603
rel_ge4,ALNminusOFF,ALN,OFF,1420,-1.0563380281690122,25.070422535211268,26.12676056338028,4.216901408450704,10.112676056338028,143.64225352112675
rel_updates_0,ALNminusOFF,ALN,OFF,1541,21.02530824140168,42.24529526281635,21.219987021414667,0.0,3.388059701492537,88.73329007138221
rel_updates_1,ALNminusOFF,ALN,OFF,1323,-1.96523053665911,17.006802721088434,18.972033257747544,1.0,6.316704459561603,111.98185941043084
rel_updates_2,ALNminusOFF,ALN,OFF,1266,-3.080568720379148,18.72037914691943,21.80094786729858,2.0,8.171406003159557,125.77330173775671
rel_updates_3,ALNminusOFF,ALN,OFF,1230,-0.4878048780487809,20.650406504065042,21.138211382113823,3.0,9.44308943089431,137.81463414634146
rel_updates_4,ALNminusOFF,ALN,OFF,1112,-1.258992805755394,24.100719424460433,25.359712230215827,4.0,10.02158273381295,142.931654676259
rel_updates_5,ALNminusOFF,ALN,OFF,308,-0.32467532467532934,28.57142857142857,28.8961038961039,5.0,10.441558441558442,146.2077922077922
total_ops_0,ALNminusOFF,ALN,OFF,304,17.763157894736842,42.76315789473684,25.0,0.0,0.0,61.473684210526315
total_ops_1,ALNminusOFF,ALN,OFF,331,5.740181268882168,32.3262839879154,26.586102719033235,0.22356495468277945,1.0,69.66465256797584
total_ops_10,ALNminusOFF,ALN,OFF,733,-0.409276944065482,21.418826739427015,21.828103683492497,2.8076398362892223,10.0,141.51841746248294
total_ops_11,ALNminusOFF,ALN,OFF,828,0.7246376811594182,21.014492753623188,20.28985507246377,2.9504830917874396,11.0,149.18961352657004
total_ops_12,ALNminusOFF,ALN,OFF,919,0.9793253536452653,22.63329706202394,21.653971708378673,3.115342763873776,12.0,158.37431991294886
total_ops_2,ALNminusOFF,ALN,OFF,339,9.734513274336283,30.383480825958703,20.64896755162242,0.4424778761061947,2.0,77.53687315634218
total_ops_3,ALNminusOFF,ALN,OFF,358,9.217877094972064,28.49162011173184,19.273743016759777,0.723463687150838,3.0,85.74022346368714
total_ops_4,ALNminusOFF,ALN,OFF,369,1.355013550135503,24.661246612466126,23.306233062330623,1.005420054200542,4.0,93.0
total_ops_5,ALNminusOFF,ALN,OFF,393,2.5445292620865168,23.918575063613233,21.374045801526716,1.3231552162849873,5.0,101.42493638676845
total_ops_6,ALNminusOFF,ALN,OFF,446,1.5695067264573979,25.56053811659193,23.99103139013453,1.6591928251121075,6.0,109.03363228699551
total_ops_7,ALNminusOFF,ALN,OFF,508,2.7559055118110223,25.196850393700785,22.440944881889763,2.045275590551181,7.0,117.93897637795276
total_ops_8,ALNminusOFF,ALN,OFF,592,5.912162162162161,24.83108108108108,18.91891891891892,2.285472972972973,8.0,126.08952702702703
total_ops_9,ALNminusOFF,ALN,OFF,660,2.424242424242422,25.454545454545453,23.03030303030303,2.5196969696969695,9.0,134.4
