role,token_class,n_checkpoints,n,T,U,N,A_T,A_U,G
ALN,nonoverlap,3,2730.0,6.919960595342366,8.147182597028221,8.405319447781986,1.4853588524396202,0.25813685075376497,1.2272220016858553
ALN,overlap,3,3170.0,1.7465731022818762,8.0610587608835,8.289801750278157,6.543228647996281,0.2287429893946571,6.314485658601623
OFF,nonoverlap,3,2730.0,6.792053842247533,8.111171002218883,8.470488787688524,1.6784349454409913,0.35931778546964005,1.3191171599713511
OFF,overlap,3,3170.0,3.441677514137455,7.9295171823950925,8.285423147983627,4.84374563384617,0.35590596558853244,4.487839668257638
