segment,unit,units,words,complete_units,complete_unit_pct
pair_source_shared,pair,33291,690465,33290,99.99699618515515
view_added_rewrite,pair,33291,428122,33291,100.0
repeat_added_fragment,pair,33291,428122,1887,5.668198612237542
view_full_changed_block,row,7924,1118720,7923,99.98738011105502
repeat_full_changed_block,row,7924,1118720,386,4.871277132761231
clean_full_changed_block,row,7924,1118720,954,12.039374053508329
