contrast,view_minus_repeat,paired_bootstrap_p2_5,paired_bootstrap_p97_5,bootstrap_units,bootstrap_reps,seed
state_hits_per_1000_words,3.879735215662825,3.4716698638469095,4.289285906398145,33291,2000,90602
property_hits_per_1000_words,-6.059020559560126,-6.431997078918357,-5.6748226179879495,33291,2000,90602
entity_signature_per_1000_words,-6.315956666557663,-6.8428773669615435,-5.767763259535302,33291,2000,90602
complete_segment_percentage_points,94.33180138776245,94.07948094079481,94.56609894566098,33291,2000,90602
identity_variation_percentage_points,87.3869814664624,87.03853894445946,87.74143161815506,33291,2000,90602
role_reexpression_percentage_points,78.68793367576822,78.27340722717852,79.13249827280646,33291,2000,90602
event_reexpression_percentage_points,6.488240064882401,6.220900543690487,6.7675948454537265,33291,2000,90602
