category,arm,pairs,source_any,second_any,both_any,retention_pct_of_source_any,same_marker_set,changed_marker_set,changed_marker_pct_of_both,novel_second_marker,novel_second_marker_pct_of_both,lost,gained
movement,view,33291,1197,1168,918,76.69172932330827,659,259,28.21350762527233,237,25.816993464052292,279,250
movement,repeat,33291,1197,773,773,64.578111946533,744,29,3.751617076326003,0,0.0,424,0
transfer,view,33291,2088,1258,1025,49.09003831417624,716,309,30.146341463414632,279,27.219512195121954,1063,233
transfer,repeat,33291,2088,1352,1352,64.75095785440614,1306,46,3.4023668639053253,0,0.0,736,0
change,view,33291,5717,4891,4052,70.87633374147279,2490,1562,38.54886475814413,1351,33.34155972359329,1665,839
change,repeat,33291,5717,3831,3831,67.0106699317824,3475,356,9.292612894805535,0,0.0,1886,0
containment,view,33291,2721,1767,1303,47.88680632120544,919,384,29.470452801227935,329,25.249424405218722,1418,464
containment,repeat,33291,2721,1730,1730,63.57956633590591,1650,80,4.624277456647398,0,0.0,991,0
