pair_id,origin,domains,source_words,second_words,view_content_recall,repeat_content_recall,supplied_content_recall,supplied_entity_recall,view_anchor_recall,repeat_anchor_recall,view_bigram_coverage,repeat_bigram_coverage,view_trigram_coverage,repeat_trigram_coverage,view_sequence_ratio,repeat_sequence_ratio,view_complete,repeat_complete,view_pronoun_shift,repeat_pronoun_shift,view_voice_shift,repeat_voice_shift,view_anchor_order_inversion,repeat_anchor_order_inversion,view_prep_shift,repeat_prep_shift,view_event_reexpression,repeat_event_reexpression,view_identity_variation,repeat_identity_variation,view_role_reexpression,repeat_role_reexpression,source_state_hits,view_state_hits,repeat_state_hits,source_property_hits,view_property_hits,repeat_property_hits,view_entity_signature_hits,repeat_entity_signature_hits
compact:frontier_consolidation_fwcompact_expansion_020968,war_expansion_accepted,geography_places|institutions_society,16,13,0.7777777777777778,1.0,0.7,1.0,0.5,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.45454545454545453,0.8181818181818182,0.7586206896551724,0.6206896551724138,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
compact:frontier_consolidation_fwcompact_expansion_044885,war_expansion_accepted,no_domain,17,12,0.7,1.0,0.5833333333333334,1.0,1.0,1.0,0.45454545454545453,1.0,0.3,1.0,0.6206896551724138,0.8275862068965517,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
compact:frontier_consolidation_fwcompact_medium_044902,medium_unused_accepted,quant_numeric|science_physical,17,13,0.7,1.0,0.5454545454545454,1.0,1.0,0.5,0.5,0.9166666666666666,0.2727272727272727,0.8181818181818182,0.6666666666666666,0.7333333333333333,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,2
compact:frontier_consolidation_fwcompact_expansion_012411,war_expansion_accepted,institutions_society,17,14,0.7272727272727273,1.0,0.7,1.0,nan,nan,0.5384615384615384,1.0,0.5,1.0,0.5806451612903226,0.9032258064516129,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0
compact:frontier_consolidation_fwcompact_expansion_039766,war_expansion_accepted,no_domain,17,14,0.6363636363636364,1.0,0.7,1.0,nan,nan,0.46153846153846156,1.0,0.16666666666666666,1.0,0.1935483870967742,0.9032258064516129,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
compact:frontier_consolidation_fwcompact_expansion_051346,war_expansion_accepted,no_domain,18,13,0.7,1.0,0.5,1.0,nan,nan,0.25,1.0,0.0,1.0,0.5806451612903226,0.8387096774193549,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0
compact:frontier_consolidation_fwcompact_expansion_058786,war_expansion_accepted,institutions_society,16,12,0.6666666666666666,1.0,0.5454545454545454,1.0,1.0,0.5,0.5454545454545454,0.9090909090909091,0.4,0.9,0.42857142857142855,0.7857142857142857,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0
compact:frontier_consolidation_fwcompact_expansion_041100,war_expansion_accepted,no_domain,17,14,0.7,1.0,0.6363636363636364,1.0,nan,0.0,0.46153846153846156,0.9230769230769231,0.25,0.8333333333333334,0.6451612903225806,0.6451612903225806,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
compact:frontier_consolidation_fwcompact_expansion_039514,war_expansion_accepted,quant_numeric|science_physical,18,13,0.6666666666666666,1.0,0.5454545454545454,1.0,nan,nan,0.3333333333333333,1.0,0.09090909090909091,1.0,0.45161290322580644,0.8387096774193549,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
compact:frontier_consolidation_fwcompact_expansion_001446,war_expansion_accepted,science_physical,17,14,0.7,1.0,0.6,1.0,nan,0.0,0.38461538461538464,0.9230769230769231,0.3333333333333333,0.8333333333333334,0.5806451612903226,0.5161290322580645,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,2,1
compact:frontier_consolidation_fwcompact_expansion_036948,war_expansion_accepted,no_domain,17,12,0.7,1.0,0.5833333333333334,1.0,0.8333333333333334,0.75,0.45454545454545453,0.9090909090909091,0.2,0.8,0.6206896551724138,0.6206896551724138,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
compact:frontier_consolidation_fwcompact_expansion_030468,war_expansion_accepted,no_domain,16,13,0.7,1.0,0.6363636363636364,1.0,1.0,0.0,0.08333333333333333,0.9166666666666666,0.0,0.8181818181818182,0.3448275862068966,0.4827586206896552,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,2,1,2,0,0,0,0,0
compact:frontier_consolidation_fwcompact_expansion_050816,war_expansion_accepted,geography_places,16,13,0.8,1.0,0.875,1.0,nan,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.45454545454545453,0.8181818181818182,0.7586206896551724,0.4827586206896552,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
compact:frontier_consolidation_fwcompact_medium_041984,medium_unused_accepted,no_domain,16,12,0.7,1.0,0.5833333333333334,1.0,1.0,0.8,0.7272727272727273,0.9090909090909091,0.7,0.8,0.6428571428571429,0.6428571428571429,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
compact:frontier_consolidation_fwcompact_expansion_014398,war_expansion_accepted,no_domain,17,13,0.7272727272727273,1.0,0.6153846153846154,1.0,nan,nan,0.3333333333333333,1.0,0.09090909090909091,1.0,0.5333333333333333,0.8666666666666667,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0
compact:frontier_consolidation_fwcompact_expansion_044078,war_expansion_accepted,media_culture,16,13,0.6666666666666666,1.0,0.5454545454545454,1.0,1.0,0.5,0.6666666666666666,0.9166666666666666,0.5454545454545454,0.8181818181818182,0.6896551724137931,0.7586206896551724,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
compact:frontier_consolidation_fwcompact_expansion_048731,war_expansion_accepted,geography_places,18,13,0.6,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,1.0,0.2727272727272727,1.0,0.5161290322580645,0.8387096774193549,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
compact:frontier_consolidation_fwcompact_expansion_036923,war_expansion_accepted,science_physical,16,12,0.6666666666666666,1.0,0.5,1.0,nan,0.0,0.18181818181818182,0.9090909090909091,0.0,0.9,0.4827586206896552,0.7586206896551724,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
compact:frontier_consolidation_fwcompact_expansion_032630,war_expansion_accepted,no_domain,16,13,0.6,1.0,0.6666666666666666,1.0,nan,0.0,0.4166666666666667,0.9166666666666666,0.09090909090909091,0.8181818181818182,0.6206896551724138,0.5517241379310345,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
compact:frontier_consolidation_fwcompact_expansion_000277,war_expansion_accepted,no_domain,16,12,0.5555555555555556,1.0,0.5555555555555556,1.0,nan,0.0,0.45454545454545453,0.9090909090909091,0.3,0.8,0.5714285714285714,0.42857142857142855,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0
compact:frontier_consolidation_fwcompact_expansion_056671,war_expansion_accepted,no_domain,17,14,0.6,1.0,0.6,1.0,1.0,0.8,0.5384615384615384,0.9230769230769231,0.5,0.8333333333333334,0.5806451612903226,0.7741935483870968,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
