contrast,token_class,n_pairs,delta_T_mean,delta_T_median,delta_T_se,delta_T_frac_positive,delta_U_mean,delta_U_median,delta_U_se,delta_U_frac_positive,delta_N_mean,delta_N_median,delta_N_se,delta_N_frac_positive,delta_U_minus_T_mean,delta_U_minus_T_median,delta_U_minus_T_se,delta_U_minus_T_frac_positive,delta_T_minus_N_mean,delta_T_minus_N_median,delta_T_minus_N_se,delta_T_minus_N_frac_positive,delta_U_minus_N_mean,delta_U_minus_N_median,delta_U_minus_N_se,delta_U_minus_N_frac_positive
RminusRS,nonoverlap,1465,1.0122974034580503,0.8679176270961761,0.04470294300724931,0.7215017064846416,0.2741491931054076,0.29469887415568063,0.030265058554654493,0.6102389078498294,0.303284379028089,0.31276615460713764,0.03163122873794915,0.6088737201365187,-0.7381482103526427,-0.5939520200093582,0.04597995625500373,0.3460750853242321,0.7090130244299614,0.5802393754323325,0.0471312137475909,0.6559726962457337,-0.02913518592268145,0.0038274923960364693,0.02923821490719375,0.5023890784982935
VminusVS,nonoverlap,1465,-0.33007227433315633,-0.29514801502227783,0.04517764924331198,0.4334470989761092,0.3370030928010585,0.2878133455912275,0.031361598305905604,0.6006825938566553,0.2837001729259676,0.268098036448162,0.03151673173642501,0.595221843003413,0.6670753671342149,0.5759328603744498,0.04717678159403815,0.6327645051194539,-0.613772447259124,-0.5596605141957604,0.04810577732285479,0.36177474402730375,0.05330291987509086,0.06695342063903864,0.028618633374637988,0.5283276450511946
RminusC,nonoverlap,1465,0.48374961027504704,0.3448379834493007,0.04507367746464435,0.5965870307167236,-0.30142249046847125,-0.24508428573608398,0.03086285025624827,0.4150170648464164,-0.22956317967340026,-0.21049896876017193,0.03183785000607188,0.4341296928327645,-0.7851721007435184,-0.6067025661468497,0.04677112980407053,0.3392491467576792,0.7133127899484474,0.6513979633649187,0.047242865663538684,0.6511945392491467,-0.07185931079507095,-0.03455682595570875,0.029349879058699527,0.4832764505119454
RSminusC,nonoverlap,1465,-0.5285477931830033,-0.4643819332122803,0.039323317762914436,0.352901023890785,-0.5755716835738788,-0.5372004508972168,0.03209263023917612,0.3290102389078498,-0.5328475587014893,-0.49898735682169537,0.03301957815356383,0.3180887372013652,-0.0470238903908756,-0.016541004180908203,0.039511489731280325,0.4948805460750853,0.004299765518486116,0.016806364059448242,0.04078402932592537,0.5044368600682594,-0.0427241248723895,-0.020294070243835283,0.028449763149821717,0.49215017064846417
VminusC,nonoverlap,1465,-1.155048790917572,-1.035708387692769,0.050639505509873894,0.2696245733788396,-0.48398287242413024,-0.4186968008677159,0.034571998039908805,0.3658703071672355,-0.45385699591136397,-0.3846712907155361,0.034507715775397435,0.37133105802047783,0.6710659184934418,0.6678970654805507,0.04880811078916911,0.653924914675768,-0.701191795006208,-0.624984860420227,0.04976288064845494,0.3488054607508532,-0.03012587651276623,-0.007084528605143525,0.03029680665508934,0.4976109215017065
VSminusC,nonoverlap,1465,-0.8249765165844154,-0.7460995515187578,0.04267692191913029,0.3023890784982935,-0.8209859652251887,-0.7127159436543771,0.03707771188746167,0.2860068259385666,-0.7375571688373316,-0.6190749804178868,0.03604709073338278,0.2860068259385666,0.003990551359226806,0.04156557718912776,0.04164659666051916,0.5119453924914675,-0.08741934774708388,-0.1382533311843872,0.04308870553600097,0.47303754266211606,-0.08342879638785708,-0.10054024060567221,0.03155333600313809,0.4546075085324232
VminusR,nonoverlap,1465,-1.6387984011926189,-1.331841031710307,0.05390932748673197,0.19726962457337885,-0.18256038195565896,-0.16157873471578021,0.03116395838682843,0.44641638225255975,-0.22429381623796366,-0.203611771265666,0.031152605489906643,0.4273037542662116,1.4562380192369602,1.1989963849385579,0.054709845771123665,0.7726962457337884,-1.4145045849546556,-1.1503867705663042,0.05551317709916918,0.24914675767918087,0.04173343428230471,0.08036756515502991,0.028714556614740757,0.5290102389078498
VSminusRS,nonoverlap,1465,-0.29642872340141224,-0.2548676331837969,0.033995912789161524,0.40546075085324235,-0.24541428165130985,-0.18196487426757812,0.02866360881425735,0.42457337883959045,-0.20470961013584224,-0.17534971237182617,0.028817983021242645,0.4225255972696246,0.05101444175010239,0.0652817885080984,0.03398179533714434,0.5215017064846417,-0.09171911326556999,-0.10346817970275879,0.03544945247890421,0.4641638225255973,-0.04070467151546758,-0.04893032709757472,0.026832182768724466,0.4764505119453925
