arm,checkpoint,seed,role2,probe_id,pair_id,token_class,neutral_nll,target_token_id,source_token_len,rewrite_token_len,source_words,rewrite_words
D_C_43022,chck_80M,43022,C,rewritecond:9:8:compact:fwcompact_medium_016698,compact:fwcompact_medium_016698,nonoverlap,6.21061897277832,4658,15,10,13,6
D_C_43022,chck_80M,43022,C,rewritecond:9:2:compact:fwcompact_medium_016698,compact:fwcompact_medium_016698,overlap,5.820591449737549,9930,15,10,13,6
D_C_43022,chck_80M,43022,C,rewritecond:9:6:compact:fwcompact_medium_016698,compact:fwcompact_medium_016698,overlap,6.480525970458984,3539,15,10,13,6
D_C_43022,chck_80M,43022,C,rewritecond:10:11:compact:fwcompact_medium_018372,compact:fwcompact_medium_018372,nonoverlap,7.831896781921387,11619,19,19,13,13
D_C_43022,chck_80M,43022,C,rewritecond:10:13:compact:fwcompact_medium_018372,compact:fwcompact_medium_018372,nonoverlap,3.4602739810943604,1767,19,19,13,13
D_C_43022,chck_80M,43022,C,rewritecond:10:7:compact:fwcompact_medium_018372,compact:fwcompact_medium_018372,overlap,10.233838081359863,11337,19,19,13,13
D_C_43022,chck_80M,43022,C,rewritecond:10:17:compact:fwcompact_medium_018372,compact:fwcompact_medium_018372,overlap,2.9898109436035156,3604,19,19,13,13
D_C_43022,chck_80M,43022,C,rewritecond:11:11:compact:fwcompact_medium_003770,compact:fwcompact_medium_003770,nonoverlap,9.584968566894531,1558,21,16,15,9
D_C_43022,chck_80M,43022,C,rewritecond:11:12:compact:fwcompact_medium_003770,compact:fwcompact_medium_003770,nonoverlap,12.476031303405762,10807,21,16,15,9
D_C_43022,chck_80M,43022,C,rewritecond:11:0:compact:fwcompact_medium_003770,compact:fwcompact_medium_003770,overlap,9.757213592529297,4271,21,16,15,9
D_C_43022,chck_80M,43022,C,rewritecond:11:14:compact:fwcompact_medium_003770,compact:fwcompact_medium_003770,overlap,7.677810192108154,9986,21,16,15,9
D_C_43022,chck_80M,43022,C,rewritecond:12:0:compact:fwcompact_medium_045363,compact:fwcompact_medium_045363,nonoverlap,9.77130126953125,3804,33,17,27,14
D_C_43022,chck_80M,43022,C,rewritecond:12:12:compact:fwcompact_medium_045363,compact:fwcompact_medium_045363,nonoverlap,8.471826553344727,214,33,17,27,14
D_C_43022,chck_80M,43022,C,rewritecond:12:1:compact:fwcompact_medium_045363,compact:fwcompact_medium_045363,overlap,14.372065544128418,4448,33,17,27,14
D_C_43022,chck_80M,43022,C,rewritecond:12:15:compact:fwcompact_medium_045363,compact:fwcompact_medium_045363,overlap,6.513121128082275,9007,33,17,27,14
D_C_43022,chck_80M,43022,C,rewritecond:13:0:compact:fwcompact_medium_029453,compact:fwcompact_medium_029453,nonoverlap,9.738113403320312,5999,38,23,29,14
D_C_43022,chck_80M,43022,C,rewritecond:13:21:compact:fwcompact_medium_029453,compact:fwcompact_medium_029453,nonoverlap,8.49696159362793,1183,38,23,29,14
D_C_43022,chck_80M,43022,C,rewritecond:13:2:compact:fwcompact_medium_029453,compact:fwcompact_medium_029453,overlap,8.47977066040039,6141,38,23,29,14
D_C_43022,chck_80M,43022,C,rewritecond:13:19:compact:fwcompact_medium_029453,compact:fwcompact_medium_029453,overlap,7.815987586975098,2874,38,23,29,14
D_C_43022,chck_80M,43022,C,rewritecond:14:2:compact:fwcompact_medium_055603,compact:fwcompact_medium_055603,nonoverlap,13.696320533752441,12856,42,27,32,16
D_C_43022,chck_80M,43022,C,rewritecond:14:25:compact:fwcompact_medium_055603,compact:fwcompact_medium_055603,nonoverlap,8.491838455200195,1400,42,27,32,16
D_C_43022,chck_80M,43022,C,rewritecond:14:0:compact:fwcompact_medium_055603,compact:fwcompact_medium_055603,overlap,13.297589302062988,6558,42,27,32,16
D_C_43022,chck_80M,43022,C,rewritecond:14:22:compact:fwcompact_medium_055603,compact:fwcompact_medium_055603,overlap,13.111433982849121,3281,42,27,32,16
D_C_43022,chck_80M,43022,C,rewritecond:15:0:compact:fwcompact_medium_015561,compact:fwcompact_medium_015561,nonoverlap,8.453421592712402,12253,56,27,45,18
