role2,token_class,n_min,T,U,N,U_minus_T,T_minus_N,U_minus_N,N_minus_T,N_minus_U
C,nonoverlap,2732,7.0072837803692805,8.219192791840161,8.526468824675321,1.2119090114708804,-1.5191850443060426,-0.3072760328351624,1.5191850443060426,0.3072760328351624
C,overlap,3160,1.8430455576679534,8.144512986142743,8.346593955225696,6.30146742847479,-6.5035483975577435,-0.20208096908295392,6.5035483975577435,0.20208096908295392
R,nonoverlap,2732,7.455282021455264,7.915482463357968,8.291632665629285,0.4602004419027052,-0.8363506441740224,-0.3761502022713172,0.8363506441740224,0.3761502022713172
R,overlap,3160,1.7510962774559442,7.7846800911551455,8.064166195770747,6.0335838136992015,-6.3130699183148025,-0.27948610461560147,6.3130699183148025,0.27948610461560147
RS,nonoverlap,2732,6.460353810010692,7.640990414932595,7.98891963554433,1.1806366049219037,-1.5285658255336385,-0.347929220611735,1.5285658255336385,0.347929220611735
RS,overlap,3160,1.8879502352551587,7.4125318249430165,7.712394850875422,5.524581589687858,-5.824444615620263,-0.29986302593240577,5.824444615620263,0.29986302593240577
V,nonoverlap,2732,5.828527161992656,7.724125199662324,8.059235250828115,1.8955980376696682,-2.2307080888354593,-0.33511005116579123,2.2307080888354593,0.33511005116579123
V,overlap,3160,0.9068321980556676,7.759528937121609,8.023559818585907,6.852696739065942,-7.116727620530239,-0.26403088146429665,7.116727620530239,0.26403088146429665
VS,nonoverlap,2732,6.1555131896776905,7.397230043326876,7.790439797918961,1.241716853649187,-1.634926608241272,-0.39320975459208496,1.634926608241272,0.39320975459208496
VS,overlap,3160,1.739551330792837,7.392604213808801,7.631715323379409,5.653052883015963,-5.892163992586572,-0.23911110957060797,5.892163992586572,0.23911110957060797
