contrast,token_class,n_min,delta_T,delta_U,delta_N,delta_U_minus_T,delta_T_minus_N,delta_U_minus_N,delta_N_minus_T,delta_N_minus_U
RminusRS,nonoverlap,2732,0.9949282114445719,0.27449204842537256,0.30271303008495476,-0.7204361630191984,0.6922151813596161,-0.0282209816595822,-0.6922151813596161,0.0282209816595822
VminusVS,nonoverlap,2732,-0.3269860276850345,0.3268951563354481,0.26879545290915363,0.6538811840204812,-0.5957814805941875,0.058099703426293725,0.5957814805941875,-0.058099703426293725
RminusC,nonoverlap,2732,0.4479982410859833,-0.30371032848219315,-0.23483615904603639,-0.7517085695681751,0.6828344001320202,-0.06887416943615476,-0.6828344001320202,0.06887416943615476
RSminusC,nonoverlap,2732,-0.5469299703585886,-0.5782023769075657,-0.5375491891309911,-0.03127240654897667,-0.009380781227595891,-0.040653187776572564,0.009380781227595891,0.040653187776572564
VminusC,nonoverlap,2732,-1.1787566183766245,-0.49506759217783713,-0.46723357384720643,0.6836890261987878,-0.7115230445294167,-0.027834018330628818,0.7115230445294167,0.027834018330628818
VSminusC,nonoverlap,2732,-0.85177059069159,-0.8219627485132852,-0.7360290267563601,0.029807842178306565,-0.11574156393522927,-0.08593372175692254,0.11574156393522927,0.08593372175692254
VminusR,nonoverlap,2732,-1.6267548594626078,-0.191357263695644,-0.23239741480117004,1.435397595766963,-1.3943574446614369,0.041040151105525946,1.3943574446614369,-0.041040151105525946
VSminusRS,nonoverlap,2732,-0.3048406203330014,-0.2437603716057195,-0.19847983762536892,0.06108024872728324,-0.10636078270763338,-0.04528053398034998,0.10636078270763338,0.04528053398034998
RminusRS,overlap,3160,-0.1368539577992145,0.37214826621212893,0.351771344895325,0.5090022240113434,-0.4886253026945395,0.020376921316804297,0.4886253026945395,-0.020376921316804297
VminusVS,overlap,3160,-0.8327191327371694,0.3669247233128079,0.3918444952064979,1.1996438560499785,-1.2245636279436667,-0.024919771893688686,1.2245636279436667,0.024919771893688686
RminusC,overlap,3160,-0.09194928021200921,-0.35983289498759774,-0.2824277594549489,-0.2678836147755881,0.19047847924294103,-0.07740513553264755,-0.19047847924294103,0.07740513553264755
RSminusC,overlap,3160,0.04490467758720529,-0.7319811611997267,-0.6341991043502739,-0.7768858387869315,0.6791037819374806,-0.09778205684945185,-0.6791037819374806,0.09778205684945185
VminusC,overlap,3160,-0.9362133596122858,-0.38498404902113403,-0.3230341366397891,0.5512293105911521,-0.6131792229724953,-0.06194991238134273,0.6131792229724953,0.06194991238134273
VSminusC,overlap,3160,-0.10349422687511645,-0.7519087723339419,-0.714878631846287,-0.6484145454588264,0.6113844049711714,-0.037030140487654045,-0.6113844049711714,0.037030140487654045
VminusR,overlap,3160,-0.8442640794002766,-0.025151154033536294,-0.04060637718484017,0.8191129253667402,-0.8036577022154363,0.01545522315130482,0.8036577022154363,-0.01545522315130482
VSminusRS,overlap,3160,-0.14839890446232173,-0.019927611134215262,-0.08067952749601304,0.12847129332810514,-0.06771937696630914,0.0607519163617978,0.06771937696630914,-0.0607519163617978
