tokenizer,length,raw_tokens_per_word,prefix_hidden_word_fraction,prefix_active_tokens_per_epoch,faithful_active_tokens_per_epoch,target_token_ratio,prefix_steps_per_epoch,faithful_steps_per_epoch,step_ratio,faithful_chunks_per_epoch,inverse_scaled_row_batch,faithful_words_charged_per_epoch,overlong_words
legal40k,64,1.3942644,0.6935292,4143297,13942644,3.3651085114101162,253,247,0.9762845849802372,252269,1024,10000000,1
legal40k,128,1.3942644,0.3916658,8272692,13942644,1.6853817354737732,253,275,1.0869565217391304,140303,512,10000000,0
legal40k,256,1.3942644,0.0128664,13706162,13942644,1.0172536994674366,253,298,1.1778656126482214,76164,256,10000000,0
minfreq25,64,1.4138512,0.6977705,4143302,14138512,3.4123778570811396,253,250,0.9881422924901185,255774,1024,10000000,1
minfreq25,128,1.4138512,0.4002599,8274284,14138512,1.7087293595433757,253,277,1.0948616600790513,141373,512,10000000,0
minfreq25,256,1.4138512,0.0144873,13871340,14138512,1.0192607203053201,253,302,1.1936758893280632,77092,256,10000000,0
