column,subtask,subgroup,group_level,group_id,n_items,rise_gains,rise_losses,rise_unchanged,rise_net,rise_net_pct,rise_gain_pct,rise_loss_pct,rise_churn_pct,fall_gains,fall_losses,fall_unchanged,fall_net,fall_net_pct,fall_gain_pct,fall_loss_pct,fall_churn_pct
BLiMP,existential_there_quantifiers_2,quantifiers,column+subtask+subgroup,BLiMP||existential_there_quantifiers_2||quantifiers,911,2,73,836,-71,-7.793633369923161,0.21953896816684962,8.01317233809001,8.232711306256862,27,10,874,17,1.8660812294182216,2.96377607025247,1.0976948408342482,4.061470911086718
BLiMP,superlative_quantifiers_2,quantifiers,column+subtask+subgroup,BLiMP||superlative_quantifiers_2||quantifiers,986,19,67,900,-48,-4.86815415821501,1.9269776876267748,6.7951318458417855,8.72210953346856,15,10,961,5,0.5070993914807302,1.5212981744421907,1.0141987829614605,2.535496957403651
BLiMP,superlative_quantifiers_1,quantifiers,column+subtask+subgroup,BLiMP||superlative_quantifiers_1||quantifiers,979,45,3,931,42,4.290091930541369,4.59652706843718,0.30643513789581206,4.902962206332993,12,13,954,-1,-0.10214504596527069,1.2257405515832482,1.3278855975485189,2.5536261491317673
BLiMP,wh_island,island_effects,column+subtask+subgroup,BLiMP||wh_island||island_effects,960,42,9,909,33,3.4375000000000004,4.375,0.9375,5.3125,23,11,926,12,1.25,2.3958333333333335,1.1458333333333333,3.5416666666666665
BLiMP,only_npi_scope,npi_licensing,column+subtask+subgroup,BLiMP||only_npi_scope||npi_licensing,837,34,6,797,28,3.345280764635603,4.062126642771804,0.7168458781362007,4.778972520908005,20,8,809,12,1.4336917562724014,2.3894862604540026,0.955794504181601,3.345280764635603
BLiMP,wh_questions_object_gap,filler_gap_dependency,column+subtask+subgroup,BLiMP||wh_questions_object_gap||filler_gap_dependency,859,25,7,827,18,2.0954598370197903,2.910360884749709,0.8149010477299184,3.7252619324796274,1,25,833,-24,-2.7939464493597206,0.11641443538998836,2.910360884749709,3.026775320139697
BLiMP,only_npi_licensor_present,npi_licensing,column+subtask+subgroup,BLiMP||only_npi_licensor_present||npi_licensing,882,27,29,826,-2,-0.22675736961451248,3.061224489795918,3.2879818594104306,6.349206349206349,32,8,842,24,2.7210884353741496,3.6281179138321997,0.9070294784580499,4.535147392290249
BLiMP,principle_A_reconstruction,binding,column+subtask+subgroup,BLiMP||principle_A_reconstruction||binding,967,39,13,915,26,2.688728024819028,4.033092037228542,1.344364012409514,5.377456049638056,11,20,936,-9,-0.9307135470527405,1.1375387797311272,2.0682523267838677,3.205791106514995
BLiMP,principle_A_domain_1,binding,column+subtask+subgroup,BLiMP||principle_A_domain_1||binding,914,28,4,882,24,2.62582056892779,3.063457330415755,0.437636761487965,3.50109409190372,18,12,884,6,0.6564551422319475,1.9693654266958425,1.312910284463895,3.282275711159737
BLiMP,causative,argument_structure,column+subtask+subgroup,BLiMP||causative||argument_structure,818,24,3,791,21,2.567237163814181,2.93398533007335,0.36674816625916873,3.3007334963325183,8,12,798,-4,-0.4889975550122249,0.9779951100244498,1.466992665036675,2.444987775061125
