domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.504524886877828,808,0.36561085972850677,0.7378995433789954,1095,0.019201727176550776
social-relations,1548,0.501937984496124,510,0.32945736434108525,0.6614785992217899,771,0.03598123788833618
physical-relations,818,0.4938875305623472,307,0.3753056234718826,0.7415458937198067,414,-0.07463004428427666
material-dynamics,770,0.4857142857142857,266,0.34545454545454546,0.6717171717171717,396,-0.07636046409606934
spatial-relations,490,0.463265306122449,212,0.4326530612244898,0.8060836501901141,263,-0.27735732682049274
physical-interactions,556,0.5089928057553957,181,0.3255395683453237,0.663003663003663,273,0.19196400220971555
quantitative-properties,314,0.5,90,0.28662420382165604,0.5732484076433121,157,0.17440789192914963
social-properties,328,0.5152439024390244,89,0.27134146341463417,0.559748427672956,159,0.22953763604164124
social-interactions,294,0.5612244897959183,74,0.25170068027210885,0.5736434108527132,129,0.5551112098619342
physical-dynamics,120,0.425,67,0.5583333333333333,0.9710144927536232,69,-1.5376672463025898
material-properties,170,0.5588235294117647,29,0.17058823529411765,0.38666666666666666,75,0.6062812274321914
