domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.5140271493212669,784,0.3547511312217195,0.7299813780260708,1074,0.0637703905813396
social-relations,1548,0.4935400516795866,538,0.3475452196382429,0.6862244897959183,784,-0.026965796947479248
material-dynamics,770,0.38961038961038963,364,0.4727272727272727,0.774468085106383,470,-0.670648455619812
physical-relations,818,0.4731051344743276,323,0.39486552567237165,0.7494199535962877,431,-0.11119538266211748
spatial-relations,490,0.47346938775510206,201,0.41020408163265304,0.7790697674418605,258,-0.0267971009016037
physical-interactions,556,0.5,197,0.35431654676258995,0.7086330935251799,278,0.062484944239258766
quantitative-properties,314,0.5222929936305732,87,0.2770700636942675,0.58,150,0.23305317014455795
social-properties,328,0.5914634146341463,79,0.24085365853658536,0.5895522388059702,134,0.23129679448902607
social-interactions,294,0.5544217687074829,75,0.25510204081632654,0.5725190839694656,131,0.30328678898513317
physical-dynamics,120,0.43333333333333335,49,0.4083333333333333,0.7205882352941176,68,-0.37542828917503357
material-properties,170,0.6176470588235294,22,0.12941176470588237,0.3384615384615385,65,1.2755537331104279
