arm_key,contrast_group,model_family,seed,data_role,checkpoint,predictions,group,numops_group,split_group,official_style_18_subtask_mean_pp,micro_accuracy_pp,micro_n,subtask_count,zero_subtask_weight_in_official,nonzero_subtask_weight_in_official,macro_score_pp,n_scored,pred_option0_frac_micro,pred_not_in_options_frac_micro
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_80M/Entity/chck_80M/full_dose_max_view_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,all_18_subtasks,all,all,27.983992384550877,27.743362831858406,6780,18,0.16666666666666666,0.8333333333333334,,,,
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_80M/Entity/chck_80M/full_dose_max_view_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,numops_0,0,all,,38.61129136924075,,3,,,38.55987318080224,1541,0.3861129136924075,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_80M/Entity/chck_80M/full_dose_max_view_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,numops_1,1,all,,14.678178963893249,,3,,,14.660607418856017,1274,0.14678178963893249,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_80M/Entity/chck_80M/full_dose_max_view_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,numops_2,2,all,,22.67871815940838,,3,,,22.65297057248688,1217,0.22678718159408381,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_80M/Entity/chck_80M/full_dose_max_view_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,numops_3,3,all,,26.451612903225808,,3,,,26.447185500960355,1240,0.2645161290322581,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_80M/Entity/chck_80M/full_dose_max_view_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,numops_4,4,all,,32.680851063829785,,3,,,32.35784854898802,1175,0.32680851063829786,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_80M/Entity/chck_80M/full_dose_max_view_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,numops_5,5,all,,33.333333333333336,,3,,,33.22546908521176,333,0.3333333333333333,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_80M/Entity/chck_80M/full_dose_max_view_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,zero_ops,zero,all,,38.61129136924075,,3,,,38.55987318080224,1541,0.3861129136924075,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_80M/Entity/chck_80M/full_dose_max_view_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,nonzero_ops,nonzero,all,,24.546669211681618,,15,,,25.868816225300602,5239,0.24546669211681618,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_80M/Entity/chck_80M/full_dose_max_view_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,split_ambiref,all,ambiref,,27.127429805615552,,6,,,27.485147131447732,2315,0.2712742980561555,0.0
