contrast_name,window,quantity,n,mean,median,min,max
deberta_basin1,late_80_90_100M,official_all18_delta_pp,3,4.017529589322997,3.8905262254521205,3.6608758459886452,4.501186696528226
deberta_basin1,late_80_90_100M,zero_ops_delta_pp,3,-9.660924748372684,-9.569413979116042,-10.413794031672445,-8.999566234329563
deberta_basin1,late_80_90_100M,nonzero_ops_delta_pp,3,6.753220456862137,6.582514266365756,6.475809821520869,7.201337282699786
deberta_basin1,late_80_90_100M,balanced_zero_nonzero_delta_pp,3,-1.4538521457552733,-1.4934498563751433,-1.9689921050757881,-0.8991144758148888
deberta_basin1,late_80_90_100M,nonzero_minus_zero_spread_pp,3,16.41414520523482,16.20090351702935,16.1519282454818,16.889603853193314
deberta_basin2,late_80_90_100M,official_all18_delta_pp,3,2.539226168732012,2.6947085584023505,2.2004992977061626,2.722470650087523
deberta_basin2,late_80_90_100M,zero_ops_delta_pp,3,-9.115254461364401,-8.659791980592864,-10.090154152889134,-8.595817250611205
deberta_basin2,late_80_90_100M,nonzero_ops_delta_pp,3,4.870122294751293,4.998923176223595,4.359762607369639,5.251681100660644
deberta_basin2,late_80_90_100M,balanced_zero_nonzero_delta_pp,3,-2.122566083306554,-2.118027321620783,-2.4192365261142452,-1.8304344021846344
deberta_basin2,late_80_90_100M,nonzero_minus_zero_spread_pp,3,13.985376756115693,13.65871515681646,12.955579857980844,15.341835253549778
deberta_breadth_minus_repeat,late_80_90_100M,official_all18_delta_pp,3,1.0234178269613612,1.0904309740265212,0.5799830811307096,1.399839425726853
deberta_breadth_minus_repeat,late_80_90_100M,zero_ops_delta_pp,3,-13.037177742613187,-13.27146643217661,-13.663132590185931,-12.176934205477018
deberta_breadth_minus_repeat,late_80_90_100M,nonzero_ops_delta_pp,3,3.835536940876272,3.962810455267146,3.428606215394037,4.115194151967632
deberta_breadth_minus_repeat,late_80_90_100M,balanced_zero_nonzero_delta_pp,3,-4.600820400868457,-4.654327988454732,-5.117263187395947,-4.030870026754693
deberta_breadth_minus_repeat,late_80_90_100M,nonzero_minus_zero_spread_pp,3,16.87271468348946,17.09173880557997,16.29212835744465,17.234276887443755
deberta_view_minus_breadth,late_80_90_100M,official_all18_delta_pp,3,2.994111762361636,3.0808927648579356,2.8000952514255992,3.101347270801373
deberta_view_minus_breadth,late_80_90_100M,zero_ops_delta_pp,3,3.3762529942405024,3.249338558513486,3.1773679711474543,3.702052453060567
deberta_view_minus_breadth,late_80_90_100M,nonzero_ops_delta_pp,3,2.9176835159858654,3.047203606126832,2.61970381109861,3.086143130732154
deberta_view_minus_breadth,late_80_90_100M,balanced_zero_nonzero_delta_pp,3,3.1469682551131837,3.148271082320159,3.131755550939804,3.1608781320795885
deberta_view_minus_breadth,late_80_90_100M,nonzero_minus_zero_spread_pp,3,-0.4585694782546372,-0.20213495238665402,-1.082348641961957,-0.09122484041530043
roberta_max,late_80_90_100M,official_all18_delta_pp,3,0.25868901678346745,0.2768495930408825,-0.01350052023952486,0.5127179775490447
roberta_max,late_80_90_100M,zero_ops_delta_pp,3,-0.04630880775846732,-0.005943518451942964,-0.45942482640616866,0.3264419215827097
roberta_max,late_80_90_100M,nonzero_ops_delta_pp,3,0.3196885816918531,0.3334082153394462,0.07568434099380283,0.5499731887423103
roberta_max,late_80_90_100M,balanced_zero_nonzero_delta_pp,3,0.1366898869666929,0.16373234844375162,-0.19187024270618291,0.43820755516251
roberta_max,late_80_90_100M,nonzero_minus_zero_spread_pp,3,0.3659973894503204,0.33935173379138917,0.2235312671596006,0.5351091673999715
