contrast_name,checkpoint,official_all18_delta_pp,zero_ops_delta_pp,nonzero_ops_delta_pp,official_reconstructed_from_zero_nonzero_pp,balanced_zero_nonzero_delta_pp,nonzero_minus_zero_spread_pp,zero_official_weight,nonzero_official_weight
deberta_basin1,chck_100M,3.8905262254521205,-9.569413979116042,6.582514266365756,3.890526225452123,-1.4934498563751433,16.1519282454818,0.16666666666666666,0.8333333333333334
deberta_basin1,chck_80M,4.501186696528226,-8.999566234329563,7.201337282699786,4.501186696528229,-0.8991144758148888,16.20090351702935,0.16666666666666666,0.8333333333333334
deberta_basin1,chck_90M,3.6608758459886452,-10.413794031672445,6.475809821520869,3.6608758459886506,-1.9689921050757881,16.889603853193314,0.16666666666666666,0.8333333333333334
deberta_basin2,chck_100M,2.2004992977061626,-8.595817250611205,4.359762607369639,2.2004992977061653,-2.118027321620783,12.955579857980844,0.16666666666666666,0.8333333333333334
deberta_basin2,chck_80M,2.6947085584023505,-10.090154152889134,5.251681100660644,2.6947085584023482,-2.4192365261142452,15.341835253549778,0.16666666666666666,0.8333333333333334
deberta_basin2,chck_90M,2.722470650087523,-8.659791980592864,4.998923176223595,2.722470650087519,-1.8304344021846344,13.65871515681646,0.16666666666666666,0.8333333333333334
deberta_breadth_minus_repeat,chck_100M,1.0904309740265212,-13.27146643217661,3.962810455267146,1.0904309740265203,-4.654327988454732,17.234276887443755,0.16666666666666666,0.8333333333333334
deberta_breadth_minus_repeat,chck_80M,1.399839425726853,-12.176934205477018,4.115194151967632,1.3998394257268574,-4.030870026754693,16.29212835744465,0.16666666666666666,0.8333333333333334
deberta_breadth_minus_repeat,chck_90M,0.5799830811307096,-13.663132590185931,3.428606215394037,0.5799830811307092,-5.117263187395947,17.09173880557997,0.16666666666666666,0.8333333333333334
deberta_view_minus_breadth,chck_100M,2.8000952514255992,3.702052453060567,2.61970381109861,2.800095251425603,3.1608781320795885,-1.082348641961957,0.16666666666666666,0.8333333333333334
deberta_view_minus_breadth,chck_80M,3.101347270801373,3.1773679711474543,3.086143130732154,3.1013472708013707,3.131755550939804,-0.09122484041530043,0.16666666666666666,0.8333333333333334
deberta_view_minus_breadth,chck_90M,3.0808927648579356,3.249338558513486,3.047203606126832,3.080892764857941,3.148271082320159,-0.20213495238665402,0.16666666666666666,0.8333333333333334
roberta_max,chck_100M,0.2768495930408825,-0.005943518451942964,0.3334082153394462,0.27684959304088136,0.16373234844375162,0.33935173379138917,0.16666666666666666,0.8333333333333334
roberta_max,chck_80M,0.5127179775490447,0.3264419215827097,0.5499731887423103,0.5127179775490436,0.43820755516251,0.2235312671596006,0.16666666666666666,0.8333333333333334
roberta_max,chck_90M,-0.01350052023952486,-0.45942482640616866,0.07568434099380283,-0.013500520239525735,-0.19187024270618291,0.5351091673999715,0.16666666666666666,0.8333333333333334
