seed,checkpoint,group,contrast,n,delta_accuracy_pct_a_minus_b,acc_a,acc_b,mean_reported_numops,mean_relevant_updates,mean_total_ops,mean_prefix_words,delta_stale_wrong_pct_a_minus_b,stale_wrong_a,stale_wrong_b
43022,chck_80M,ALL,VminusC,6780,3.0235988200589965,27.743362831858406,24.71976401179941,2.0343657817109144,1.9960176991150442,7.359587020648967,120.59041297935103,-4.404900337103726,37.175141242937855,41.58004158004158
43022,chck_80M,ALL,VminusR,6780,3.038348082595867,27.743362831858406,24.70501474926254,2.0343657817109144,1.9960176991150442,7.359587020648967,120.59041297935103,-9.761617650342778,37.175141242937855,46.93675889328063
43022,chck_80M,ALL,CminusR,6780,0.014749262536870589,24.71976401179941,24.70501474926254,2.0343657817109144,1.9960176991150442,7.359587020648967,120.59041297935103,-5.356717313239052,41.58004158004158,46.93675889328063
43022,chck_80M,ALL,RminusC,6780,-0.014749262536870589,24.70501474926254,24.71976401179941,2.0343657817109144,1.9960176991150442,7.359587020648967,120.59041297935103,5.356717313239052,46.93675889328063,41.58004158004158
43022,chck_80M,ALL,RminusV,6780,-3.038348082595867,24.70501474926254,27.743362831858406,2.0343657817109144,1.9960176991150442,7.359587020648967,120.59041297935103,9.761617650342778,46.93675889328063,37.175141242937855
43022,chck_80M,prefix_tokens_q1,VminusC,1725,1.1594202898550705,31.652173913043477,30.492753623188406,0.567536231884058,0.5628985507246377,2.2828985507246378,76.74202898550725,7.083747103608076,50.943396226415096,43.85964912280702
43022,chck_80M,prefix_tokens_q1,VminusR,1725,-1.9130434782608745,31.652173913043477,33.56521739130435,0.567536231884058,0.5628985507246377,2.2828985507246378,76.74202898550725,-7.6772934287573165,50.943396226415096,58.62068965517241
43022,chck_80M,prefix_tokens_q1,CminusR,1725,-3.072463768115945,30.492753623188406,33.56521739130435,0.567536231884058,0.5628985507246377,2.2828985507246378,76.74202898550725,-14.761040532365392,43.85964912280702,58.62068965517241
43022,chck_80M,prefix_tokens_q1,RminusC,1725,3.072463768115945,33.56521739130435,30.492753623188406,0.567536231884058,0.5628985507246377,2.2828985507246378,76.74202898550725,14.761040532365392,58.62068965517241,43.85964912280702
43022,chck_80M,prefix_tokens_q1,RminusV,1725,1.9130434782608745,33.56521739130435,31.652173913043477,0.567536231884058,0.5628985507246377,2.2828985507246378,76.74202898550725,7.6772934287573165,58.62068965517241,50.943396226415096
43022,chck_80M,prefix_tokens_q2,VminusC,1678,3.0393325387365913,25.804529201430274,22.765196662693683,1.867103694874851,1.834326579261025,6.5929678188319425,111.78903456495829,-1.4783023366714403,44.44444444444444,45.92274678111588
43022,chck_80M,prefix_tokens_q2,VminusR,1678,3.3373063170440993,25.804529201430274,22.467222884386175,1.867103694874851,1.834326579261025,6.5929678188319425,111.78903456495829,-7.407407407407412,44.44444444444444,51.851851851851855
43022,chck_80M,prefix_tokens_q2,CminusR,1678,0.29797377830750804,22.765196662693683,22.467222884386175,1.867103694874851,1.834326579261025,6.5929678188319425,111.78903456495829,-5.929105070735972,45.92274678111588,51.851851851851855
43022,chck_80M,prefix_tokens_q2,RminusC,1678,-0.29797377830750804,22.467222884386175,22.765196662693683,1.867103694874851,1.834326579261025,6.5929678188319425,111.78903456495829,5.929105070735972,51.851851851851855,45.92274678111588
43022,chck_80M,prefix_tokens_q2,RminusV,1678,-3.3373063170440993,22.467222884386175,25.804529201430274,1.867103694874851,1.834326579261025,6.5929678188319425,111.78903456495829,7.407407407407412,51.851851851851855,44.44444444444444
43022,chck_80M,prefix_tokens_q3,VminusC,1691,2.897693672383202,25.960969840331163,23.06327616794796,2.6818450620934358,2.6132465996451804,9.5204021289178,135.0266114725015,-7.065318528627259,34.04255319148936,41.10787172011662
43022,chck_80M,prefix_tokens_q3,VminusR,1691,4.730928444707271,25.960969840331163,21.230041395623893,2.6818450620934358,2.6132465996451804,9.5204021289178,135.0266114725015,-14.34454358270419,34.04255319148936,48.38709677419355
43022,chck_80M,prefix_tokens_q3,CminusR,1691,1.8332347723240687,23.06327616794796,21.230041395623893,2.6818450620934358,2.6132465996451804,9.5204021289178,135.0266114725015,-7.279225054076932,41.10787172011662,48.38709677419355
43022,chck_80M,prefix_tokens_q3,RminusC,1691,-1.8332347723240687,21.230041395623893,23.06327616794796,2.6818450620934358,2.6132465996451804,9.5204021289178,135.0266114725015,7.279225054076932,48.38709677419355,41.10787172011662
43022,chck_80M,prefix_tokens_q3,RminusV,1691,-4.730928444707271,21.230041395623893,25.960969840331163,2.6818450620934358,2.6132465996451804,9.5204021289178,135.0266114725015,14.34454358270419,48.38709677419355,34.04255319148936
43022,chck_80M,prefix_tokens_q4,VminusC,1686,5.041518386714117,27.461447212336893,22.419928825622776,3.052194543297746,3.0041518386714117,11.149466192170818,159.73368920521946,-5.849210467788566,32.75261324041812,38.60182370820669
43022,chck_80M,prefix_tokens_q4,VminusR,1686,6.109134045077106,27.461447212336893,21.352313167259787,3.052194543297746,3.0041518386714117,11.149466192170818,159.73368920521946,-7.070395609139403,32.75261324041812,39.823008849557525
43022,chck_80M,prefix_tokens_q4,CminusR,1686,1.067615658362989,22.419928825622776,21.352313167259787,3.052194543297746,3.0041518386714117,11.149466192170818,159.73368920521946,-1.221185141350837,38.60182370820669,39.823008849557525
43022,chck_80M,prefix_tokens_q4,RminusC,1686,-1.067615658362989,21.352313167259787,22.419928825622776,3.052194543297746,3.0041518386714117,11.149466192170818,159.73368920521946,1.221185141350837,39.823008849557525,38.60182370820669
43022,chck_80M,prefix_tokens_q4,RminusV,1686,-6.109134045077106,21.352313167259787,27.461447212336893,3.052194543297746,3.0041518386714117,11.149466192170818,159.73368920521946,7.070395609139403,39.823008849557525,32.75261324041812
43022,chck_80M,prefix_words_q1,VminusC,1712,1.2850467289719631,31.71728971962617,30.432242990654206,0.5870327102803738,0.5817757009345794,2.380257009345794,76.46203271028037,4.975553638193844,50.87719298245614,45.90163934426229
43022,chck_80M,prefix_words_q1,VminusR,1712,-2.394859813084114,31.71728971962617,34.11214953271028,0.5870327102803738,0.5817757009345794,2.380257009345794,76.46203271028037,-12.026032823995479,50.87719298245614,62.903225806451616
43022,chck_80M,prefix_words_q1,CminusR,1712,-3.6799065420560773,30.432242990654206,34.11214953271028,0.5870327102803738,0.5817757009345794,2.380257009345794,76.46203271028037,-17.001586462189323,45.90163934426229,62.903225806451616
43022,chck_80M,prefix_words_q1,RminusC,1712,3.6799065420560773,34.11214953271028,30.432242990654206,0.5870327102803738,0.5817757009345794,2.380257009345794,76.46203271028037,17.001586462189323,62.903225806451616,45.90163934426229
43022,chck_80M,prefix_words_q1,RminusV,1712,2.394859813084114,34.11214953271028,31.71728971962617,0.5870327102803738,0.5817757009345794,2.380257009345794,76.46203271028037,12.026032823995479,62.903225806451616,50.87719298245614
43022,chck_80M,prefix_words_q2,VminusC,1687,3.1416716064019,25.607587433313576,22.465915826911676,1.896265560165975,1.8577356253704802,6.638411381149971,111.58091286307054,-1.2308998302207144,44.73684210526316,45.96774193548387
43022,chck_80M,prefix_words_q2,VminusR,1687,3.9122703023117964,25.607587433313576,21.69531713100178,1.896265560165975,1.8577356253704802,6.638411381149971,111.58091286307054,-5.8513931888544874,44.73684210526316,50.588235294117645
43022,chck_80M,prefix_words_q2,CminusR,1687,0.7705986959098965,22.465915826911676,21.69531713100178,1.896265560165975,1.8577356253704802,6.638411381149971,111.58091286307054,-4.620493358633773,45.96774193548387,50.588235294117645
43022,chck_80M,prefix_words_q2,RminusC,1687,-0.7705986959098965,21.69531713100178,22.465915826911676,1.896265560165975,1.8577356253704802,6.638411381149971,111.58091286307054,4.620493358633773,50.588235294117645,45.96774193548387
43022,chck_80M,prefix_words_q2,RminusV,1687,-3.9122703023117964,21.69531713100178,25.607587433313576,1.896265560165975,1.8577356253704802,6.638411381149971,111.58091286307054,5.8513931888544874,50.588235294117645,44.73684210526316
43022,chck_80M,prefix_words_q3,VminusC,1729,3.585887796414113,26.66281087333719,23.076923076923077,2.6558704453441297,2.585887796414112,9.541353383458647,135.18102949681898,-4.983593900791348,34.71337579617835,39.696969696969695
43022,chck_80M,prefix_words_q3,VminusR,1729,5.494505494505496,26.66281087333719,21.168305378831693,2.6558704453441297,2.585887796414112,9.541353383458647,135.18102949681898,-12.800436358517786,34.71337579617835,47.51381215469613
43022,chck_80M,prefix_words_q3,CminusR,1729,1.9086176980913834,23.076923076923077,21.168305378831693,2.6558704453441297,2.585887796414112,9.541353383458647,135.18102949681898,-7.8168424577264375,39.696969696969695,47.51381215469613
43022,chck_80M,prefix_words_q3,RminusC,1729,-1.9086176980913834,21.168305378831693,23.076923076923077,2.6558704453441297,2.585887796414112,9.541353383458647,135.18102949681898,7.8168424577264375,47.51381215469613,39.696969696969695
43022,chck_80M,prefix_words_q3,RminusV,1729,-5.494505494505496,21.168305378831693,26.66281087333719,2.6558704453441297,2.585887796414112,9.541353383458647,135.18102949681898,12.800436358517786,47.51381215469613,34.71337579617835
43022,chck_80M,prefix_words_q4,VminusC,1652,4.116222760290555,26.937046004842614,22.82082324455206,3.024818401937046,2.9854721549636802,10.9727602905569,160.25121065375302,-8.200004330035291,31.11888111888112,39.31888544891641
43022,chck_80M,prefix_words_q4,VminusR,1652,5.205811138014528,26.937046004842614,21.731234866828085,3.024818401937046,2.9854721549636802,10.9727602905569,160.25121065375302,-9.42165942165942,31.11888111888112,40.54054054054054
43022,chck_80M,prefix_words_q4,CminusR,1652,1.0895883777239739,22.82082324455206,21.731234866828085,3.024818401937046,2.9854721549636802,10.9727602905569,160.25121065375302,-1.2216550916241289,39.31888544891641,40.54054054054054
43022,chck_80M,prefix_words_q4,RminusC,1652,-1.0895883777239739,21.731234866828085,22.82082324455206,3.024818401937046,2.9854721549636802,10.9727602905569,160.25121065375302,1.2216550916241289,40.54054054054054,39.31888544891641
43022,chck_80M,prefix_words_q4,RminusV,1652,-5.205811138014528,21.731234866828085,26.937046004842614,3.024818401937046,2.9854721549636802,10.9727602905569,160.25121065375302,9.42165942165942,40.54054054054054,31.11888111888112
43022,chck_80M,rel0_prefix_words_q1,VminusC,1040,1.0576923076923066,41.53846153846154,40.48076923076923,0.0,0.0,1.6817307692307693,72.48461538461538,nan,nan,nan
43022,chck_80M,rel0_prefix_words_q1,VminusR,1040,-6.442307692307693,41.53846153846154,47.98076923076923,0.0,0.0,1.6817307692307693,72.48461538461538,nan,nan,nan
43022,chck_80M,rel0_prefix_words_q1,CminusR,1040,-7.5,40.48076923076923,47.98076923076923,0.0,0.0,1.6817307692307693,72.48461538461538,nan,nan,nan
43022,chck_80M,rel0_prefix_words_q1,RminusC,1040,7.5,47.98076923076923,40.48076923076923,0.0,0.0,1.6817307692307693,72.48461538461538,nan,nan,nan
43022,chck_80M,rel0_prefix_words_q1,RminusV,1040,6.442307692307693,47.98076923076923,41.53846153846154,0.0,0.0,1.6817307692307693,72.48461538461538,nan,nan,nan
43022,chck_80M,rel0_prefix_words_q2,VminusC,299,-4.682274247491634,33.11036789297659,37.792642140468224,0.0,0.0,5.34113712374582,108.62541806020067,nan,nan,nan
43022,chck_80M,rel0_prefix_words_q2,VminusR,299,-15.050167224080269,33.11036789297659,48.16053511705686,0.0,0.0,5.34113712374582,108.62541806020067,nan,nan,nan
43022,chck_80M,rel0_prefix_words_q2,CminusR,299,-10.367892976588635,37.792642140468224,48.16053511705686,0.0,0.0,5.34113712374582,108.62541806020067,nan,nan,nan
43022,chck_80M,rel0_prefix_words_q2,RminusC,299,10.367892976588635,48.16053511705686,37.792642140468224,0.0,0.0,5.34113712374582,108.62541806020067,nan,nan,nan
43022,chck_80M,rel0_prefix_words_q2,RminusV,299,15.050167224080269,48.16053511705686,33.11036789297659,0.0,0.0,5.34113712374582,108.62541806020067,nan,nan,nan
43022,chck_80M,rel0_prefix_words_q3,VminusC,131,-3.81679389312977,32.06106870229008,35.87786259541985,0.0,0.0,8.65648854961832,134.22137404580153,nan,nan,nan
43022,chck_80M,rel0_prefix_words_q3,VminusR,131,-17.557251908396942,32.06106870229008,49.61832061068702,0.0,0.0,8.65648854961832,134.22137404580153,nan,nan,nan
43022,chck_80M,rel0_prefix_words_q3,CminusR,131,-13.740458015267173,35.87786259541985,49.61832061068702,0.0,0.0,8.65648854961832,134.22137404580153,nan,nan,nan
43022,chck_80M,rel0_prefix_words_q3,RminusC,131,13.740458015267173,49.61832061068702,35.87786259541985,0.0,0.0,8.65648854961832,134.22137404580153,nan,nan,nan
43022,chck_80M,rel0_prefix_words_q3,RminusV,131,17.557251908396942,49.61832061068702,32.06106870229008,0.0,0.0,8.65648854961832,134.22137404580153,nan,nan,nan
43022,chck_80M,rel0_prefix_words_q4,VminusC,71,-8.450704225352109,30.985915492957748,39.436619718309856,0.0,0.0,10.43661971830986,159.04225352112675,nan,nan,nan
43022,chck_80M,rel0_prefix_words_q4,VminusR,71,-5.6338028169014045,30.985915492957748,36.61971830985915,0.0,0.0,10.43661971830986,159.04225352112675,nan,nan,nan
43022,chck_80M,rel0_prefix_words_q4,CminusR,71,2.816901408450704,39.436619718309856,36.61971830985915,0.0,0.0,10.43661971830986,159.04225352112675,nan,nan,nan
43022,chck_80M,rel0_prefix_words_q4,RminusC,71,-2.816901408450704,36.61971830985915,39.436619718309856,0.0,0.0,10.43661971830986,159.04225352112675,nan,nan,nan
43022,chck_80M,rel0_prefix_words_q4,RminusV,71,5.6338028169014045,36.61971830985915,30.985915492957748,0.0,0.0,10.43661971830986,159.04225352112675,nan,nan,nan
43022,chck_80M,rel0_total0,VminusC,304,4.605263157894733,42.43421052631579,37.828947368421055,0.0,0.0,0.0,61.473684210526315,nan,nan,nan
43022,chck_80M,rel0_total0,VminusR,304,-2.30263157894737,42.43421052631579,44.73684210526316,0.0,0.0,0.0,61.473684210526315,nan,nan,nan
43022,chck_80M,rel0_total0,CminusR,304,-6.907894736842103,37.828947368421055,44.73684210526316,0.0,0.0,0.0,61.473684210526315,nan,nan,nan
43022,chck_80M,rel0_total0,RminusC,304,6.907894736842103,44.73684210526316,37.828947368421055,0.0,0.0,0.0,61.473684210526315,nan,nan,nan
43022,chck_80M,rel0_total0,RminusV,304,2.30263157894737,44.73684210526316,42.43421052631579,0.0,0.0,0.0,61.473684210526315,nan,nan,nan
43022,chck_80M,rel0_total1,VminusC,257,1.945525291828794,38.521400778210115,36.57587548638132,0.0,0.0,1.0,69.715953307393,nan,nan,nan
43022,chck_80M,rel0_total1,VminusR,257,-3.891050583657588,38.521400778210115,42.4124513618677,0.0,0.0,1.0,69.715953307393,nan,nan,nan
43022,chck_80M,rel0_total1,CminusR,257,-5.836575875486382,36.57587548638132,42.4124513618677,0.0,0.0,1.0,69.715953307393,nan,nan,nan
43022,chck_80M,rel0_total1,RminusC,257,5.836575875486382,42.4124513618677,36.57587548638132,0.0,0.0,1.0,69.715953307393,nan,nan,nan
43022,chck_80M,rel0_total1,RminusV,257,3.891050583657588,42.4124513618677,38.521400778210115,0.0,0.0,1.0,69.715953307393,nan,nan,nan
43022,chck_80M,rel0_total10,VminusC,36,2.7777777777777786,33.333333333333336,30.555555555555557,0.0,0.0,10.0,143.72222222222223,nan,nan,nan
43022,chck_80M,rel0_total10,VminusR,36,-5.55555555555555,33.333333333333336,38.888888888888886,0.0,0.0,10.0,143.72222222222223,nan,nan,nan
43022,chck_80M,rel0_total10,CminusR,36,-8.333333333333329,30.555555555555557,38.888888888888886,0.0,0.0,10.0,143.72222222222223,nan,nan,nan
43022,chck_80M,rel0_total10,RminusC,36,8.333333333333329,38.888888888888886,30.555555555555557,0.0,0.0,10.0,143.72222222222223,nan,nan,nan
43022,chck_80M,rel0_total10,RminusV,36,5.55555555555555,38.888888888888886,33.333333333333336,0.0,0.0,10.0,143.72222222222223,nan,nan,nan
43022,chck_80M,rel0_total11,VminusC,32,0.0,31.25,31.25,0.0,0.0,11.0,148.96875,nan,nan,nan
43022,chck_80M,rel0_total11,VminusR,32,0.0,31.25,31.25,0.0,0.0,11.0,148.96875,nan,nan,nan
43022,chck_80M,rel0_total11,CminusR,32,0.0,31.25,31.25,0.0,0.0,11.0,148.96875,nan,nan,nan
43022,chck_80M,rel0_total11,RminusC,32,0.0,31.25,31.25,0.0,0.0,11.0,148.96875,nan,nan,nan
43022,chck_80M,rel0_total11,RminusV,32,0.0,31.25,31.25,0.0,0.0,11.0,148.96875,nan,nan,nan
43022,chck_80M,rel0_total12,VminusC,30,-10.0,33.333333333333336,43.333333333333336,0.0,0.0,12.0,157.36666666666667,nan,nan,nan
43022,chck_80M,rel0_total12,VminusR,30,-13.333333333333329,33.333333333333336,46.666666666666664,0.0,0.0,12.0,157.36666666666667,nan,nan,nan
43022,chck_80M,rel0_total12,CminusR,30,-3.3333333333333286,43.333333333333336,46.666666666666664,0.0,0.0,12.0,157.36666666666667,nan,nan,nan
43022,chck_80M,rel0_total12,RminusC,30,3.3333333333333286,46.666666666666664,43.333333333333336,0.0,0.0,12.0,157.36666666666667,nan,nan,nan
43022,chck_80M,rel0_total12,RminusV,30,13.333333333333329,46.666666666666664,33.333333333333336,0.0,0.0,12.0,157.36666666666667,nan,nan,nan
43022,chck_80M,rel0_total2,VminusC,212,-1.415094339622641,39.62264150943396,41.0377358490566,0.0,0.0,2.0,77.93867924528301,nan,nan,nan
43022,chck_80M,rel0_total2,VminusR,212,-5.188679245283019,39.62264150943396,44.81132075471698,0.0,0.0,2.0,77.93867924528301,nan,nan,nan
43022,chck_80M,rel0_total2,CminusR,212,-3.7735849056603783,41.0377358490566,44.81132075471698,0.0,0.0,2.0,77.93867924528301,nan,nan,nan
43022,chck_80M,rel0_total2,RminusC,212,3.7735849056603783,44.81132075471698,41.0377358490566,0.0,0.0,2.0,77.93867924528301,nan,nan,nan
43022,chck_80M,rel0_total2,RminusV,212,5.188679245283019,44.81132075471698,39.62264150943396,0.0,0.0,2.0,77.93867924528301,nan,nan,nan
43022,chck_80M,rel0_total3,VminusC,172,-1.7441860465116292,40.116279069767444,41.86046511627907,0.0,0.0,3.0,85.88372093023256,nan,nan,nan
43022,chck_80M,rel0_total3,VminusR,172,-8.720930232558139,40.116279069767444,48.83720930232558,0.0,0.0,3.0,85.88372093023256,nan,nan,nan
43022,chck_80M,rel0_total3,CminusR,172,-6.97674418604651,41.86046511627907,48.83720930232558,0.0,0.0,3.0,85.88372093023256,nan,nan,nan
43022,chck_80M,rel0_total3,RminusC,172,6.97674418604651,48.83720930232558,41.86046511627907,0.0,0.0,3.0,85.88372093023256,nan,nan,nan
43022,chck_80M,rel0_total3,RminusV,172,8.720930232558139,48.83720930232558,40.116279069767444,0.0,0.0,3.0,85.88372093023256,nan,nan,nan
43022,chck_80M,rel0_total4,VminusC,131,-6.106870229007633,35.87786259541985,41.98473282442748,0.0,0.0,4.0,93.36641221374046,nan,nan,nan
43022,chck_80M,rel0_total4,VminusR,131,-14.50381679389313,35.87786259541985,50.38167938931298,0.0,0.0,4.0,93.36641221374046,nan,nan,nan
43022,chck_80M,rel0_total4,CminusR,131,-8.396946564885496,41.98473282442748,50.38167938931298,0.0,0.0,4.0,93.36641221374046,nan,nan,nan
43022,chck_80M,rel0_total4,RminusC,131,8.396946564885496,50.38167938931298,41.98473282442748,0.0,0.0,4.0,93.36641221374046,nan,nan,nan
43022,chck_80M,rel0_total4,RminusV,131,14.50381679389313,50.38167938931298,35.87786259541985,0.0,0.0,4.0,93.36641221374046,nan,nan,nan
43022,chck_80M,rel0_total5,VminusC,104,-0.9615384615384599,38.46153846153846,39.42307692307692,0.0,0.0,5.0,100.5673076923077,nan,nan,nan
43022,chck_80M,rel0_total5,VminusR,104,-17.307692307692307,38.46153846153846,55.76923076923077,0.0,0.0,5.0,100.5673076923077,nan,nan,nan
43022,chck_80M,rel0_total5,CminusR,104,-16.346153846153847,39.42307692307692,55.76923076923077,0.0,0.0,5.0,100.5673076923077,nan,nan,nan
43022,chck_80M,rel0_total5,RminusC,104,16.346153846153847,55.76923076923077,39.42307692307692,0.0,0.0,5.0,100.5673076923077,nan,nan,nan
