seed,arm,checkpoint,group,n,accuracy_pct,mean_reported_numops,mean_relevant_updates,mean_total_ops,mean_prefix_words,mean_prefix_tokens,stale_available_not_gold_n,stale_pick_pct_among_wrong_stale_available_not_gold,stale_pick_pct_among_all_wrong
43022,C,chck_100M,ALL,6780,25.206489675516224,2.0343657817109144,1.9960176991150442,7.359587020648967,120.59041297935103,159.1193215339233,1221,40.50901378579003,7.533030960362847
43022,C,chck_100M,prefix_tokens_q1,1725,30.72463768115942,0.567536231884058,0.5628985507246377,2.2828985507246378,76.74202898550725,101.13913043478261,59,45.6140350877193,2.1757322175732217
43022,C,chck_100M,prefix_tokens_q2,1678,22.765196662693683,1.867103694874851,1.834326579261025,6.5929678188319425,111.78903456495829,148.11620977353994,299,45.33898305084746,8.256172839506172
43022,C,chck_100M,prefix_tokens_q3,1691,23.772915434654053,2.6818450620934358,2.6132465996451804,9.5204021289178,135.0266114725015,179.43583678296866,443,38.02395209580838,9.852598913886734
43022,C,chck_100M,prefix_tokens_q4,1686,23.4282325029656,3.052194543297746,3.0041518386714117,11.149466192170818,159.73368920521946,209.01482799525505,420,38.607594936708864,9.450038729666925
43022,C,chck_100M,prefix_words_q1,1712,30.66588785046729,0.5870327102803738,0.5817757009345794,2.380257009345794,76.46203271028037,101.1232476635514,64,49.18032786885246,2.527379949452401
43022,C,chck_100M,prefix_words_q2,1687,22.288085358624777,1.896265560165975,1.8577356253704802,6.638411381149971,111.58091286307054,148.04208654416124,313,45.81673306772908,8.771929824561404
43022,C,chck_100M,prefix_words_q3,1729,24.291497975708502,2.6558704453441297,2.585887796414112,9.541353383458647,135.18102949681898,179.68074031231927,430,35.202492211838006,8.632543926661574
43022,C,chck_100M,prefix_words_q4,1652,23.486682808716708,3.024818401937046,2.9854721549636802,10.9727602905569,160.25121065375302,209.0139225181598,414,40.0,9.810126582278482
43022,C,chck_100M,rel0_prefix_words_q1,1040,40.76923076923077,0.0,0.0,1.6817307692307693,72.48461538461538,95.24230769230769,0,nan,0.0
43022,C,chck_100M,rel0_prefix_words_q2,299,36.78929765886288,0.0,0.0,5.34113712374582,108.62541806020067,141.7859531772575,0,nan,0.0
43022,C,chck_100M,rel0_prefix_words_q3,131,35.87786259541985,0.0,0.0,8.65648854961832,134.22137404580153,176.4885496183206,0,nan,0.0
43022,C,chck_100M,rel0_prefix_words_q4,71,40.84507042253521,0.0,0.0,10.43661971830986,159.04225352112675,206.19718309859155,0,nan,0.0
43022,C,chck_100M,rel0_total0,304,39.14473684210526,0.0,0.0,0.0,61.473684210526315,79.60197368421052,0,nan,0.0
43022,C,chck_100M,rel0_total1,257,36.57587548638132,0.0,0.0,1.0,69.715953307393,90.63424124513618,0,nan,0.0
43022,C,chck_100M,rel0_total10,36,36.111111111111114,0.0,0.0,10.0,143.72222222222223,189.83333333333334,0,nan,0.0
43022,C,chck_100M,rel0_total11,32,34.375,0.0,0.0,11.0,148.96875,197.5625,0,nan,0.0
43022,C,chck_100M,rel0_total12,30,33.333333333333336,0.0,0.0,12.0,157.36666666666667,208.5,0,nan,0.0
43022,C,chck_100M,rel0_total2,212,39.62264150943396,0.0,0.0,2.0,77.93867924528301,101.67924528301887,0,nan,0.0
43022,C,chck_100M,rel0_total3,172,40.116279069767444,0.0,0.0,3.0,85.88372093023256,112.32558139534883,0,nan,0.0
43022,C,chck_100M,rel0_total4,131,41.221374045801525,0.0,0.0,4.0,93.36641221374046,122.53435114503817,0,nan,0.0
43022,C,chck_100M,rel0_total5,104,43.26923076923077,0.0,0.0,5.0,100.5673076923077,132.75,0,nan,0.0
43022,C,chck_100M,rel0_total6,88,46.59090909090909,0.0,0.0,6.0,107.64772727272727,142.79545454545453,0,nan,0.0
43022,C,chck_100M,rel0_total7,66,34.84848484848485,0.0,0.0,7.0,117.81818181818181,155.27272727272728,0,nan,0.0
43022,C,chck_100M,rel0_total8,63,41.26984126984127,0.0,0.0,8.0,127.47619047619048,167.8095238095238,0,nan,0.0
43022,C,chck_100M,rel0_total9,46,45.65217391304348,0.0,0.0,9.0,134.91304347826087,177.8913043478261,0,nan,0.0
43022,C,chck_100M,rel0_total_ops_0,304,39.14473684210526,0.0,0.0,0.0,61.473684210526315,79.60197368421052,0,nan,0.0
43022,C,chck_100M,rel0_total_ops_1,257,36.57587548638132,0.0,0.0,1.0,69.715953307393,90.63424124513618,0,nan,0.0
43022,C,chck_100M,rel0_total_ops_10,36,36.111111111111114,0.0,0.0,10.0,143.72222222222223,189.83333333333334,0,nan,0.0
43022,C,chck_100M,rel0_total_ops_11,32,34.375,0.0,0.0,11.0,148.96875,197.5625,0,nan,0.0
43022,C,chck_100M,rel0_total_ops_12,30,33.333333333333336,0.0,0.0,12.0,157.36666666666667,208.5,0,nan,0.0
43022,C,chck_100M,rel0_total_ops_2,212,39.62264150943396,0.0,0.0,2.0,77.93867924528301,101.67924528301887,0,nan,0.0
43022,C,chck_100M,rel0_total_ops_3,172,40.116279069767444,0.0,0.0,3.0,85.88372093023256,112.32558139534883,0,nan,0.0
43022,C,chck_100M,rel0_total_ops_4,131,41.221374045801525,0.0,0.0,4.0,93.36641221374046,122.53435114503817,0,nan,0.0
