seed,group,contrast,n,n_checkpoints,late_mean_delta_accuracy_pct_a_minus_b,late_mean_acc_a,late_mean_acc_b,mean_reported_numops,mean_relevant_updates,mean_total_ops,mean_prefix_words,late_mean_delta_stale_wrong_pct_a_minus_b
43022,ALL,CminusR,6780,3,-0.2802359882005909,25.04424778761062,25.32448377581121,2.0343657817109144,1.9960176991150442,7.359587020648967,120.59041297935103,-4.170224204367718
43022,ALL,RminusC,6780,3,0.2802359882005909,25.32448377581121,25.04424778761062,2.0343657817109144,1.9960176991150442,7.359587020648967,120.59041297935103,4.170224204367718
43022,ALL,RminusV,6780,3,-2.4729596853490654,25.32448377581121,27.797443461160274,2.0343657817109144,1.9960176991150442,7.359587020648967,120.59041297935103,7.688467458937517
43022,ALL,VminusC,6780,3,2.7531956735496563,27.797443461160274,25.04424778761062,2.0343657817109144,1.9960176991150442,7.359587020648967,120.59041297935103,-3.5182432545697986
43022,ALL,VminusR,6780,3,2.4729596853490654,27.797443461160274,25.32448377581121,2.0343657817109144,1.9960176991150442,7.359587020648967,120.59041297935103,-7.688467458937517
43022,prefix_tokens_q1,CminusR,1725,3,-3.2463768115942044,30.666666666666668,33.913043478260875,0.567536231884058,0.5628985507246377,2.2828985507246378,76.74202898550725,-11.867311958056055
43022,prefix_tokens_q1,RminusC,1725,3,3.2463768115942044,33.913043478260875,30.666666666666668,0.567536231884058,0.5628985507246377,2.2828985507246378,76.74202898550725,11.867311958056055
43022,prefix_tokens_q1,RminusV,1725,3,2.318840579710147,33.913043478260875,31.594202898550726,0.567536231884058,0.5628985507246377,2.2828985507246378,76.74202898550725,5.9410606743072565
43022,prefix_tokens_q1,VminusC,1725,3,0.9275362318840573,31.594202898550726,30.666666666666668,0.567536231884058,0.5628985507246377,2.2828985507246378,76.74202898550725,5.9262512837487975
43022,prefix_tokens_q1,VminusR,1725,3,-2.318840579710147,31.594202898550726,33.913043478260875,0.567536231884058,0.5628985507246377,2.2828985507246378,76.74202898550725,-5.9410606743072565
43022,prefix_tokens_q2,CminusR,1678,3,-0.41716328963051313,22.725466825586015,23.142630115216527,1.867103694874851,1.834326579261025,6.5929678188319425,111.78903456495829,-4.811369371427252
43022,prefix_tokens_q2,RminusC,1678,3,0.41716328963051313,23.142630115216527,22.725466825586015,1.867103694874851,1.834326579261025,6.5929678188319425,111.78903456495829,4.811369371427252
43022,prefix_tokens_q2,RminusV,1678,3,-3.03933253873659,23.142630115216527,26.181962653953118,1.867103694874851,1.834326579261025,6.5929678188319425,111.78903456495829,5.0260797569979045
43022,prefix_tokens_q2,VminusC,1678,3,3.4564958283671032,26.181962653953118,22.725466825586015,1.867103694874851,1.834326579261025,6.5929678188319425,111.78903456495829,-0.21471038557065233
43022,prefix_tokens_q2,VminusR,1678,3,3.03933253873659,26.181962653953118,23.142630115216527,1.867103694874851,1.834326579261025,6.5929678188319425,111.78903456495829,-5.0260797569979045
43022,prefix_tokens_q3,CminusR,1691,3,1.3207175241474474,23.4575202050069,22.136802680859454,2.6818450620934358,2.6132465996451804,9.5204021289178,135.0266114725015,-5.424771388563063
43022,prefix_tokens_q3,RminusC,1691,3,-1.3207175241474474,22.136802680859454,23.4575202050069,2.6818450620934358,2.6132465996451804,9.5204021289178,135.0266114725015,5.424771388563063
43022,prefix_tokens_q3,RminusV,1691,3,-4.060713581707073,22.136802680859454,26.197516262566527,2.6818450620934358,2.6132465996451804,9.5204021289178,135.0266114725015,10.310083009093558
43022,prefix_tokens_q3,VminusC,1691,3,2.739996057559626,26.197516262566527,23.4575202050069,2.6818450620934358,2.6132465996451804,9.5204021289178,135.0266114725015,-4.885311620530494
43022,prefix_tokens_q3,VminusR,1691,3,4.060713581707073,26.197516262566527,22.136802680859454,2.6818450620934358,2.6132465996451804,9.5204021289178,135.0266114725015,-10.310083009093558
43022,prefix_tokens_q4,CminusR,1686,3,1.2850929221035987,23.190984578884937,21.905891656781336,3.052194543297746,3.0041518386714117,11.149466192170818,159.73368920521946,-1.1942469540970109
43022,prefix_tokens_q4,RminusC,1686,3,-1.2850929221035987,21.905891656781336,23.190984578884937,3.052194543297746,3.0041518386714117,11.149466192170818,159.73368920521946,1.1942469540970109
43022,prefix_tokens_q4,RminusV,1686,3,-5.2194543297746145,21.905891656781336,27.125345986555953,3.052194543297746,3.0041518386714117,11.149466192170818,159.73368920521946,7.223810055933693
43022,prefix_tokens_q4,VminusC,1686,3,3.934361407671016,27.125345986555953,23.190984578884937,3.052194543297746,3.0041518386714117,11.149466192170818,159.73368920521946,-6.029563101836682
43022,prefix_tokens_q4,VminusR,1686,3,5.2194543297746145,27.125345986555953,21.905891656781336,3.052194543297746,3.0041518386714117,11.149466192170818,159.73368920521946,-7.223810055933693
43022,prefix_words_q1,CminusR,1712,3,-3.8940809968847354,30.588006230529594,34.48208722741433,0.5870327102803738,0.5817757009345794,2.380257009345794,76.46203271028037,-13.202890886656093
43022,prefix_words_q1,RminusC,1712,3,3.8940809968847354,34.48208722741433,30.588006230529594,0.5870327102803738,0.5817757009345794,2.380257009345794,76.46203271028037,13.202890886656093
43022,prefix_words_q1,RminusV,1712,3,2.764797507788161,34.48208722741433,31.71728971962617,0.5870327102803738,0.5817757009345794,2.380257009345794,76.46203271028037,9.807448729350261
43022,prefix_words_q1,VminusC,1712,3,1.1292834890965746,31.71728971962617,30.588006230529594,0.5870327102803738,0.5817757009345794,2.380257009345794,76.46203271028037,3.395442157305832
43022,prefix_words_q1,VminusR,1712,3,-2.764797507788161,31.71728971962617,34.48208722741433,0.5870327102803738,0.5817757009345794,2.380257009345794,76.46203271028037,-9.807448729350261
43022,prefix_words_q2,CminusR,1687,3,-0.03951788184153552,22.347362181387076,22.386880063228613,1.896265560165975,1.8577356253704802,6.638411381149971,111.58091286307054,-2.801253430301564
43022,prefix_words_q2,RminusC,1687,3,0.03951788184153552,22.386880063228613,22.347362181387076,1.896265560165975,1.8577356253704802,6.638411381149971,111.58091286307054,2.801253430301564
43022,prefix_words_q2,RminusV,1687,3,-3.596127247579529,22.386880063228613,25.98300731080814,1.896265560165975,1.8577356253704802,6.638411381149971,111.58091286307054,4.337220952887397
43022,prefix_words_q2,VminusC,1687,3,3.6356451294210643,25.98300731080814,22.347362181387076,1.896265560165975,1.8577356253704802,6.638411381149971,111.58091286307054,-1.535967522585833
43022,prefix_words_q2,VminusR,1687,3,3.596127247579529,25.98300731080814,22.386880063228613,1.896265560165975,1.8577356253704802,6.638411381149971,111.58091286307054,-4.337220952887397
43022,prefix_words_q3,CminusR,1729,3,1.6194331983805672,23.770965876229035,22.15153267784847,2.6558704453441297,2.585887796414112,9.541353383458647,135.18102949681898,-7.784416585403446
43022,prefix_words_q3,RminusC,1729,3,-1.6194331983805672,22.15153267784847,23.770965876229035,2.6558704453441297,2.585887796414112,9.541353383458647,135.18102949681898,7.784416585403446
43022,prefix_words_q3,RminusV,1729,3,-4.626951995373048,22.15153267784847,26.778484673221516,2.6558704453441297,2.585887796414112,9.541353383458647,135.18102949681898,8.6741702262962
43022,prefix_words_q3,VminusC,1729,3,3.0075187969924806,26.778484673221516,23.770965876229035,2.6558704453441297,2.585887796414112,9.541353383458647,135.18102949681898,-0.8897536408927541
43022,prefix_words_q3,VminusR,1729,3,4.626951995373048,26.778484673221516,22.15153267784847,2.6558704453441297,2.585887796414112,9.541353383458647,135.18102949681898,-8.6741702262962
43022,prefix_words_q4,CminusR,1652,3,1.2308313155770787,23.38579499596449,22.15496368038741,3.024818401937046,2.9854721549636802,10.9727602905569,160.25121065375302,-0.05683900827962892
43022,prefix_words_q4,RminusC,1652,3,-1.2308313155770787,22.15496368038741,23.38579499596449,3.024818401937046,2.9854721549636802,10.9727602905569,160.25121065375302,0.05683900827962892
43022,prefix_words_q4,RminusV,1652,3,-4.4995964487489895,22.15496368038741,26.6545601291364,3.024818401937046,2.9854721549636802,10.9727602905569,160.25121065375302,9.016304307872387
43022,prefix_words_q4,VminusC,1652,3,3.268765133171911,26.6545601291364,23.38579499596449,3.024818401937046,2.9854721549636802,10.9727602905569,160.25121065375302,-8.95946529959276
43022,prefix_words_q4,VminusR,1652,3,4.4995964487489895,26.6545601291364,22.15496368038741,3.024818401937046,2.9854721549636802,10.9727602905569,160.25121065375302,-9.016304307872387
43022,rel0_prefix_words_q1,CminusR,1040,3,-7.78846153846154,40.64102564102564,48.42948717948718,0.0,0.0,1.6817307692307693,72.48461538461538,nan
43022,rel0_prefix_words_q1,RminusC,1040,3,7.78846153846154,48.42948717948718,40.64102564102564,0.0,0.0,1.6817307692307693,72.48461538461538,nan
43022,rel0_prefix_words_q1,RminusV,1040,3,7.083333333333333,48.42948717948718,41.34615384615385,0.0,0.0,1.6817307692307693,72.48461538461538,nan
43022,rel0_prefix_words_q1,VminusC,1040,3,0.7051282051282067,41.34615384615385,40.64102564102564,0.0,0.0,1.6817307692307693,72.48461538461538,nan
43022,rel0_prefix_words_q1,VminusR,1040,3,-7.083333333333333,41.34615384615385,48.42948717948718,0.0,0.0,1.6817307692307693,72.48461538461538,nan
43022,rel0_prefix_words_q2,CminusR,299,3,-12.486064659977705,37.01226309921962,49.49832775919732,0.0,0.0,5.34113712374582,108.62541806020067,nan
